gkey,galaxy_h,D_Mpc_h,h_arcsec,hz_e_hi_arcsec,hz_e_lo_arcsec,h_kpc,h_kpc_err_hi,h_kpc_err_lo,h_outlier_reason
ESO402030,ESO402-030,37.542,1.808,5.424,0.362,0.3290715147989237,0.9872145443967711,0.06588710639226238,huge_err_hi
ESO419013,ESO419-013,20.639,2.443,7.329,0.489,0.24444804983879964,0.7333441495163988,0.04892963420842121,huge_err_hi
ESO570019,ESO570-019,18.597,2.703,8.11,0.541,0.24370441422442002,0.7312034033888444,0.048776947131117736,huge_err_hi
ESO576001,ESO576-001,85.6,2.059,6.178,0.412,0.854485249557608,2.563870748794027,0.17098004993576224,huge_err_hi
ESO582004,ESO582-004,30.817,2.506,7.518,0.501,0.37440865876421103,1.123225976292633,0.07485185077448912,huge_err_hi
IC0101,IC0101,44.4,2.369,7.107,0.474,0.5099440040724311,1.5298320122172933,0.1020318522289288,huge_err_hi
IC0750,IC0750,23.512,3.286,9.858,0.657,0.37456879257266135,1.123706377717984,0.07489096065740673,huge_err_hi
IC0796,IC0796,21.597,2.169,6.508,0.434,0.22710538869900374,0.6814208712093667,0.04544201876227184,huge_err_hi
IC1210,IC1210,50.675,3.068,9.204,0.614,0.7537434853222796,2.261230455966839,0.15084696870530628,huge_err_hi
IC1265,IC1265,30.083,2.405,7.215,0.481,0.3507605022665018,1.0522815067995055,0.07015210045330036,huge_err_hi
IC1438,IC1438,33.8,6.21,18.63,1.242,1.0176132644898552,3.0528397934695657,0.20352265289797106,huge_err_hi
IC2035,IC2035,16.5,1.334,4.003,0.267,0.10671223910988292,0.32021671151189,0.021358446658424842,huge_err_hi
IC2040,IC2040,18.417,3.279,9.836,0.656,0.29277552178023414,0.8782372772889244,0.058572961966402444,huge_err_hi
IC3021,IC3021,35.097,3.016,9.047,0.603,0.5131871718420479,1.539391360628318,0.10260340338884445,huge_err_hi
IC3033,IC3033,18.3,2.404,7.212,0.481,0.21328485201076283,0.6398545560322885,0.04267471456621336,huge_err_hi
IC3102,IC3102,28.85,5.085,15.255,1.017,0.7112319104065159,2.133695731219548,0.14224638208130316,huge_err_hi
IC3267,IC3267,17.097,3.678,11.035,0.736,0.30486396625699946,0.9146747872881972,0.061005948658279394,huge_err_hi
IC4214,IC4214,27.3,6.964,20.893,1.393,0.9217133299396408,2.76527234382954,0.18436913679005162,huge_err_hi
IC5152,IC5152,1.756,8.664,25.993,1.733,0.07375940658861173,0.22128673308607857,0.014753583981771023,huge_err_hi
IC5240,IC5240,25.36,6.024,18.073,1.205,0.7406425714493492,2.2220506629820864,0.14815310401667758,huge_err_hi
IC5267,IC5267,26.08,16.779,50.336,3.356,2.1215248345574866,6.364448064383197,0.4243302547693501,huge_err_hi
IC5269,IC5269,26.15,3.255,9.765,0.651,0.41266453348847354,1.2379936004654208,0.08253290669769471,huge_err_hi
NGC0063,NGC0063,18.8,2.514,7.542,0.503,0.2291382444913097,0.6874147334739291,0.045845877875548446,huge_err_hi
NGC0254,NGC0254,17.1,6.024,18.071,1.205,0.49940804305141445,1.4981412260926479,0.099898189222602,huge_err_hi
NGC0473,NGC0473,29.8,3.131,9.394,0.626,0.4523491624851526,1.3571919617967179,0.09044093762877853,huge_err_hi
NGC0488,NGC0488,29.3,8.542,25.625,1.708,1.2133934501733208,3.640038300244831,0.24262186992461154,huge_err_hi
NGC0718,NGC0718,21.4,5.698,17.094,1.14,0.5911676726541101,1.7735030179623301,0.11827503454294232,huge_err_hi
NGC0855,NGC0855,9.73,5.666,16.999,1.133,0.267278403994861,0.801882384311444,0.053446246333599984,huge_err_hi
NGC0936,NGC0936,20.683,10.136,30.409,2.027,1.0163764477734953,3.0492296172399582,0.20325523477080457,huge_err_hi
NGC1015,NGC1015,33.1,5.654,16.961,1.131,0.9073153467626598,2.721785567110271,0.1814951639880736,huge_err_hi
NGC1022,NGC1022,18.5,5.106,15.317,1.021,0.4579594211330085,1.3737885729522703,0.09157394613725063,huge_err_hi
NGC1079,NGC1079,26.05,5.711,17.133,1.142,0.7212641504860253,2.1637924514580757,0.14422757132814584,huge_err_hi
NGC1140,NGC1140,18.95,4.299,12.897,0.86,0.39495818485928297,1.184874554577849,0.0790100113931108,huge_err_hi
NGC1222,NGC1222,31.0,4.598,13.793,0.92,0.6910430756551038,2.072978934865343,0.13826873197100817,huge_err_hi
NGC1258,NGC1258,25.76,3.217,9.652,0.643,0.4017643322909849,1.2054178847598962,0.08030291130342036,huge_err_hi
NGC1291,NGC1291,8.6,33.424,100.272,6.685,1.3935781640123144,4.180734492036944,0.278723971589945,huge_err_hi
