#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-03-03T00:49:17 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-03-03T00:49:17	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/587/A160/tablea1&-out=Galaxy,Dist,hz,e_hz1,e_hz2&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35870160
#Name: J/A+A/587/A160
#Title: 3.6um S4G Galactic bars characterization (Diaz-Garcia+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/a+a/587/a160	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/587/a160	    IVOID of underlying data collection
#INFO	creator=Diaz-Garcia S.	    First author or institution
#INFO	cites=bibcode:2016A&A...587A.160D	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/587/A160	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35870160	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-01-08	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_A_A_587_A160_tablea1:
#Name: J/A+A/587/A160/tablea1
#Title: Fundamental properties of S4G galaxies: distance, mass distribution, velocities and stellar disk
#Column	Galaxy	(a10)	Galaxy identification	[ucd=meta.id;src.class.starGalaxy;meta.main]
#Column	Dist	(F7.3)	Distance to the galaxy	[ucd=pos.distance]
#Column	hz	(F6.3)	Disk scale-height	[ucd=phys.angSize;src]
#Column	e_hz1	(F7.3)	[] Uncertainty on the disk scale-height associated with a thicker disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	e_hz2	(F7.3)	[] Uncertainty on the disk scale-height associated with a thinner disk in de Grijs/Speltincx relation	[ucd=stat.error]
Galaxy	Dist	hz	e_hz1	e_hz2
 	Mpc	arcsec	arcsec	arcsec
----------	-------	------	-------	-------
ESO012-010	 32.750	 3.555	  2.844	 -0.889
ESO013-016	 23.017	 2.221	  1.776	 -0.555
ESO026-001	 19.160	 1.993	  1.594	 -0.498
ESO027-001	 18.308	 4.457	  2.971	 -1.273
ESO048-017	 29.520	 2.112	  1.690	 -0.528
ESO054-021	 16.475	 5.102	  4.082	 -1.276
ESO079-005	 23.483	 2.310	  2.310	 -1.155
ESO079-007	 25.220	 1.541	  1.232	 -0.385
ESO085-030	 31.075	 2.270	  2.270	 -1.135
ESO085-047	 16.700	 2.378	  1.903	 -0.595
ESO114-007	 26.100	 1.514	  1.211	 -0.379
ESO120-012	 14.400	 2.046	  1.637	 -0.512
ESO120-021	 18.167	 1.881	  1.505	 -0.470
ESO145-025	 22.500	 2.900	  2.320	 -0.725
ESO150-005	 15.150	 3.514	  2.812	 -0.879
ESO159-025	 11.800	 1.823	  1.458	 -0.456
ESO187-035	 26.200	 1.633	  1.307	 -0.408
ESO202-041	 16.967	 2.637	  2.637	 -1.318
ESO234-043	 26.950	 2.891	  2.891	 -1.445
ESO234-049	 35.986	 1.513	  1.210	 -0.378
ESO236-039	 22.222	 0.974	  0.779	 -0.244
ESO237-052	 36.460	 1.549	  1.239	 -0.387
ESO238-018	 41.042	 0.962	  0.770	 -0.241
ESO245-005	  4.193	 0.500	  0.500	 -0.250
ESO245-007	  0.415	 4.743	  4.743	 -2.371
ESO249-008	 17.389	 0.918	  0.734	 -0.229
ESO249-026	 12.931	 1.110	  0.888	 -0.278
ESO249-036	  9.400	 2.350	  2.350	 -1.175
ESO285-048	 33.142	 2.152	  1.721	 -0.538
ESO287-037	 36.153	 1.862	  1.490	 -0.466
ESO288-013	 35.611	 1.456	  1.165	 -0.364
ESO289-026	 26.457	 3.891	  3.891	 -1.945
ESO298-023	 19.083	 0.873	  0.698	 -0.218
ESO300-014	 11.524	 5.446	  4.357	 -1.361
ESO302-014	  9.300	 2.710	  2.710	 -1.355
ESO305-009	 13.200	 4.234	  3.387	 -1.058
ESO340-017	 36.514	 1.750	  1.400	 -0.437
ESO340-042	 36.486	 2.832	  2.265	 -0.708
ESO341-032	 38.361	 1.436	  1.149	 -0.359
ESO342-050	 31.464	 3.919	  2.613	 -1.120
ESO345-046	 26.700	 2.460	  1.968	 -0.615
