galaxy,n,Upsilon_med,Upsilon_bulge_med,log10_M200_med,chi2,chi2_red,loglike
CamB,9,0.4348017879166761,,,2.1323701087236553,0.2665462635904569,-26.88610368002076
D564-8,6,0.5226479999145295,,,15.431547700126536,3.086309540025307,-24.985035040604405
D631-7,16,0.31573842867652846,,,191.4600940485451,12.764006269903007,-142.31805237465366
DDO154,12,0.5898492406051337,,,134.42364100624587,12.220331000567807,-101.42688753540317
DDO168,10,0.4299989087690061,,,71.50947183374203,7.945496870415781,-64.76957410145457
ESO444-G084,7,0.3934093027002759,,,68.20866323410456,11.368110539017428,-55.183724312069465
ESO563-G021,30,0.6567538254734246,,,1766.7431130525729,60.92217631215769,-983.6459387282486
F568-3,18,0.39033087491038465,,,50.20066311694621,2.952980183349777,-85.94362654272874
F568-V1,15,0.48602421097802684,,,84.42530353593573,6.030378823995409,-98.62962237699013
F574-1,14,0.6011117924515658,,,146.44850787105588,11.265269836235067,-116.20143808079675
IC2574,34,0.649668041124144,,,193.96419298813208,5.877702817822184,-198.31943196668277
IC4202,32,0.6363874728153549,,,1211.9170662480508,39.09409891122745,-708.7105420880488
NGC0024,29,0.46138619834920247,,,584.6288266266631,20.879600950952256,-386.5977549435623
NGC0055,21,0.6614894739581928,,,215.5428691576551,10.777143457882755,-170.69057151970227
NGC0247,26,0.6096822017842161,,,476.8081796397591,19.072327185590364,-318.6330495279974
NGC0300,25,0.5649195379288998,,,68.70786141368433,2.8628275589035135,-114.99729858754431
NGC0801,13,0.4963475587606534,,,522.1054227034986,43.50878522529155,-301.14873043881994
NGC0891,18,0.4908539888208284,,,579.4189657571912,34.08346857395242,-344.2777132139164
NGC2403,73,0.5973514203807199,,,1247.8566792731356,17.33134276768244,-837.9517500562232
NGC2683,11,0.2651637127675536,,,703.6953604482563,70.36953604482564,-388.6807962932474
NGC2841,50,0.5280694699775019,,,2260.5336473496163,46.133339741828905,-1293.8404597279678
NGC2915,30,0.5877932865069868,,,648.0431085138822,22.34631408668559,-422.43168052740026
NGC2955,24,0.3906526322390209,,,111.30960139042719,4.839547886540313,-137.20006315058777
NGC2976,27,0.3747075868231662,,,25.528531209321557,0.981866584973906,-93.7460402105248
NGC2998,13,0.5737392266547179,,,368.8633120603052,30.738609338358767,-227.85307864472753
NGC3109,25,0.8840503506983106,,,356.6821339569921,14.861755581541338,-251.5637865686811
NGC3198,43,0.7658189019575502,,,958.3832352262953,22.818648457768933,-611.47950848002
NGC3726,12,0.6004290501478731,,,122.82838339621541,11.16621667238322,-100.11591326428305
NGC3741,21,0.5384076798307545,,,256.6784214932174,12.83392107466087,-189.2017407487599
NGC3769,12,0.6337927009562083,,,202.20237891082223,18.382034446438386,-140.19953422202752
NGC3877,13,0.5446837814188585,,,127.20935685475777,10.600779737896481,-104.65622480993554
NGC3893,10,0.5097044007225667,,,148.73739841347134,16.526377601496815,-107.81717267870982
NGC3917,17,0.5381672683610208,,,577.8039841171698,36.11274900732311,-340.03530771194414
NGC3949,7,0.775148958524357,,,14.487388954502183,2.414564825750364,-31.104071354297517
NGC3953,8,0.5770983702098845,,,103.47736411596254,14.78248058799465,-77.24627454191845
NGC3972,10,0.46112339425554527,,,302.5811696232598,33.620129958139984,-181.882753542789
NGC3992,9,0.5480333840923406,,,448.10300544640205,56.012875680800256,-252.92565882677297
NGC4010,12,0.5268965422525788,,,209.69641860399355,19.063310782181233,-141.92828490832696
NGC4013,36,0.6197260794431722,,,1596.4040220969011,45.61154348848289,-910.0999184154065
NGC4051,7,0.5219602784492126,,,13.234891440841594,2.2058152401402658,-30.236811948501256
