galaxy,n,Upsilon_med,Upsilon_bulge_med,log10_M200_med,chi2,chi2_red,loglike
CamB,9,0.47160262044159185,,,55.22334136238216,6.90291767029777,-50.32001074941518
D564-8,6,0.5499234349330651,,,7.2285709967791085,1.4457141993558218,-18.97439478955498
D631-7,16,0.5249808297625691,,,48.42589210501953,3.2283928070013017,-65.93834009397517
DDO154,12,0.5110150350207343,,,5.522218506985872,0.5020198642714429,-32.60091672962087
DDO168,10,0.5751949305749511,,,14.32722371569714,1.5919137461885713,-33.23476027958449
ESO444-G084,7,0.5033135429512685,,,4.1529816980552665,0.6921636163425444,-21.9107601611095
ESO563-G021,30,0.5541644310764289,,,293.9583026924903,10.136493196292768,-244.2718126537954
F568-3,18,0.45669389328218896,,,18.663606820018302,1.097859224706959,-68.64193787138777
F568-V1,15,0.5382270350955868,,,17.618760156613963,1.2584828683295688,-64.88720769605993
F574-1,14,0.48254957021688255,,,18.501219730268502,1.4231707484821925,-49.71165455853867
IC2574,34,0.4761808018416697,,,39.87177940259364,1.2082357394725345,-111.71312167957296
IC4202,32,0.486921188788066,,,435.87901072863724,14.06061324931088,-315.6905534901506
NGC0024,29,0.591516771015892,,,62.7603381954002,2.2414406498357216,-121.63978510601898
NGC0055,21,0.4720553786887114,,,62.641383668099564,3.1320691834049783,-88.90728068321732
NGC0247,26,0.5029756748549461,,,13.16809659813326,0.5267238639253304,-80.97947741572648
NGC0300,25,0.5004004098798385,,,8.581116496328963,0.35754652068037346,-80.77027038394733
NGC0801,13,0.521653608335163,,,105.06099354672412,8.755082795560343,-90.68924848457246
NGC0891,18,0.4345123953198583,,,92.19010831341114,5.4229475478477145,-96.40609030076358
NGC2403,73,0.4790370138926699,,,57.93784355800298,0.8046922716389303,-219.86554276033644
NGC2683,11,0.513011278246354,,,14.40336999581944,1.4403369995819442,-43.00515732826185
NGC2841,50,0.5933070846568662,,,66.68109616251192,1.3608386971941209,-189.34523132775882
NGC2915,30,0.43412560694404095,,,80.11779719981914,2.762682662062729,-134.84066779571572
NGC2955,24,0.5531204124187676,,,99.84724598743406,4.341184608149307,-128.73733600820785
NGC2976,27,0.5044273234537403,,,11.873528030747739,0.4566741550287592,-79.94676662892695
NGC2998,13,0.5526377658039945,,,36.08844026340127,3.0073700219501056,-60.07081510691249
NGC3109,25,0.5641101059497748,,,18.21551118470135,0.7589796326958895,-74.92984493574464
NGC3198,43,0.5455538303676013,,,35.49984321300573,0.8452343622144222,-139.46236934144855
NGC3726,12,0.48522500654028394,,,28.01750638836361,2.5470460353057827,-51.197858047774986
NGC3741,21,0.49237641042099534,,,6.6539830890641944,0.33269915445320974,-57.40655235751352
NGC3769,12,0.5328091681000517,,,16.54011545638415,1.5036468596712864,-46.08380003200432
NGC3877,13,0.46391558600100646,,,63.67095463884068,5.305912886570057,-71.21268365808889
NGC3893,10,0.4925527940792442,,,6.855734694809858,0.7617482994233176,-36.00079952581209
NGC3917,17,0.5640118745767339,,,19.219259781864977,1.201203736366561,-57.281800411141795
NGC3949,7,0.5192752146728604,,,6.666537775669084,1.1110896292781807,-26.436415837156844
NGC3953,8,0.5017575083017929,,,11.217513600390795,1.6025019429129708,-30.323698318792985
NGC3972,10,0.5468560389474623,,,7.548429304847465,0.8387143672052739,-32.64224432974602
NGC3992,9,0.5300541514875771,,,24.229334059237146,3.0286667574046433,-40.05517343955199
NGC4010,12,0.4782390639398185,,,17.43181519383316,1.584710472166651,-43.896721173879534
NGC4013,36,0.5274858117609126,,,55.46694620591465,1.5847698915975614,-133.75582725283968
NGC4051,7,0.46959088904213164,,,10.402748898128136,1.733791483021356,-28.273450742367615
