galaxy,n,Upsilon_med,Upsilon_bulge_med,log10_M200_med,chi2,chi2_red,loglike
CamB,9,0.4872781943481507,,11.124613713799114,144.66943443086456,18.08367930385807,-94.3388704168616
D564-8,6,0.49709966793024496,,11.093414323770633,79.92713809593712,15.985427619187424,-55.13119764797359
D631-7,16,0.49831767392934945,,10.691028326965544,92.12599209172912,6.141732806115274,-86.30827852813093
DDO154,12,0.510848046871001,,11.256242436030654,175.72669554650474,15.975154140591341,-116.54423256651675
DDO168,10,0.5047848349606583,,11.34036472542645,46.724100828641745,5.191566758737972,-48.6868514835698
ESO444-G084,7,0.5121225609704805,,11.358370923807783,2.4358404403708183,0.4059734067284697,-20.942763140024415
ESO563-G021,30,0.5012675206151285,,11.8206268255434,1262.7842384981645,43.544284086143605,-727.1775246064071
F568-3,18,0.5163409038565042,,10.838367196976197,59.669383473221835,3.5099637337189313,-88.66547901126042
F568-V1,15,0.48854588227796547,,10.824630662518814,6.030940080126511,0.4307814342947508,-58.87605619471513
F574-1,14,0.48137024327005895,,11.10471494137851,14.989551538342845,1.1530424260263727,-47.263346512064615
IC2574,34,0.51687237053643,,10.826407890230213,198.23370091188644,6.00708184581474,-187.93994155640198
IC4202,32,0.5121251348498325,,11.269248102173036,1477.3088537085946,47.65512431318047,-834.0390110815698
NGC0024,29,0.4997929233979851,,11.566925228319935,71.92355301551662,2.5686983219827364,-125.28907800813879
NGC0055,21,0.48994898359186345,,10.616835239686978,65.80154817803566,3.290077408901783,-88.67751077770305
NGC0247,26,0.5027440367346271,,10.89807565034549,29.973955014285018,1.1989582005714008,-87.53540539464095
NGC0300,25,0.5155925205826271,,11.111029276076078,16.248136543984028,0.6770056893326678,-83.3861732013668
NGC0801,13,0.49862090060981534,,10.912748755149256,534.481856451249,44.54015470427075,-303.80505526982233
NGC0891,18,0.49803222207371983,,11.259154794753561,376.97760082318746,22.175152989599262,-237.067919135128
NGC2403,73,0.49268469598134207,,11.251535380497954,130.28101474815537,1.8094585381688246,-248.4970538985993
NGC2683,11,0.48312853849778703,,10.88773819683004,153.6785670507951,15.36785670507951,-112.14499669715067
NGC2841,50,0.47777821139711263,,11.457246810833807,650.4169799841779,13.273815918044448,-478.5398264286567
NGC2915,30,0.5056963857462922,,10.858904961165816,28.067522549488714,0.9678456051547832,-108.00462621131791
NGC2955,24,0.4876880136912193,,11.310761169274166,105.32274510039801,4.5792497869738265,-130.43399031518527
NGC2976,27,0.5085251942552595,,10.923699403951812,33.025061277793725,1.270194664530528,-88.34847132767413
NGC2998,13,0.5092368682050282,,10.816310242918707,343.3530929973616,28.612757749780133,-212.3188436885634
NGC3109,25,0.5034550141553545,,11.038709128805767,103.38827022354297,4.307844592647624,-115.48217455204004
NGC3198,43,0.5070400444176146,,11.146076355852546,263.1286381060735,6.264967573954131,-249.5051073085266
NGC3726,12,0.48184551734928077,,10.955512817765538,74.00275129881231,6.727522845346574,-73.2451607010561
NGC3741,21,0.48714545321935043,,11.078299245355177,148.8185505756907,7.440927528784535,-126.71580675095097
NGC3769,12,0.49668466305513953,,10.969615013386306,37.38801767446581,3.39891069767871,-55.61200127056118
NGC3877,13,0.4996946523326885,,10.967188517999448,69.13041482784737,5.760867902320615,-72.81189157861989
NGC3893,10,0.4870179843283987,,11.345029923681258,34.01074975411383,3.7789721949015367,-49.055755397279626
NGC3917,17,0.5181441022471416,,11.16908604421762,92.53535508495881,5.783459692809926,-92.37632399364276
NGC3949,7,0.5092153288769647,,10.963783674105066,5.504746806236562,0.917457801039427,-25.49797906374178
NGC3953,8,0.5069613667135616,,10.959019915662198,96.9689847301336,13.8527121043048,-72.38421261650872
NGC3972,10,0.49337702084185286,,10.629495251632115,133.5461510068062,14.838461222978468,-94.68153325598695
NGC3992,9,0.5200447984138064,,11.401121570364843,185.49081299497112,23.18635162437139,-119.95415614716133
NGC4010,12,0.49218220403635715,,10.987257339924119,49.540501072474555,4.503681915679505,-58.98388276663461
NGC4013,36,0.5035931043293884,,11.661735187614156,88.10534886484335,2.517295681852667,-147.2942881498338
NGC4051,7,0.49655549450819453,,11.18264117648086,3.1031336784312824,0.5171889464052137,-24.273517605221556
NGC4068,6,0.5013802987102742,,10.741259630307733,17.730567966838287,3.5461135933676573,-25.08811627364372
NGC4085,7,0.5131191579765548,,10.813737492373548,33.46596965441881,5.577661609069801,-36.97048851454405
NGC4088,12,0.4931006475085459,,10.90759544819132,44.82457794788398,4.074961631625817,-59.37844317032308
NGC4100,24,0.49249207552257357,,11.024205474394474,372.6895100670823,16.20389174204706,-256.8149352061987
NGC4138,7,0.4985193485250521,,11.029403484689297,21.436862477570777,3.572810412928463,-36.1197255769894
NGC4157,17,0.48277564765014047,,11.303745212006117,78.70671183849535,4.9191694899059595,-92.96585539786673
NGC4183,23,0.5263243186259772,,11.141313129350445,2.920723874988531,0.13276017613584232,-68.1606482958271
NGC4217,19,0.4797929448064282,,11.061281868945688,329.90092389377475,18.32782910520971,-222.2843256594779
NGC5005,18,0.5011172369515369,,10.839269426448805,21.287548117122817,1.2522087127719304,-81.95540360511401
NGC5055,28,0.5024605225026053,,11.662311764803228,223.2510510154541,8.268557445016818,-186.76451858051132
NGC5907,19,0.5039738924213306,,11.824597373315521,324.8745456506815,18.048585869482306,-212.1074354979945
NGC6195,23,0.5036041780898999,,10.898990509378024,125.5085668977302,5.704934858987737,-133.71350817025495
NGC6503,31,0.5011459115615478,,11.036462102321064,147.5582003438167,4.918606678127223,-150.98795865375152
NGC6674,15,0.4880590580798452,,11.294960998039715,190.9023225605793,13.635880182898521,-139.50401886351372
NGC6789,4,0.5227993790738947,,10.899327638818912,4.710802370438037,1.5702674568126789,-14.010301136865897
NGC7331,36,0.5045300575374554,,11.658908315016415,579.7295298217007,16.56370085204859,-390.43997798726906
NGC7793,46,0.49552756936096987,,10.787112231357872,29.940528850622606,0.6653450855693912,-154.6214748494718
NGC7814,18,0.4939571674813366,,11.762074056402788,585.5240569010194,34.44259158241291,-343.55474802551504
