galaxy,pwaic_contribution,n_points,mean_var_loglik
CamB,2.7136442900754982,9,0.3015160322306109
D564-8,0.08370720186067737,6,0.013951200310112896
D631-7,1.964088176000204,16,0.12275551100001275
DDO154,0.13897904097122746,12,0.011581586747602289
DDO168,0.2844258163621124,10,0.028442581636211238
ESO444-G084,0.06999146400851415,7,0.009998780572644878
ESO563-G021,263.8447398381708,30,8.794824661272362
F568-3,0.09263454237832391,18,0.00514636346546244
F568-V1,0.6075092657996384,15,0.040500617719975894
F574-1,1.423224712108107,14,0.10165890800772193
IC2574,10.217724893467164,34,0.30052132039609303
IC4202,213.27238558548433,32,6.664762049546385
NGC0024,8.031219653843724,29,0.27693860875323184
NGC0055,10.714747055465146,21,0.510226050260245
NGC0247,0.959110285001102,26,0.036888857115427
NGC0300,0.044720112801590974,25,0.0017888045120636388
NGC0801,97.56555446534486,13,7.505042651180374
NGC0891,67.09213869118753,18,3.7273410383993073
NGC2403,32.73235895665547,73,0.4483884788582941
NGC2683,4.67881988794444,11,0.4253472625404036
NGC2841,255.51459142431133,50,5.110291828486226
NGC2915,3.6774142682392204,30,0.12258047560797401
NGC2955,3.742597501403817,24,0.15594156255849237
NGC2976,0.6491749063448694,27,0.024043515049809977
NGC2998,3.6417163101596888,13,0.2801320238584376
NGC3109,0.5212889029781941,25,0.020851556119127763
NGC3198,12.890381061832679,43,0.2997763037635507
NGC3726,17.396293176514455,12,1.4496910980428712
NGC3741,0.14100918558537562,21,0.006714723123113124
NGC3769,3.1661409921535304,12,0.2638450826794609
NGC3877,20.212255721782288,13,1.5547889016755607
NGC3893,1.9859292318005293,10,0.19859292318005292
NGC3917,2.387220134201827,17,0.14042471377657806
NGC3949,4.022370133139184,7,0.5746243047341691
NGC3953,4.827689225048122,8,0.6034611531310152
NGC3972,0.8451577079665151,10,0.08451577079665151
NGC3992,12.695162455251463,9,1.4105736061390515
NGC4010,2.2705461037210695,12,0.18921217531008913
NGC4013,36.350392973748896,36,1.0097331381596915
NGC4051,1.9772741687276407,7,0.28246773838966294
NGC4068,0.1780859584925445,6,0.02968099308209075
NGC4085,7.169199618453892,7,1.0241713740648417
NGC4088,71.45517405105791,12,5.954597837588159
NGC4100,8.505175175609448,24,0.35438229898372703
NGC4138,3.389010839989101,7,0.4841444057127287
NGC4157,34.925928529639464,17,2.0544663840964392
NGC4183,4.423973521316325,23,0.19234667483984022
NGC4217,123.54146919600163,19,6.502182589263244
NGC5005,2.1539543738704925,18,0.11966413188169403
NGC5055,8.672222976218718,28,0.3097222491506685
NGC5907,102.20447030682315,19,5.379182647727535
NGC6195,12.990871957294516,23,0.5648205198823703
NGC6503,7.954462187981882,31,0.25659555445102844
NGC6674,3.466572642328473,15,0.2311048428218982
NGC6789,0.13275403898452123,4,0.03318850974613031
NGC7331,63.42350180593063,36,1.7617639390536286
NGC7793,0.27825249478442204,46,0.006048967277922218
NGC7814,166.55371245221505,18,9.252984025123059
UGC00128,0.5482395336304317,22,0.024919978801383257
UGC01281,0.08307784151625122,25,0.003323113660650049
UGC02487,4.919951843345897,17,0.2894089319615234
UGC02885,25.111025016050974,19,1.32163289558163
UGC02916,2.7905816317220795,43,0.06489724724935068
UGC03205,103.26271832709426,48,2.151306631814464
UGC04483,0.042146931704718955,8,0.005268366463089869
UGC05005,0.07552185047233603,11,0.006865622770212367
UGC05750,0.1668830782838737,11,0.015171188934897608
UGC06399,0.19554326110148337,9,0.02172702901127593
UGC06614,0.04755989114375365,13,0.0036584531649041267
UGC06667,2.263964106803219,9,0.2515515674225799
UGC06818,2.3128088294646956,8,0.28910110368308695
UGC06917,0.6743895863059037,11,0.06130814420962761
UGC06923,0.39521907520530875,6,0.06586984586755146
UGC06930,0.12315068358582609,10,0.01231506835858261
UGC06983,2.4544339188108686,17,0.14437846581240404
UGC07089,2.7540298893717594,12,0.22950249078097995
UGC07151,0.6525538155352125,11,0.05932307413956477
UGC07232,0.06753430306184667,4,0.016883575765461668
UGC07524,1.2719742689866589,31,0.04103142803182771
UGC07559,0.3685925682460399,7,0.0526560811780057
UGC07577,0.6670129226707838,9,0.07411254696342043
UGC07866,0.07767694928227062,7,0.011096707040324375
UGC08286,9.108564883905442,17,0.535797934347379
UGC08490,3.0096423144745748,30,0.10032141048248583
UGC08837,1.5185453617380702,8,0.18981817021725877
UGC09037,57.523967782912955,22,2.6147258083142253
UGC09133,3.6235670614651796,68,0.0532877509038997
UGC11455,55.44766125814708,36,1.5402128127263077
UGC12506,35.359416271575334,31,1.1406263313411398
UGCA442,0.039562680174515016,8,0.004945335021814377
UGCA444,0.14192544725154843,36,0.003942373534765235
