galaxy,pwaic_contribution,n_points,mean_var_loglik
ESO563-G021,263.8447398381708,30,8.794824661272362
NGC2841,255.51459142431133,50,5.110291828486226
IC4202,213.27238558548433,32,6.664762049546385
NGC7814,166.55371245221505,18,9.252984025123059
NGC4217,123.54146919600163,19,6.502182589263244
UGC03205,103.26271832709426,48,2.151306631814464
NGC5907,102.20447030682315,19,5.379182647727535
NGC0801,97.56555446534486,13,7.505042651180374
NGC4088,71.45517405105791,12,5.954597837588159
NGC0891,67.09213869118753,18,3.7273410383993073
NGC7331,63.42350180593063,36,1.7617639390536286
UGC09037,57.523967782912955,22,2.6147258083142253
UGC11455,55.44766125814708,36,1.5402128127263077
NGC4013,36.350392973748896,36,1.0097331381596915
UGC12506,35.359416271575334,31,1.1406263313411398
NGC4157,34.925928529639464,17,2.0544663840964392
NGC2403,32.73235895665547,73,0.4483884788582941
UGC02885,25.111025016050974,19,1.32163289558163
NGC3877,20.212255721782288,13,1.5547889016755607
NGC3726,17.396293176514455,12,1.4496910980428712
