galaxy,radius,var_loglik,v_obs,v_model_mean
ESO563-G021,8.47,70.5371182454908,283.0,224.47378056497885
IC4202,1.59,59.530774275520734,77.9,142.0985151000432
IC4202,0.77,55.62377322494402,35.1,104.87229246031931
NGC4217,3.5,35.0674129133006,164.0,214.22273632351005
ESO563-G021,12.06,33.49475315876162,310.0,258.65492798474895
ESO563-G021,7.58,28.28497183019116,268.0,212.31482331345063
NGC0891,3.24,27.136227486027433,212.0,257.232126747578
ESO563-G021,6.69,26.22187031943432,246.0,201.55624072852083
NGC4217,1.74,22.400464049028102,98.9,165.3133219822938
NGC4217,2.61,22.032648579792067,146.0,198.60919850977555
UGC02885,1.7,21.55347525768971,305.0,220.14902486691915
ESO563-G021,5.79,21.483065776739767,227.0,185.11763254252295
NGC7814,8.37,20.465074167917685,226.0,194.0261331873767
NGC0801,31.67,20.417102706101918,222.0,266.28969201438974
NGC5907,5.03,20.03807297647162,214.0,165.90939986178552
NGC4088,6.98,17.497793806448534,179.0,222.24736343285525
NGC7814,11.74,17.29684353786144,216.0,186.76232311613077
NGC0891,4.17,16.972675835734382,223.0,249.06837841053675
NGC7814,12.82,16.895451374255455,214.0,184.61119678490292
NGC7814,10.65,16.87501244327513,219.0,188.81702439252453
