galaxy,radius,var_loglik,v_obs,v_model_mean
CamB,0.16,0.0060452134880845205,1.99,8.847582161010875
CamB,0.41,0.15312903700156086,4.84,17.819575417215024
CamB,0.57,0.2869904432785131,6.79,21.861567739909066
CamB,0.73,0.4108211287668038,8.87,25.322164950235788
CamB,0.9,0.47701291000054113,10.9,28.008034491492676
CamB,1.06,0.4618586235767663,12.9,29.8561533425215
CamB,1.22,0.3917841190821508,14.7,30.87889590875818
CamB,1.47,0.3602401965979106,16.8,32.30569135288985
CamB,1.79,0.16576261828316693,20.1,32.08713429932288
D564-8,0.51,0.01338091708756375,8.54,16.067901169342367
D564-8,1.02,0.020844861351059844,15.1,22.818809739697468
D564-8,1.53,0.013912239001542964,19.8,26.50167664640069
D564-8,2.04,0.01460255954721828,21.9,28.65838632355562
D564-8,2.56,0.010907340370333257,24.0,29.99072143193192
D564-8,3.07,0.010059284502959273,25.0,30.86459914253433
D631-7,0.45,0.1810724602690293,8.41,22.216001139170018
D631-7,0.9,0.2637823126548827,17.8,33.55055303399654
D631-7,1.35,0.33287325899037706,26.0,42.132357444776616
D631-7,1.8,0.35489489546229563,30.9,46.82084776018319
D631-7,2.25,0.326098496339875,34.7,49.43423005046503
D631-7,2.69,0.2174335060464028,38.8,51.50538348589666
D631-7,3.14,0.13395936348847262,42.5,52.743195634669775
D631-7,3.59,0.07749413663503522,45.6,53.72338224659702
D631-7,4.04,0.03412515534123027,48.8,54.471435452017644
D631-7,4.49,0.01095263728397179,51.8,54.82678813178937
D631-7,4.94,0.0026409681612515235,54.8,55.112944103169404
D631-7,5.39,0.003728043115099616,56.6,55.174832026787215
D631-7,5.84,0.008380293089874957,58.4,55.16727402036767
D631-7,6.29,0.007140175937045169,58.5,55.078694444103206
D631-7,6.74,0.004898073181014345,57.7,54.944820607773586
D631-7,7.19,0.004614400004345946,57.3,54.75072523766828
DDO154,0.49,0.029295322776160964,13.8,20.814656296919004
DDO154,0.99,0.04455357794214436,21.6,28.61361815253515
DDO154,1.48,0.013046937839675954,28.9,33.25373790759769
DDO154,1.97,0.007228144221468968,34.3,37.32374247008888
DDO154,2.47,0.005246997428329181,38.2,40.368059631229265
DDO154,2.96,0.004227912054621401,42.0,43.44950270089977
DDO154,3.46,0.005338297960714477,44.6,46.565935539988025
DDO154,3.95,0.005428020043074228,46.3,48.226373246865776
DDO154,4.44,0.00440087310236368,47.4,48.810481717944675
DDO154,4.94,0.0036827699151937765,48.2,49.132653177483476
DDO154,5.43,0.005063230097866869,47.4,49.16943259344099
DDO154,5.92,0.011466957589613603,45.5,49.11126764691965
DDO168,0.41,0.004764547153099044,15.0,22.968340115373824
DDO168,0.82,0.08911766532932357,23.4,35.99702393824619
DDO168,1.24,0.09419640174117552,29.2,42.09802453681545
DDO168,1.64,0.04366701820416084,36.2,45.10456450147832
DDO168,2.06,0.019401614726952232,44.0,49.49464667952667
DDO168,2.47,0.002186107557459914,52.1,52.13771481855429
DDO168,2.89,0.003525059105166114,52.9,54.242008872526
DDO168,3.3,0.002560802747383689,54.8,55.70276553829889
DDO168,3.71,0.004707165223692189,55.0,57.141121778805584
DDO168,4.12,0.020299434573699288,52.0,58.1191697833948
ESO444-G084,0.26,0.002060240723299103,18.3,15.771274066301777
ESO444-G084,0.77,0.0031134050137384176,35.3,30.30510118939148
ESO444-G084,1.29,0.005969019500777379,47.8,38.34602796081006
ESO444-G084,1.81,0.00787331172782686,52.8,43.53867383636285
ESO444-G084,2.32,0.009121828932914895,58.0,46.60891359904758
ESO444-G084,3.39,0.03002796598283689,63.1,46.59845290250919
ESO444-G084,4.44,0.011825692127120604,62.7,44.99614064961139
ESO563-G021,0.45,0.3762560811748225,18.9,58.21394814135827
ESO563-G021,1.34,1.3530702770083614,58.3,105.71137319363895
ESO563-G021,2.23,10.667159950980881,74.1,124.36457248789571
ESO563-G021,3.12,2.026559367550513,119.0,135.86238675176185
ESO563-G021,4.01,0.5751428875146477,141.0,148.6440958628836
ESO563-G021,4.9,8.213337144154202,195.0,165.19624740615123
ESO563-G021,5.79,21.483065776739767,227.0,185.11763254252295
ESO563-G021,6.69,26.22187031943432,246.0,201.55624072852083
ESO563-G021,7.58,28.28497183019116,268.0,212.31482331345063
ESO563-G021,8.47,70.5371182454908,283.0,224.47378056497885
ESO563-G021,10.23,6.527990492027469,291.0,243.4434964048154
ESO563-G021,12.06,33.49475315876162,310.0,258.65492798474895
ESO563-G021,13.44,0.6346441859290722,310.0,264.57802589013164
ESO563-G021,15.18,1.0302838767317857,310.0,272.16313396244465
ESO563-G021,16.83,1.668421306610762,314.0,277.52292761342386
ESO563-G021,18.56,2.2057539189843767,317.0,277.5553670466036
ESO563-G021,20.3,3.568793105975282,319.0,279.79044344597986
ESO563-G021,21.94,2.445658865745605,318.0,283.91922731138754
ESO563-G021,23.68,2.5795303673620156,317.0,287.32442569843226
ESO563-G021,25.41,4.485845284360321,317.0,285.0542918602822
ESO563-G021,27.06,2.758277651470026,312.0,282.44513938861644
ESO563-G021,28.8,3.372690854062622,312.0,278.4906969918689
ESO563-G021,30.53,1.7939223710444447,311.0,274.8478559730695
ESO563-G021,32.18,0.9137069963208294,310.0,273.1058819522524
ESO563-G021,33.91,0.7856808167682096,313.0,272.158077454711
ESO563-G021,35.65,5.122715919371241,320.0,270.2890481369662
ESO563-G021,37.3,6.689223393949286,321.0,269.02621361624074
ESO563-G021,39.03,6.510061509948547,320.0,267.15936569923787
ESO563-G021,40.76,3.6351705892573363,315.0,265.4416627995258
ESO563-G021,42.41,3.8830632932505535,312.0,264.28484038534975
F568-3,0.64,0.003113445380373038,12.4,21.675032938550082
F568-3,1.18,0.00938213831118891,21.9,31.75304166614274
F568-3,1.8,0.01344473155365385,32.3,40.46953539822389
F568-3,2.03,0.004308797617830594,37.9,43.22332394095838
F568-3,2.78,0.00017361349571993115,53.1,51.82065520760296
F568-3,3.0,0.0021947711297753696,62.4,54.05290754313147
F568-3,3.64,0.003820942631740335,68.0,60.01607324959172
F568-3,4.19,0.010052547247382282,78.0,64.68022382396467
F568-3,4.6,0.01623142370642748,82.3,67.15591857729896
F568-3,5.14,0.015739677642676697,85.7,69.99694901965212
F568-3,5.39,0.010450849327902887,85.5,71.63284011994219
F568-3,6.31,0.0016345460504068928,89.5,77.99436145273714
F568-3,9.1,6.326573616395683e-05,95.2,92.77380473104047
F568-3,10.17,0.000475989539223944,97.5,97.94157961721567
F568-3,11.99,0.0008129760588827743,101.0,104.42875624266712
F568-3,14.02,0.0005803405958162964,107.0,109.6114151718599
F568-3,15.94,7.135052183587697e-05,117.0,114.4224224299264
F568-3,17.98,8.313583132280172e-05,120.0,117.6715964473571
F568-V1,0.39,5.497815521632436e-06,17.4,19.202127540386883
F568-V1,1.18,1.781755027944326e-05,46.3,39.86309473449196
F568-V1,1.95,0.011910659915791913,69.1,49.13878547288356
F568-V1,2.74,0.1384124336932511,85.2,54.638450795186216
F568-V1,3.53,0.12711359084330515,93.2,61.54819618872921
F568-V1,4.3,0.043113861652176,100.0,67.6312305986844
F568-V1,5.09,0.1265558532238731,108.0,71.73809847153248
F568-V1,5.87,0.11884972536176087,112.0,74.50376613608643
F568-V1,6.4,0.007650269285069375,113.0,76.7364590443349
F568-V1,7.44,0.016602448846473376,113.0,81.59189447819813
F568-V1,8.21,0.012961555725642495,112.0,85.23742128189805
F568-V1,9.0,0.001497646821426476,111.0,87.93842361468117
F568-V1,9.72,0.001907588773946599,111.0,91.17534711688467
F568-V1,11.79,0.0006704639184902306,113.0,100.33286945208829
F568-V1,17.63,0.000239852372630616,118.0,107.13576619567066
F574-1,0.47,0.004782115818898402,15.3,19.97233939662513
F574-1,1.41,0.0036994894820024694,41.0,42.93580614015724
F574-1,2.35,0.04326253152924825,60.7,54.46770750261352
F574-1,3.29,0.2591874489363087,74.9,59.71340114020441
F574-1,4.22,0.21930123745122498,83.0,64.95055954405136
F574-1,5.17,0.3032778035312167,86.8,70.37599831037879
F574-1,6.11,0.201875138386502,89.4,75.5997765660656
F574-1,7.05,0.16515452035035694,92.5,79.48928358624853
F574-1,7.99,0.10561296002495925,94.7,83.7519759346091
F574-1,8.92,0.07102401964502321,96.3,86.69962944070386
F574-1,9.87,0.03179112652746307,97.8,91.03211202853129
