galaxy,n,Upsilon_med,Upsilon_bulge_med,log10_M200_med,chi2,chi2_red,loglike
CamB,9,0.5071547086107717,,,61.62519109184253,7.703148886480316,-52.95921210893501
D564-8,6,0.46596799805648825,,,5.694389458897025,1.1388778917794051,-17.83768155101468
D631-7,16,0.49804126430971885,,,55.51937094670234,3.7012913964468224,-68.62193962047537
DDO154,12,0.4748507855568171,,,4.987038919170336,0.45336717447003055,-31.50905305910164
DDO168,10,0.5255543477376929,,,16.401688774333465,1.8224098638148294,-33.7097734195176
ESO444-G084,7,0.4723965656542608,,,5.025881290862925,0.8376468818104875,-22.04042932299
ESO563-G021,30,0.5156989208129291,,,312.0754680778274,10.761223037166461,-252.75137112421064
F568-3,18,0.4681899777825289,,,19.393956707498415,1.1408209827940243,-68.68999960779217
F568-V1,15,0.5362182963688193,,,17.402873285638492,1.2430623775456067,-64.63871955729407
F574-1,14,0.48394626021774667,,,19.308654726244804,1.4852811327880617,-49.64899493127146
IC2574,34,0.4621123198397886,,,37.10680026980542,1.1244484930244065,-108.62054696117832
IC4202,32,0.4760452123826423,,,463.6819443006481,14.957482074214456,-328.7344094509074
NGC0024,29,0.5089295535798997,,,79.494327120996,2.839083111464143,-129.39463005128846
NGC0055,21,0.5113071673146858,,,76.87205080007055,3.843602540003528,-95.13173804794852
NGC0247,26,0.4664983723024799,,,15.86664182972089,0.6346656731888356,-81.33284321202638
NGC0300,25,0.5263442498892295,,,10.769376674543793,0.4487240281059914,-81.13670492998874
NGC0801,13,0.4681960930452231,,,115.92816411231772,9.660680342693142,-95.69188709088064
NGC0891,18,0.48044900752699543,,,187.0768675110913,11.004521618299488,-143.14560578727233
NGC2403,73,0.48510730646266975,,,84.94537040235198,1.1797968111437775,-229.35219077064215
NGC2683,11,0.5114789390792376,,,11.451151921550409,1.1451151921550409,-41.35929482934544
NGC2841,50,0.4995996747030266,,,97.45548175187288,1.9888873826912832,-203.38493881668714
