galaxy,n,Upsilon_med,Upsilon_bulge_med,log10_M200_med,chi2,chi2_red,loglike
CamB,9,0.805164689189301,,,0.07793044614904474,0.009741305768630592,-41.90710136753728
D564-8,6,0.3456742519596854,,,0.5130529002298551,0.10261058004597101,-28.169961596061835
D631-7,16,0.3262030152605212,,,6.64148876851641,0.44276591790109404,-77.77369893462757
DDO154,12,0.7309669475220673,,,3.6984456082672,0.3362223280242909,-57.66720662953032
DDO168,10,0.5221221059067831,,,2.4806264744283664,0.27562516382537405,-47.770772043531096
ESO444-G084,7,0.7805832143441825,,,4.016788299469386,0.669464716578231,-34.61548683250791
ESO563-G021,30,0.750569098577356,,,118.86057234703475,4.098640425759819,-199.79716704078288
F568-3,18,0.7607645540718831,,,8.38127408374007,0.4930161225729453,-88.64387644342277
F568-V1,15,0.5060486088305751,,,23.834206625392778,1.7024433303851985,-83.10963264421339
F574-1,14,0.5883784788702223,,,15.644915782424917,1.2034550601865321,-73.06311118313775
IC2574,34,0.3034206826389605,,,12.99300369405169,0.39372738466823304,-164.83029160756988
IC4202,32,0.7157438917783598,,,45.4668878509036,1.4666738016420517,-172.25224497869596
NGC0024,29,0.3453546765434828,,,44.80917696810724,1.6003277488609728,-157.8082214011983
NGC0055,21,1.0910816467506699,,,5.215624273573635,0.26078121367868173,-100.39444678769408
NGC0247,26,0.7426786437096708,,,20.79611111176583,0.8318444444706331,-131.59346477196098
NGC0300,25,0.5538134002091435,,,16.85881170257064,0.70245048760711,-125.37693915481859
NGC0801,13,0.6052953002079589,,,13.305229196830373,1.1087690997358643,-67.23425451645537
NGC0891,18,0.4358768865065795,,,26.826715671840375,1.5780420983435515,-97.2783512250304
NGC2403,73,0.3642026430345845,,,121.90950651608598,1.6931875905011942,-400.7294142687452
NGC2683,11,0.48107083432571635,,,26.714528270806888,2.6714528270806888,-64.79875865742085
NGC2841,50,0.8296463267593723,,,164.4706098590875,3.3565430583487244,-316.4698634387779
NGC2915,30,0.618211079786039,,,44.44189292780103,1.5324790664758976,-162.35480146570197
NGC2955,24,0.9731087133602222,,,11.453830155572344,0.49799261545966717,-118.9878876544386
NGC2976,27,1.0001450441915107,,,0.1987229209879803,0.0076431892687684735,-125.9823264003009
NGC2998,13,0.52573247694889,,,32.697996941251375,2.7248330784376145,-77.25369045798071
NGC3109,25,0.9923711478569573,,,12.768065185002055,0.5320027160417523,-122.73139941802506
NGC3198,43,0.5034645945099229,,,74.3592374607709,1.7704580347802594,-237.87179923944552
NGC3726,12,0.9494852115459249,,,7.868774946707975,0.7153431769734523,-59.99215685344424
NGC3741,21,1.3178472105846366,,,7.26859586362715,0.3634297931813575,-101.34416134214035
NGC3769,12,0.2239499826387931,,,27.07046641928546,2.4609514926623146,-69.58879750796993
NGC3877,13,0.5718382038962104,,,5.550645524444405,0.46255379370370037,-63.401157635995844
NGC3893,10,0.39107064947356146,,,24.969805300356015,2.7744228111506684,-59.25047441080981
NGC3917,17,0.7531858909599485,,,13.25946171713521,0.8287163573209506,-85.79357948934208
NGC3949,7,0.6393745432255911,,,1.0725185217969602,0.17875308696616002,-33.37352916855885
NGC3953,8,0.9023840943257851,,,0.29044580656660696,0.04149225808094385,-37.46822716944164
NGC3972,10,1.0014888795018817,,,2.515467289078268,0.2794963654531409,-47.84401376681245
NGC3992,9,0.9689704124342899,,,13.567466943412157,1.6959333679265196,-48.80882343269117
NGC4010,12,0.44965202532620746,,,10.632962031198058,0.9666329119270962,-61.23526542289318
NGC4013,36,0.564429925398937,,,81.07756035704281,2.3165017244869377,-208.34555848487648
NGC4051,7,0.435023906883399,,,3.403566413620599,0.5672610689367665,-34.46312852556793
NGC4068,6,0.5504002256426046,,,0.2716809636450232,0.05433619272900464,-28.068612772058188
NGC4085,7,0.683186324022589,,,1.394222476929783,0.2323704128216305,-33.32740302848641
NGC4088,12,0.4816170270170937,,,4.697925851479594,0.42708416831632673,-58.37613858232615
NGC4100,24,0.5433575485945958,,,51.08855871257083,2.2212416831552533,-137.47081218266737
NGC4138,7,0.4047064271634188,,,15.587492444313133,2.597915407385522,-40.809428786138234
NGC4157,17,0.5982200189011369,,,18.679044529397526,1.1674402830873454,-88.7923719002148
NGC4183,23,0.4467610829340535,,,32.61647021821125,1.4825668281005113,-123.5370828840423
NGC4217,19,0.3511966827944443,,,37.00919238818703,2.0560662437881683,-107.16027013065563
NGC5005,18,0.9286634660423372,,,16.86907641557241,0.99229861268073,-94.38567010149038
NGC5055,28,0.5668011029829514,,,34.868801245279364,1.291437083158495,-148.44407604475154
NGC5907,19,0.5784762739328974,,,65.76679283818501,3.653710713232501,-121.34482094688367
NGC6195,23,0.5697052841969398,,,8.838175633447186,0.4017352560657812,-112.21053879422554
NGC6503,31,0.22646979602840284,,,87.9637137793111,2.9321237926437034,-188.26369367599676
NGC6674,15,0.6725190162208612,,,51.16844171642522,3.654888694030373,-96.50124014370512
NGC6789,4,0.8479913108991914,,,1.2078891297912264,0.4026297099304088,-19.253697713174795
NGC7331,36,0.6299550508839641,,,53.842943273908446,1.5383698078259556,-194.7764504984368
NGC7793,46,0.971526904279603,,,3.036441242635443,0.0674764720585654,-216.84830301146735
NGC7814,18,0.59932908201968,,,59.883066410347695,3.522533318255747,-113.88413048924103
UGC00128,22,0.6187775899178112,,,47.49353910112127,2.261597100053394,-126.3685259258591
UGC01281,25,1.2209914693837924,,,4.154150521061334,0.17308960504422224,-118.54436204546961
UGC02487,17,0.975538961685464,,,42.67084053859878,2.666927533662424,-101.90091346014547
UGC02885,19,0.9747232041894638,,,41.96121053160188,2.331178362866771,-110.13136257877511
UGC02916,43,0.72987321905345,,,24.790590658350844,0.590252158532163,-214.74373406037495
UGC03205,48,0.7053680328181893,,,57.28402944895826,1.218809137211878,-253.19614606259964
UGC04483,8,0.34722054637072186,,,0.35797298668715394,0.05113899809816485,-37.39745453369734
UGC05005,11,0.4993930693142088,,,7.187471259078603,0.7187471259078604,-55.48904314040957
UGC05750,11,1.1348703687793198,,,2.103818808472303,0.21038188084723028,-52.496682801719714
UGC06399,9,0.5951996716241094,,,6.805822413147214,0.8507278016434018,-45.32964061847005
