galaxy,n,Upsilon_med,Upsilon_bulge_med,log10_M200_med,chi2,chi2_red,loglike
CamB,9,0.3499730258132477,,,21.60503805386408,2.70062975673301,-37.77287140509112
D564-8,6,0.49780419556305616,,,3.0542000174813606,0.6108400034962721,-19.604625363811742
D631-7,16,0.3919080567454242,,,18.351408375962954,1.2234272250641969,-57.73768557583006
DDO154,12,0.3828261601313218,,,1.322797867343704,0.12025435157670036,-36.469104964105256
DDO168,10,0.5390198748911177,,,6.002951056806687,0.6669945618674097,-33.411890289923264
ESO444-G084,7,0.40545662575743857,,,3.2234757842483663,0.5372459640413944,-23.882434015389492
ESO563-G021,30,0.6948084272780783,,,159.62324974013504,5.504249991039139,-182.74340029332103
F568-3,18,0.5484752366547587,,,10.170719662814914,0.5982776272244067,-67.69484912088444
F568-V1,15,0.5329688688411303,,,14.079728982599732,1.0056949273285523,-64.62390360817955
F574-1,14,0.6186320067067609,,,7.953844250904561,0.6118341731465047,-48.75250235300574
IC2574,34,0.28829900373490913,,,12.831941911368194,0.38884672458691494,-111.59644373473847
IC4202,32,0.5418279444123622,,,219.68649907879433,7.086661260606268,-215.62984740774436
NGC0024,29,0.8060104963132315,,,23.333046344673043,0.833323083738323,-108.0092939236774
NGC0055,21,0.22265181367370968,,,13.231641740301514,0.6615820870150757,-71.74029159951655
NGC0247,26,0.5364578819334475,,,5.503776538002131,0.22015106152008523,-85.44577379325924
NGC0300,25,0.3989899425888913,,,4.9356518425165135,0.20565216010485474,-85.5495181229165
NGC0801,13,0.4888827940293718,,,68.64543391190753,5.720452825992294,-76.09327537066167
NGC0891,18,0.4059153068767429,,,49.86132649583392,2.9330192056372897,-81.40208783527079
NGC2403,73,0.46186392917965313,,,28.30504933043066,0.3931256851448703,-236.59628183616326
NGC2683,11,0.5361896607857182,,,9.641762666532479,0.9641762666532478,-42.475235414528406
NGC2841,50,0.7233809138479966,,,25.593791111116303,0.5223222675738021,-180.50154786422863
NGC2915,30,0.7205911383293506,,,55.740095910033304,1.922072272759769,-128.46040607092885
NGC2955,24,0.6432446929122579,,,54.544021322442376,2.371479187932277,-110.6225986014745
NGC2976,27,0.4882577662096707,,,5.467055000158824,0.21027134615995477,-86.78144497953053
NGC2998,13,0.5709077672097528,,,28.558650319679078,2.3798875266399233,-59.22270281999339
NGC3109,25,0.5794643062666015,,,9.373061100538218,0.3905442125224257,-80.86752527064137
NGC3198,43,0.5577256863468059,,,18.588864322494896,0.4425920076784499,-146.258548732691
NGC3726,12,0.3478078903717573,,,10.1921405623524,0.9265582329411273,-45.01423163834278
NGC3741,21,0.49006059521241213,,,3.3069259916859273,0.16534629958429636,-65.041794770922
NGC3769,12,0.36888311496189763,,,3.612655410784576,0.32842321916223416,-42.05169397295268
NGC3877,13,0.41770454088979103,,,38.43188511965229,3.202657093304358,-61.662427809757006
NGC3893,10,0.47565688901865655,,,5.087971654195022,0.5653301837994469,-36.859551967517845
NGC3917,17,0.568005212423871,,,9.315174827390244,0.5821984267118903,-57.980059337698094
NGC3949,7,0.4559876845040177,,,1.7544860816541765,0.29241434694236274,-25.182106459120575
NGC3953,8,0.5245751647866997,,,6.397888405245927,0.9139840578922752,-29.64823267008759
NGC3972,10,0.591983015852744,,,3.8705075303883696,0.4300563922653744,-33.69818262865802
NGC3992,9,0.6185635328986654,,,10.221773887436644,1.2777217359295805,-35.06890256436413
NGC4010,12,0.4447848900990669,,,9.137454490483744,0.8306776809530677,-42.98281138548377
NGC4013,36,0.4364126541098502,,,23.39558681512564,0.6684453375750182,-127.57935037589954
NGC4051,7,0.4318768579306971,,,6.288509476850695,1.0480849128084493,-27.37615791102923
NGC4068,6,0.3604968233283371,,,3.1354006999093738,0.6270801399818747,-20.251176391440325
NGC4085,7,0.38546689414909174,,,12.842126388143184,2.140354398023864,-29.003720545984507
NGC4088,12,0.2945023767102555,,,5.40789200350509,0.49162654577319,-42.912515646264175
NGC4100,24,0.6227605843249444,,,13.789029891147711,0.5995230387455527,-85.17653263749061
NGC4138,7,0.5752101868143402,,,3.675719390121445,0.6126198983535741,-28.16778690967034
NGC4157,17,0.3905582484453725,,,5.199596125614343,0.3249747578508964,-60.44875663520183
NGC4183,23,0.482575430847644,,,13.63308075215803,0.619685488734456,-81.0907805190918
NGC4217,19,0.29713725207090946,,,70.10000684035954,3.894444824464419,-97.8412847379128
NGC5005,18,0.5036351834817501,,,1.4908916956677858,0.08769951150986975,-73.16136432018288
NGC5055,28,0.47783441825212164,,,6.096102300862198,0.22578156669859994,-91.69087391260823
NGC5907,19,0.5493186691544948,,,58.59397105708996,3.2552206142827753,-88.20232697239764
NGC6195,23,0.6426985763231537,,,48.62607465087776,2.2102761204944437,-101.81242669954776
NGC6503,31,0.5013592704379773,,,7.785251297889751,0.25950837659632503,-98.25337515762055
