galaxy,n,Upsilon_med,Upsilon_bulge_med,log10_M200_med,chi2,chi2_red,loglike
CamB,9,0.5139781577837116,,10.522914815748228,100.39431445083679,12.549289306354598,-73.72916973001091
D564-8,6,0.4750716370612012,,10.907942302625463,64.92632214265008,12.985264428530016,-48.58743471970293
D631-7,16,0.6369821677536428,,10.598111063140545,69.16640710082555,4.611093806721703,-77.40549272998686
DDO154,12,0.5080795524535869,,10.014510311552737,14.301311256648747,1.300119205149886,-37.9012494773597
DDO168,10,0.44664985826693016,,10.439302789359584,18.00316020263984,2.000351133626649,-35.75232281796385
ESO444-G084,7,0.27871318609103685,,9.99721900673905,7.183586484744971,1.197264414124162,-23.75212602116057
ESO563-G021,30,0.5465180404927177,,12.721492047922519,266.5362625708939,9.190905605892892,-231.42725725500324
F568-3,18,0.4093655482794762,,11.720205440612215,30.950461948876082,1.8206154087574167,-75.62846895760676
F568-V1,15,0.5076571126858239,,11.12735157267279,3.4920992401138835,0.24943566000813452,-58.15426048080264
F574-1,14,0.4378282742470583,,11.66894816034598,14.809274912819852,1.1391749932938349,-48.816750031627635
IC2574,34,0.5539196992915955,,9.79160225389105,122.85354468114801,3.7228346873075155,-154.961506751468
IC4202,32,0.4830736422658019,,12.318955721460174,354.14530953437446,11.424042243044337,-275.8912834882425
NGC0024,29,0.6577056543098949,,11.161384343070491,37.5581230691656,1.341361538184486,-109.82685319326552
NGC0055,21,0.754246366956118,,10.461091337965703,55.348481661264806,2.7674240830632404,-86.15433295924254
NGC0247,26,0.6632227516489223,,10.868751837799222,24.399135013601732,0.9759654005440693,-87.72293205944726
NGC0300,25,0.43233511740755104,,11.184749752065365,9.977870948297024,0.41574462284570934,-82.53116747468543
NGC0801,13,0.6106608490878827,,11.759469526459943,55.58700526400876,4.632250438667397,-65.71225102572822
NGC0891,18,0.4247317723636801,,12.269384719564199,86.81090768520299,5.106523981482529,-94.58069850433104
NGC2403,73,0.546699787790308,,11.608002556190508,30.293301923346597,0.420740304490925,-210.90648253799066
NGC2683,11,0.49941743469686195,,11.813172668247391,19.217851601732015,1.9217851601732014,-45.57317391531901
NGC2841,50,0.46711664231438643,,12.081995925965325,107.56240880314554,2.1951512000641946,-211.09357875986623
NGC2915,30,0.5581474369214561,,10.8577583866518,26.844458590535158,0.9256709858805227,-109.05783998403811
NGC2955,24,0.4209883556786061,,11.256610845799301,91.03073777430129,3.957858164100056,-124.5791773966689
NGC2976,27,0.5902275790610183,,12.276077003809572,33.96642788244967,1.3064010724019104,-92.65510594266468
NGC2998,13,0.4657704719630017,,12.023977086243931,24.50619986034829,2.0421833216956906,-54.369350049709624
NGC3109,25,0.35653550364084896,,10.579412125383056,65.8757531002415,2.7448230458433955,-100.41526214410771
NGC3198,43,0.5229754854851881,,11.710144581575353,23.025217742598276,0.5482194700618637,-135.49550189413944
