model,waic,delta_waic,p_waic,n_data,cov_mode,unit
ptq-nu,15156.626238894882,0.0,268.60959247453013,1782,diag,per_point
ptq-screen,15194.947266895233,38.32102800035136,309.3783830004463,1782,diag,per_point
mond,15207.906379357515,51.280140462633426,282.36206676592894,1782,diag,per_point
ptq,16045.282708807305,888.6564699124228,189.18385268974185,1782,diag,per_point
baryon,19615.353269457628,4458.727030562746,108.17494894093028,1782,diag,per_point
nfw1p,35982.88742212577,20826.26118323089,9225.397006363446,1782,diag,per_point
mond,13842.66071485547,0.0,164.98151166790777,91,full,per_gal
ptq-nu,13878.372623418361,35.71190856289104,178.6804011164663,91,full,per_gal
ptq-screen,13909.129187941287,66.4684730858171,195.96449377280476,91,full,per_gal
ptq,15142.717129161152,1300.0564143056818,295.11657832222363,91,full,per_gal
baryon,21259.736214952187,7417.0755000967165,1344.49109393769,91,full,per_gal
nfw1p,24897.93160898979,11055.27089413432,5482.321775091125,91,full,per_gal
