galaxy,pwaic_contribution,n_points,mean_var_loglik
CamB,0.6038032288481889,9,0.06708924764979877
D564-8,0.021546668982296936,6,0.0035911114970494894
D631-7,0.25877333124700064,16,0.01617333320293754
DDO154,0.02911599028057054,12,0.0024263325233808784
DDO168,0.034420472425123694,10,0.0034420472425123693
ESO444-G084,0.019290159538806546,7,0.0027557370769723637
ESO563-G021,28.302849533181462,30,0.9434283177727154
F568-3,0.07729868771707696,18,0.004294371539837609
F568-V1,0.35590687331760334,15,0.023727124887840224
F574-1,0.5289246058556853,14,0.03778032898969181
IC2574,1.2505856378709443,34,0.03678193052561601
IC4202,27.44967436579628,32,0.8578023239311338
NGC0024,1.3356364882233913,29,0.046056430628392805
NGC0055,0.9639278959702339,21,0.04590132837953494
NGC0247,0.2502194094927898,26,0.009623823442030378
NGC0300,0.06591323752407587,25,0.002636529500963035
NGC0801,14.84104543723541,13,1.1416188797873392
NGC0891,4.636237089457111,18,0.25756872719206175
NGC2403,2.992235567433276,73,0.040989528321003776
NGC2683,1.0183120069529985,11,0.09257381881390896
NGC2841,32.16337832804437,50,0.6432675665608873
NGC2915,1.5365140624932414,30,0.05121713541644138
NGC2955,4.2074108890944375,24,0.17530878704560157
NGC2976,0.4781703870368368,27,0.017710014334697658
NGC2998,3.307190436595351,13,0.25439926435348853
NGC3109,0.09006517514069218,25,0.003602607005627687
NGC3198,1.3434894364591774,43,0.031243940382771566
NGC3726,3.7721845074152194,12,0.31434870895126826
NGC3741,0.026442052914983465,21,0.0012591453769039745
NGC3769,0.6183074102305458,12,0.05152561751921215
NGC3877,5.162206447293425,13,0.39709280363795574
NGC3893,1.5466912101196983,10,0.15466912101196983
NGC3917,0.6884178370697889,17,0.04049516688645817
NGC3949,0.6753538272199084,7,0.09647911817427264
NGC3953,2.095179376029579,8,0.26189742200369737
NGC3972,0.477786256629363,10,0.0477786256629363
NGC3992,2.6661466562545977,9,0.296238517361622
NGC4010,1.0921139370759927,12,0.09100949475633273
NGC4013,2.505818662524229,36,0.06960607395900636
NGC4051,3.5068383641844263,7,0.5009769091692038
NGC4068,0.19254376389888261,6,0.032090627316480436
NGC4085,1.710080465884516,7,0.2442972094120737
NGC4088,2.386959798264046,12,0.19891331652200384
NGC4100,2.0528733771068524,24,0.08553639071278551
NGC4138,0.7388314733747983,7,0.1055473533392569
NGC4157,0.9376874288802638,17,0.05515808405178022
NGC4183,0.9178256094173627,23,0.03990546127901577
NGC4217,10.375293251411769,19,0.5460680658637773
NGC5005,0.23263488629201898,18,0.01292416034955661
NGC5055,5.724095191064651,28,0.20443197110945183
NGC5907,6.116989967653133,19,0.3219468404027965
NGC6195,27.7805744959263,23,1.2078510650402738
NGC6503,0.9254740436844123,31,0.02985400140917459
NGC6674,2.2566873891617703,15,0.150445825944118
NGC6789,0.08798805686796188,4,0.02199701421699047
NGC7331,3.0500047259199676,36,0.08472235349777688
NGC7793,0.414819113557954,46,0.00901780681647726
NGC7814,3.5997893451752496,18,0.19998829695418052
UGC00128,0.2741576309653174,22,0.012461710498423519
UGC01281,0.051547146359629266,25,0.0020618858543851705
UGC02487,3.0383738680838026,17,0.17872787459316486
UGC02885,7.432145397322648,19,0.3911655472275078
UGC02916,3.807165904300502,43,0.08853874196047679
UGC03205,8.747783009792172,48,0.18224547937067026
UGC04483,0.01122056135693517,8,0.0014025701696168962
UGC05005,0.08083163999490008,11,0.0073483309086272795
UGC05750,0.1824483028943204,11,0.016586209354029127
UGC06399,0.22295027862558842,9,0.024772253180620936
UGC06614,0.08868973591816681,13,0.006822287378320524
UGC06667,0.47316965939767247,9,0.052574406599741386
UGC06818,0.7961198613516061,8,0.09951498266895076
UGC06917,0.36659279727137406,11,0.03332661793376128
UGC06923,0.39651114351533506,6,0.06608519058588917
UGC06930,0.12127252572393757,10,0.012127252572393757
UGC06983,0.9286396065283833,17,0.05462585920755196
UGC07089,0.9147665966688385,12,0.07623054972240322
UGC07151,0.24055339451150595,11,0.021868490410136904
UGC07232,0.02466423488227542,4,0.006166058720568855
UGC07524,0.39983794444285636,31,0.012897998207834075
UGC07559,0.08351624836037413,7,0.011930892622910591
UGC07577,0.21763086762132586,9,0.02418120751348065
UGC07866,0.04755357083217996,7,0.006793367261739994
UGC08286,0.5931383053261542,17,0.034890488548597304
UGC08490,0.6228505972032368,30,0.020761686573441226
UGC08837,0.5189329490689987,8,0.06486661863362483
UGC09037,3.9683547158755017,22,0.1803797598125228
UGC09133,4.377728508974596,68,0.064378360426097
UGC11455,4.719598228618149,36,0.13109995079494857
UGC12506,2.3355297969609623,31,0.07533967086970846
UGCA442,0.008470259466902143,8,0.0010587824333627678
UGCA444,0.020272855595930596,36,0.0005631348776647388
