galaxy,pwaic_contribution,n_points,mean_var_loglik
NGC2841,32.16337832804437,50,0.6432675665608873
ESO563-G021,28.302849533181462,30,0.9434283177727154
NGC6195,27.7805744959263,23,1.2078510650402738
IC4202,27.44967436579628,32,0.8578023239311338
NGC0801,14.84104543723541,13,1.1416188797873392
NGC4217,10.375293251411769,19,0.5460680658637773
UGC03205,8.747783009792172,48,0.18224547937067026
UGC02885,7.432145397322648,19,0.3911655472275078
NGC5907,6.116989967653133,19,0.3219468404027965
NGC5055,5.724095191064651,28,0.20443197110945183
NGC3877,5.162206447293425,13,0.39709280363795574
UGC11455,4.719598228618149,36,0.13109995079494857
NGC0891,4.636237089457111,18,0.25756872719206175
UGC09133,4.377728508974596,68,0.064378360426097
NGC2955,4.2074108890944375,24,0.17530878704560157
UGC09037,3.9683547158755017,22,0.1803797598125228
UGC02916,3.807165904300502,43,0.08853874196047679
NGC3726,3.7721845074152194,12,0.31434870895126826
NGC7814,3.5997893451752496,18,0.19998829695418052
NGC4051,3.5068383641844263,7,0.5009769091692038
