galaxy,radius,var_loglik,v_obs,v_model_mean
IC4202,1.59,9.04523159324868,77.9,148.98690734391417
IC4202,0.77,7.2529417203279305,35.1,110.08212401686045
UGC02885,1.7,5.663444643670177,305.0,246.41933138178436
ESO563-G021,8.47,5.586854546143903,283.0,241.6517793940492
ESO563-G021,2.23,3.808399276418104,74.1,134.230668288128
ESO563-G021,7.58,3.0392869724229694,268.0,228.56095102476593
ESO563-G021,12.06,2.7523730562861353,310.0,278.1182192909718
NGC0801,31.67,2.635134855879893,222.0,258.35060638408686
NGC6195,7.34,2.409315936774371,233.0,275.1704749674059
UGC09037,2.43,2.1452537143673402,62.2,90.75029829654987
NGC0801,38.74,2.1103237413836196,219.0,258.2873602786973
IC4202,7.08,2.010845507884103,231.0,197.93223554549655
NGC5907,5.03,2.0066329991432283,214.0,167.91545332785907
NGC6195,16.35,1.9890224706381567,250.0,301.27905798318716
ESO563-G021,6.69,1.9822967758188426,246.0,217.0562149730831
NGC6195,6.34,1.9788616992665573,233.0,269.57281504430597
NGC6195,22.52,1.9535090060221507,254.0,310.21045164303035
NGC6195,14.3,1.8521985424379648,238.0,292.67475395809385
NGC6195,17.92,1.831533584709039,253.0,305.16532430014524
NGC0891,3.24,1.7877085645304192,212.0,248.75541887442674
