galaxy,radius,var_loglik,v_obs,v_model_mean
CamB,0.16,0.002031597192377349,1.99,8.673941089587478
CamB,0.41,0.028182729697751565,4.84,17.464537570000424
CamB,0.57,0.05263371510097832,6.79,21.433968380355594
CamB,0.73,0.07964429646744513,8.87,24.832095424184367
CamB,0.9,0.09470687168164231,10.9,27.475232791550386
CamB,1.06,0.09533338761196301,12.9,29.29634262086582
CamB,1.22,0.08601025540537284,14.7,30.303968652282276
CamB,1.47,0.10057130753711395,16.8,31.681416535922523
CamB,1.79,0.06468906815354442,20.1,31.44864569859511
D564-8,0.51,0.003202056586289771,8.54,15.755200484895306
D564-8,1.02,0.005386964788738743,15.1,22.389338631986917
D564-8,1.53,0.004108283447237856,19.8,26.019810035090213
D564-8,2.04,0.003802255576869825,21.9,28.154148500617676
D564-8,2.56,0.002699624616872015,24.0,29.476897798186233
D564-8,3.07,0.0023474839662887266,25.0,30.34472649422581
D631-7,0.45,0.014840893631993651,8.41,21.30005152759174
D631-7,0.9,0.034044430292065324,17.8,32.201702065136544
D631-7,1.35,0.05756323616051175,26.0,40.3141718440788
D631-7,1.8,0.05592733929739972,30.9,44.95090568219255
D631-7,2.25,0.040008114508322874,34.7,47.687492721672754
D631-7,2.69,0.0238196940414754,38.8,49.84164674369405
D631-7,3.14,0.012300862785726967,42.5,51.16764647395586
D631-7,3.59,0.006385378238386875,45.6,52.19935588057821
D631-7,4.04,0.0026410083535302127,48.8,52.992626084229556
D631-7,4.49,0.0010490338257840568,51.8,53.383698836143466
D631-7,4.94,0.0009948911304767086,54.8,53.70014186918852
D631-7,5.39,0.0014863547690025319,56.6,53.78399939097849
D631-7,5.84,0.0023019840645907273,58.4,53.793082897608514
D631-7,6.29,0.002112583294912908,58.5,53.7168197265702
D631-7,6.74,0.0016841939145631373,57.7,53.59086901160809
D631-7,7.19,0.0016133329382577513,57.3,53.40152208901342
DDO154,0.49,0.00914999559455955,13.8,18.83509203361669
DDO154,0.99,0.00961431467724489,21.6,26.472790316395876
DDO154,1.48,0.0019115155497256607,28.9,31.574860873524663
DDO154,1.97,0.0010262991225634735,34.3,35.94857987070852
DDO154,2.47,0.0009304544525049518,38.2,39.185580468036626
DDO154,2.96,0.0009671762715167191,42.0,42.391394180077754
DDO154,3.46,0.0009140839652188837,44.6,45.58408084740632
DDO154,3.95,0.0009122581872297395,46.3,47.27559154510542
DDO154,4.44,0.0009502067459208741,47.4,47.872195090976554
DDO154,4.94,0.000988270960700552,48.2,48.201428268728876
DDO154,5.43,0.0009082921935283742,47.4,48.24247992548893
DDO154,5.92,0.0008431225598568668,45.5,48.18673710179916
DDO168,0.41,0.0010826104272198224,15.0,22.38464530571622
DDO168,0.82,0.007938536935799533,23.4,35.17748559039475
DDO168,1.24,0.011532096443702056,29.2,41.078352442277115
DDO168,1.64,0.005864825844837715,36.2,43.9627811097072
DDO168,2.06,0.0023667472162989217,44.0,48.27308110923755
DDO168,2.47,0.000937472297171863,52.1,50.871214319311
DDO168,2.89,0.0007671272543640819,52.9,52.940964639512956
DDO168,3.3,0.0007398444880741499,54.8,54.343047098944375
DDO168,3.71,0.0007417304299858401,55.0,55.74760546678676
DDO168,4.12,0.0024494810876697177,52.0,56.75294986602169
ESO444-G084,0.26,0.0010985069323563247,18.3,15.566493498096861
ESO444-G084,0.77,0.0020155212592933764,35.3,29.933746322808286
ESO444-G084,1.29,0.002806053302355048,47.8,37.889196341179606
ESO444-G084,1.81,0.0024424456203993522,52.8,43.02226107894755
ESO444-G084,2.32,0.0023374870174404463,58.0,46.05375657455865
ESO444-G084,3.39,0.005575519461449809,63.1,46.023620280493695
ESO444-G084,4.44,0.003014625945512188,62.7,44.42644818916172
