galaxy,n,Upsilon_med,Upsilon_bulge_med,log10_M200_med,chi2,chi2_red,loglike
CamB,9,0.45182845365940427,,,24.058463499077124,3.0073079373846405,-39.10598958179524
D564-8,6,0.5270408923614932,,,3.068649820283316,0.6137299640566632,-19.677654364786218
D631-7,16,0.39922881305940194,,,17.884214584806358,1.192280972320424,-57.67030747851138
DDO154,12,0.3469244979905399,,,1.0308892130832061,0.09371720118938237,-36.45966685714423
DDO168,10,0.46937546118722046,,,5.522144455543369,0.6135716061714854,-33.269835815048765
ESO444-G084,7,0.4990371969595271,,,3.15648896022405,0.526081493370675,-23.916574042669524
ESO563-G021,30,0.6868086371092497,,,158.78073746267455,5.475197843540502,-182.47909664690283
F568-3,18,0.6211281039695165,,,9.638841829493217,0.5669906958525421,-67.54719856191316
F568-V1,15,0.7129964440052866,,,9.848612140914158,0.7034722957795827,-62.61313952289114
F574-1,14,0.6059719457794842,,,8.0347905095306,0.6180608084254308,-48.900431637409824
IC2574,34,0.2860763862413564,,,12.03218149560128,0.36461156047276605,-111.5234953733967
IC4202,32,0.5509642786602956,,,216.4330217720907,6.981710379744862,-214.22036201832628
NGC0024,29,0.8468480556418196,,,20.403848425242607,0.7287088723300931,-106.72708076289838
NGC0055,21,0.22447244150217321,,,12.322487320075833,0.6161243660037916,-71.47902635740562
NGC0247,26,0.49691910464870764,,,5.551062321427057,0.2220424928570823,-85.67675464464125
NGC0300,25,0.5723562717509659,,,4.620738095285949,0.19253075397024788,-85.63836279034761
NGC0801,13,0.4842453848152161,,,66.45872013140963,5.53822667761747,-75.09434826791774
NGC0891,18,0.4054873839789516,,,50.01679486272365,2.9421644036896266,-81.63691634317098
NGC2403,73,0.497955043531257,,,29.90503792882949,0.4153477490115207,-238.17045282380735
NGC2683,11,0.5649497615540494,,,9.720594761228792,0.9720594761228792,-42.57617169955414
NGC2841,50,0.7252137401430332,,,25.611709046895143,0.5226879397325539,-180.83454314885103
NGC2915,30,0.6442440472880718,,,58.086836883550006,2.002994375294828,-129.79212080769543
NGC2955,24,0.6199196611831238,,,54.176860955298096,2.355515693708613,-110.55165074012224
NGC2976,27,0.5199618511726314,,,5.588554250825791,0.2149443942625304,-87.11197977476537
NGC2998,13,0.5541438327055705,,,28.6970513484979,2.3914209457081586,-59.35985849416522
NGC3109,25,0.5285902449301558,,,9.964385759080375,0.4151827399616823,-81.41394048651028
NGC3198,43,0.5481429046783067,,,18.067494132722732,0.4301784317314936,-146.37150807139471
NGC3726,12,0.39582405187170866,,,12.074712643202954,1.0977011493820867,-46.0524953007594
NGC3741,21,0.5421612102319201,,,3.5116087103897673,0.17558043551948838,-65.36981778313461
NGC3769,12,0.3784475160531943,,,3.6574821393943906,0.332498376308581,-42.14521820618805
NGC3877,13,0.4371371633907802,,,38.57886654841611,3.2149055457013422,-61.8228778699652
NGC3893,10,0.4917584982728401,,,5.021082100765532,0.5578980111961702,-36.8827414629653
NGC3917,17,0.5729221032602498,,,9.101196503215125,0.5688247814509453,-58.01925295124271
NGC3949,7,0.4581362175066219,,,1.7490104053946254,0.2915017342324376,-25.21419786781709
NGC3953,8,0.5480476721635997,,,6.2409124288336315,0.8915589184048045,-29.6191844881395
NGC3972,10,0.5608412184359615,,,4.428414747286611,0.4920460830318457,-34.05074513790299
NGC3992,9,0.6326282151435645,,,9.465947172727613,1.1832433965909517,-34.75003916197975
NGC4010,12,0.4531027658425962,,,9.13855660316103,0.8307778730146391,-43.07279670945933
NGC4013,36,0.4539530440812144,,,23.519627605716636,0.6719893601633324,-127.91558725441547
NGC4051,7,0.47187140419352513,,,7.346949654494554,1.2244916090824256,-27.958286656753316
NGC4068,6,0.5022849337434777,,,4.293167722366179,0.8586335444732358,-20.912431800792685
NGC4085,7,0.37273319183080317,,,11.89159439710408,1.9819323995173468,-28.575585490588146
NGC4088,12,0.29551293948822804,,,5.176778367632288,0.4706162152392989,-42.86369731353674
NGC4100,24,0.6417063797253332,,,13.330304395213702,0.5795784519658131,-85.11490255600641
NGC4138,7,0.5966508076131186,,,3.597007398505061,0.5995012330841768,-28.15387684833503
