r_mid_kpc,q16,q50,q84,n
2.334791666666667,1.8476051381052354e-11,3.829421546457208e-11,7.193007746560023e-11,678
6.844375,1.9072129220034915e-11,4.004790429809961e-11,7.390236261966573e-11,399
11.353958333333335,2.2442816338070512e-11,4.531113251604846e-11,6.694255808486747e-11,221
15.863541666666666,2.2214459430798224e-11,4.19061158836427e-11,5.6419432162438755e-11,134
20.373124999999998,1.9479947583650054e-11,3.560237526018559e-11,5.460794912102809e-11,84
24.882708333333333,2.4833868913834816e-11,3.8717722185771576e-11,5.036158972614994e-11,57
29.392291666666665,2.2625051011528267e-11,3.5940519071204137e-11,4.6854345674137865e-11,47
33.901875000000004,2.094420132005461e-11,3.507760894290192e-11,4.21600442201277e-11,39
38.41145833333333,2.1847668929302898e-11,3.2823924148701444e-11,3.7912959489325306e-11,31
42.92104166666667,1.8396107147642993e-11,3.1495868012750414e-11,3.514839182388335e-11,21
47.430625,2.0787462006223857e-11,2.90158921066524e-11,3.1713078491667056e-11,17
51.94020833333333,1.9311877329836027e-11,2.6914434556040945e-11,3.1304852701457955e-11,13
56.44979166666667,2.500762309637713e-11,2.7195680314091395e-11,3.421462644806526e-11,9
60.959375,2.4153376112569464e-11,2.605973237142661e-11,3.210229317907965e-11,7
65.46895833333333,2.1536555771361966e-11,2.4577477382379604e-11,3.003446250043195e-11,7
69.97854166666667,2.3361557329393868e-11,2.596435359952156e-11,2.909907595165567e-11,4
74.488125,2.12134625056054e-11,2.4402844699746597e-11,2.7667910606142135e-11,4
78.99770833333334,2.134560836704263e-11,2.1723122341364607e-11,2.3924193056082985e-11,3
83.50729166666667,2.060507816736991e-11,2.060507816736991e-11,2.060507816736991e-11,1
88.016875,1.961709141540174e-11,1.9799639772038824e-11,1.9982188128675907e-11,2
92.52645833333332,1.8589002437325853e-11,1.875362159734786e-11,1.8918240757369864e-11,2
97.03604166666668,,,,0
101.545625,1.7651883764538884e-11,1.7651883764538884e-11,1.7651883764538884e-11,1
106.05520833333333,,,,0
