galaxy,r_kpc,delta_a
CamB,0.16,1.3251509325795319e-11
CamB,0.41,1.9485153082968114e-11
CamB,0.57,2.077829108363341e-11
CamB,0.73,2.1564438303560506e-11
CamB,0.9,2.144484915413224e-11
CamB,1.06,2.085415481403387e-11
CamB,1.22,1.9671079047825907e-11
CamB,1.47,1.8170388144260417e-11
CamB,1.79,1.5223046373638547e-11
D564-8,0.51,1.3653647732463514e-11
D564-8,1.02,1.3768477386566674e-11
D564-8,1.53,1.2566736525809513e-11
D564-8,2.04,1.120364263042882e-11
D564-8,2.56,9.924957516412147e-12
D564-8,3.07,8.871470478244403e-12
D631-7,0.45,2.472276153621522e-11
D631-7,0.9,2.7304181693689994e-11
D631-7,1.35,2.8189589188505928e-11
D631-7,1.8,2.678732638524419e-11
D631-7,2.25,2.4769210054841947e-11
D631-7,2.69,2.3118129418609395e-11
D631-7,3.14,2.1344553882041414e-11
D631-7,3.59,1.9802778184244458e-11
D631-7,4.04,1.8438441379015098e-11
D631-7,4.49,1.7106025320529937e-11
D631-7,4.94,1.5948243202296183e-11
D631-7,5.39,1.4850389993579768e-11
D631-7,5.84,1.3866272421833329e-11
D631-7,6.29,1.2969062986383321e-11
D631-7,6.74,1.2156880108056182e-11
D631-7,7.19,1.1410111280164224e-11
DDO154,0.49,1.906117292724958e-11
DDO154,0.99,1.8715082813946665e-11
DDO154,1.48,1.7969570086432258e-11
DDO154,1.97,1.7580446308880276e-11
DDO154,2.47,1.681274569702459e-11
DDO154,2.96,1.6482881476498245e-11
DDO154,3.46,1.6333564820694178e-11
DDO154,3.95,1.5533330952642017e-11
DDO154,4.44,1.4362781066698339e-11
DDO154,4.94,1.3253629749685328e-11
DDO154,5.43,1.2219555509501432e-11
DDO154,5.92,1.129760236607964e-11
DDO168,0.41,2.8497090368849986e-11
DDO168,0.82,3.3014042266775174e-11
DDO168,1.24,3.0752351664099096e-11
DDO168,1.64,2.775759391080604e-11
DDO168,2.06,2.693922383246197e-11
DDO168,2.47,2.5449103074847195e-11
DDO168,2.89,2.4003670254043167e-11
DDO168,3.3,2.2561328757935167e-11
