galaxy,n,Upsilon_med,Upsilon_bulge_med,log10_M200_med,chi2,chi2_red,loglike
CamB,9,0.46823045659253393,,,25.40402947070486,3.1755036838381074,-39.669361978004446
D564-8,6,0.4892359102265321,,,2.5495118278772835,0.5099023655754567,-19.341685682473663
D631-7,16,0.31088258935602037,,,18.34554995818634,1.2230366638790893,-57.71396948919874
DDO154,12,0.4425168564967772,,,1.5330039210340343,0.13936399282127584,-36.55917636042117
DDO168,10,0.5692361844970893,,,6.6904991873819215,0.7433887985979912,-33.75175746156641
ESO444-G084,7,0.618200188064087,,,3.2370827121872168,0.5395137853645361,-23.90563846038897
ESO563-G021,30,0.6437598450318118,,,160.3847556729531,5.5305088163087275,-183.1002629361307
F568-3,18,0.5536360608153965,,,9.94298862272094,0.584881683689467,-67.58018633167188
F568-V1,15,0.6119426102581295,,,11.204019709821205,0.8002871221300861,-63.215514350116024
F574-1,14,0.5848061733129196,,,8.084541052290135,0.6218877732530873,-48.798307378666664
IC2574,34,0.2330394107126625,,,7.976359105173002,0.24170785167190917,-109.11513639082541
IC4202,32,0.5118402490815185,,,215.26349395253538,6.943983675888238,-213.39880070464523
NGC0024,29,0.8397866618030766,,,15.513711561257782,0.5540611271877779,-104.1003043914028
NGC0055,21,0.2076924042811825,,,13.689456159517238,0.684472807975862,-71.94259794911515
NGC0247,26,0.5293205739252304,,,5.679828658817123,0.22719314635268492,-85.508238461344
NGC0300,25,0.5897203997869032,,,5.458005300419797,0.22741688751749153,-85.88152302522661
NGC0801,13,0.4434239250525468,,,73.39761363753833,6.116467803128194,-78.429369649768
NGC0891,18,0.3750096013491317,,,46.23081558693604,2.719459740408002,-79.57529853662501
NGC2403,73,0.4206160960970393,,,30.68929762566266,0.4262402448008703,-237.7155675251866
NGC2683,11,0.4959811799727311,,,7.855379963279023,0.7855379963279023,-41.57166965949945
NGC2841,50,0.6666513213105025,,,29.76748857616402,0.6074997668604902,-182.47589531913312
NGC2915,30,0.6561454461891466,,,61.53168250827638,2.1217821554578062,-131.32628001320734
NGC2955,24,0.5915859089180733,,,59.824713723211474,2.601074509704847,-113.22438760815452
NGC2976,27,0.36221560583340795,,,4.509309602947905,0.17343498472876556,-86.23235651739104
NGC2998,13,0.5671503244454752,,,28.167050614081028,2.3472542178400855,-59.003722098068934
NGC3109,25,0.6971841871866311,,,9.482765907114306,0.39511524612976273,-80.90099844361674
NGC3198,43,0.5114709028035621,,,15.532477658665188,0.36982089663488543,-144.6580092832034
NGC3726,12,0.3457921784989898,,,12.431147675664446,1.1301043341513133,-46.118932558637425
NGC3741,21,0.5593676779517104,,,4.883737954875803,0.24418689774379015,-65.80522836018059
NGC3769,12,0.33700079672185645,,,3.051923623200735,0.2774476021091577,-41.730922559348365
NGC3877,13,0.37381935522690246,,,38.25318993883602,3.1877658282363353,-61.556162946870955
NGC3893,10,0.47058477371331325,,,4.257458559324438,0.47305095103604866,-36.4467196332143
NGC3917,17,0.4770328741837527,,,9.949692998962941,0.6218558124351838,-58.23771784530872
NGC3949,7,0.3960293814157276,,,1.2480212140713676,0.20800353567856125,-24.92457883049066
NGC3953,8,0.4711699930792936,,,6.91389273094534,0.98769896156362,-29.905312151944287
NGC3972,10,0.5542235082791586,,,3.8565384752910052,0.4285042750323339,-33.667368533289164
NGC3992,9,0.5863383526992063,,,8.641365256696108,1.0801706570870135,-34.26592170615293
NGC4010,12,0.39408756720867444,,,8.90615897247488,0.8096508156795346,-42.8302493714183
NGC4013,36,0.42249013099513427,,,29.40366133933093,0.8401046096951694,-130.51835031319013
NGC4051,7,0.5183550926469181,,,11.982178070778613,1.997029678463102,-30.282226071589022
NGC4068,6,0.4482385588553729,,,4.0957509140987955,0.8191501828197592,-20.749993662396275
NGC4085,7,0.3141874274982549,,,11.112234824240542,1.8520391373734235,-28.126669234018287
NGC4088,12,0.2641996635987412,,,5.45120672880997,0.4955642480736336,-42.907215157249674
NGC4100,24,0.5705437925241008,,,12.778501779592581,0.5555870338953296,-84.63166084555786
NGC4138,7,0.5284475649535485,,,3.2608810665561805,0.5434801777593634,-27.951976010333617
NGC4157,17,0.38263238754149437,,,7.869248545212802,0.4918280340758001,-61.75641108608323
NGC4183,23,0.4257386581297427,,,13.266525476203348,0.6030238852819704,-80.8389714277789
NGC4217,19,0.2878848125919546,,,72.62538420468837,4.034743566927132,-99.08284113860124
NGC5005,18,0.4813751782059777,,,0.9789959350076693,0.05758799617692173,-72.91335433686507
NGC5055,28,0.4423061827989147,,,4.8112908969319585,0.1781959591456281,-91.01609450753813
NGC5907,19,0.5010732880710169,,,56.3980288873925,3.133223827077361,-87.06059273208187
NGC6195,23,0.5910105335655529,,,56.98330531999499,2.590150241817954,-105.95113945562576
NGC6503,31,0.48894270663142,,,9.979043519610073,0.3326347839870024,-99.30685144305508
NGC6674,15,0.5955728907611963,,,33.101078389402716,2.364362742100194,-67.12640984528811
NGC6789,4,0.5767350539674101,,,5.3465391228483865,1.7821797076161288,-15.562324734826852
NGC7331,36,0.3326153152569296,,,17.95425992481715,0.5129788549947758,-123.75146698084438
NGC7793,46,0.5823486416961754,,,14.384507689595894,0.3196557264354643,-159.39750511337047
NGC7814,18,0.7184994422996964,,,38.80835538568614,2.282844434452126,-76.91666091903546
UGC00128,22,0.7149534642007571,,,20.418678422987067,0.9723180201422413,-79.56431865701686
UGC01281,25,0.3978275646852276,,,4.960700333182042,0.2066958472159184,-80.98761215090235
UGC02487,17,0.65153165302704,,,13.94138417491677,0.8713365109322981,-65.52173580716835
UGC02885,19,0.6040935309404163,,,35.929591706006214,1.9960884281114564,-85.05748420025337
UGC02916,43,0.5325458274182909,,,79.52504890391162,1.8934535453312291,-184.9126163220104
UGC03205,48,0.6817470297978714,,,83.99678344618916,1.7871656052380671,-202.46076467851378
UGC04483,8,0.3901014878729333,,,1.9772237908524741,0.28246054155035344,-25.006420835512916
UGC05005,11,0.36500831659965854,,,1.2156278975644281,0.12156278975644282,-41.51950148784208
UGC05750,11,0.5486466564829124,,,5.345747070115575,0.5345747070115575,-40.38287457921474
UGC06399,9,0.46928488346054226,,,2.9999659213346246,0.3749957401668281,-29.949196968104154
UGC06614,13,0.3299474620797926,,,7.207146607921293,0.6005955506601077,-53.65757325705326
UGC06667,9,0.5907339048181852,,,31.84792510935304,3.98099063866913,-43.581384148045835
UGC06818,8,0.35012183651648093,,,8.98722493462535,1.28388927637505,-29.841927231432358
UGC06917,11,0.6038058208058958,,,2.0656003262244136,0.20656003262244135,-35.57344517909189
UGC06923,6,0.40936109774088913,,,2.144856898971283,0.4289713797942566,-20.218153891348457
UGC06930,10,0.4166437380074516,,,5.577660418258667,0.6197400464731851,-36.6449355374279
UGC06983,17,0.608326921685246,,,9.035340395260048,0.564708774703753,-59.61699724486877
UGC07089,12,0.2996758087003583,,,3.8350168419112483,0.34863789471920437,-40.0116735952877
UGC07151,11,0.452446559215259,,,2.8432195843677937,0.2843219584367794,-34.70897798702502
UGC07232,4,0.4454481975754847,,,1.0466216173405702,0.34887387244685675,-12.799868225128813
UGC07524,31,0.46362732555763386,,,11.865970904790974,0.39553236349303245,-101.78938807131152
UGC07559,7,0.5140692906972604,,,8.139405659013589,1.356567609835598,-25.460473833369996
UGC07577,9,0.4673763181534907,,,17.451369436587346,2.181421179573418,-36.16478397907424
UGC07866,7,0.4801657659035817,,,2.402429055939619,0.40040484265660314,-23.121952825005735
UGC08286,17,0.8554480888538165,,,8.441280526774651,0.5275800329234157,-55.39649224389045
UGC08490,30,0.5216854057580709,,,9.990834222885113,0.3445115249270728,-97.94749384783796
UGC08837,8,0.4104547021320647,,,17.203538668894033,2.4576483812705763,-32.80851062888884
UGC09037,22,0.20185833997321947,,,12.954055086022642,0.6168597660010782,-79.69743393177758
UGC09133,68,0.6039367835012226,,,57.38402997579948,0.8564780593402908,-250.96930098596232
UGC11455,36,0.4250962874404586,,,56.83495969856121,1.623855991387463,-148.78914265043218
UGC12506,31,0.7831855091143916,,,53.35944886538069,1.7786482955126897,-141.91725288381537
UGCA442,8,0.5791772023606274,,,1.4736403735068127,0.2105200533581161,-25.11936149494016
UGCA444,36,0.5388131539304765,,,6.993345355978087,0.19980986731365963,-114.65602759490903
