galaxy,n,Upsilon_med,Upsilon_bulge_med,log10_M200_med,chi2,chi2_red,loglike
CamB,9,0.526170744039913,,,31.834272374396832,3.979284046799604,-42.08411320027165
D564-8,6,0.707182498745669,,,5.014483454270897,1.0028966908541794,-20.06971975736888
D631-7,16,0.4545107046311676,,,23.147805150186727,1.5431870100124485,-58.79534994200942
DDO154,12,0.503763079140186,,,2.475385379706275,0.22503503451875229,-35.928369059192846
DDO168,10,0.2487551928183013,,,5.9890957595318515,0.665455084392428,-32.542172590865505
ESO444-G084,7,0.4855261985664795,,,3.258540380195389,0.5430900633658982,-23.41792713727171
ESO563-G021,30,0.5042659675325,,,219.39311295335892,7.565279757012377,-211.32286822646338
F568-3,18,0.5349261958442301,,,11.518129921596415,0.6775370542115539,-67.61937820762513
F568-V1,15,0.5486112646704573,,,14.379251334533597,1.027089381038114,-64.41990808039534
F574-1,14,0.4556464251144803,,,12.637144780169207,0.972088060013016,-50.12657779632485
IC2574,34,0.6783561423201668,,,41.52301732453186,1.2582732522585411,-123.37318880045623
IC4202,32,0.4702708370430837,,,263.11229428522836,8.487493364039624,-235.59361639865676
NGC0024,29,0.6640443066423527,,,41.48728396986901,1.4816887132096075,-115.6865616389248
NGC0055,21,0.3846996152307169,,,31.270777785706315,1.5635388892853157,-79.22590952555151
NGC0247,26,0.6129280137384207,,,7.9234660962224,0.31693864384889603,-84.96292597183876
NGC0300,25,0.5899705423808408,,,5.428682407664986,0.22619510031937443,-84.46755783625974
NGC0801,13,0.5249578968934114,,,77.60290903804814,6.466909086504011,-79.79810119629899
NGC0891,18,0.4099067400306038,,,55.23541865397242,3.2491422737630833,-82.82053150173651
NGC2403,73,0.5025226270453471,,,33.98698826632455,0.4720415036989521,-233.32099934791495
NGC2683,11,0.5284163957869403,,,10.558004361190429,1.055800436119043,-42.50038396748173
NGC2841,50,0.5192990561042887,,,79.67804899280686,1.6260826325062625,-204.82967915876065
NGC2915,30,0.4718271511711108,,,67.21289506117277,2.3176860365921645,-132.81823744615963
