galaxy,n,Upsilon_med,Upsilon_bulge_med,log10_M200_med,chi2,chi2_red,loglike
CamB,9,0.4034121518272571,,,33.532124957293696,4.191515619661712,-41.551893797405434
D564-8,6,0.6365453953281492,,,4.638388032696725,0.9276776065393451,-18.99405669957196
D631-7,16,0.42041359617359464,,,30.282351255083768,2.0188234170055845,-60.13410521684733
DDO154,12,0.43893339277770016,,,2.127573595404302,0.19341578140039106,-33.8491385394397
DDO168,10,0.5823629713188793,,,9.551146844493509,1.0612385382770566,-32.94244460260012
ESO444-G084,7,0.4752722339896209,,,4.261964201134245,0.7103273668557075,-23.105920893767852
ESO563-G021,30,0.6085174606636783,,,220.1791669029537,7.592385065619093,-209.79244607555316
F568-3,18,0.5306849349313963,,,13.634032746844724,0.8020019262849838,-67.54767974608146
F568-V1,15,0.37248350237757066,,,23.88244850401608,1.7058891788582913,-68.55404945947082
F574-1,14,0.570805205141053,,,11.864777372026646,0.9126751824635881,-48.340930819650154
IC2574,34,0.44031327620303606,,,24.10053505489177,0.7303192440876294,-110.24829012434954
IC4202,32,0.4602306280060968,,,323.32624488484737,10.42987886725314,-262.97253087562706
NGC0024,29,0.4797079138470616,,,84.82477191409785,3.029456139789209,-135.2428943199033
NGC0055,21,0.5892902983385752,,,62.87711912208792,3.143855956104396,-92.54353365421483
NGC0247,26,0.5056271242487991,,,8.431361337680704,0.33725445350722816,-82.45869170408547
NGC0300,25,0.48788627189471506,,,7.0641502639352,0.29433959433063334,-83.02237017271176
NGC0801,13,0.46614525396471934,,,86.63173025304977,7.219310854420814,-83.04333239301666
NGC0891,18,0.4213886549519121,,,74.6581386941119,4.3916552173007,-90.48970388946513
NGC2403,73,0.4542330532745256,,,49.29449745016344,0.6846457979189366,-230.7842309910169
NGC2683,11,0.47006455025612803,,,10.879140853069696,1.0879140853069695,-42.00336874783663
NGC2841,50,0.5759831020252301,,,52.24566880389911,1.066238138855084,-187.19701769424472
NGC2915,30,0.6355176550376549,,,73.81490013707737,2.5453413840371506,-134.1479390200401
NGC2955,24,0.5587222572098881,,,79.2111758228101,3.443964166209135,-120.34508774474737
NGC2976,27,0.3767386132231837,,,6.875628011713698,0.2644472312197576,-82.08555383963585
NGC2998,13,0.6942020799464657,,,31.631309484983035,2.6359424570819194,-59.19260610646964
NGC3109,25,0.5726243592498125,,,16.214431699978217,0.6756013208324257,-78.85398565773978
NGC3198,43,0.47880684342624036,,,22.648926663895967,0.5392601586641896,-140.21102284851605
NGC3726,12,0.5341427830451502,,,33.919664465599105,3.0836058605090098,-55.378032616160496
NGC3741,21,0.5547859738576355,,,7.959496817035053,0.3979748408517526,-62.53197724982841
NGC3769,12,0.6580981545240701,,,30.99799606461819,2.8179996422380174,-54.36606065883848
NGC3877,13,0.49851148126903766,,,60.94410687860725,5.078675573217271,-71.1752987217902
NGC3893,10,0.5206571241480784,,,6.712543410206916,0.7458381566896573,-36.67656962624613
NGC3917,17,0.5633557884574694,,,13.327897253436948,0.8329935783398092,-56.882922167004196
NGC3949,7,0.4745480765422073,,,4.127387768710794,0.687897961451799,-25.67892356526005
NGC3953,8,0.520438996190506,,,8.380563368275547,1.197223338325078,-29.644324789007182
NGC3972,10,0.4025618786628086,,,16.611281559507184,1.8456979510563538,-38.40988421275013
NGC3992,9,0.47074994297081335,,,24.781496821237635,3.0976871026547044,-41.14855127244419
NGC4010,12,0.6425092202038881,,,29.986063228317764,2.7260057480288875,-51.59493732026247
NGC4013,36,0.4583023048235098,,,42.103601446588215,1.202960041331092,-131.40053326282413
NGC4051,7,0.4832066662620478,,,10.359528807436881,1.7265881345728136,-28.76014535782931
NGC4068,6,0.6665216135650885,,,7.178426985099754,1.4356853970199508,-21.179211246799564
NGC4085,7,0.4179916004316381,,,22.32991634312912,3.7216527238548536,-32.748044286174355
NGC4088,12,0.426204729840012,,,37.11068340901058,3.3736984917282347,-57.438689119559044
NGC4100,24,0.6650594364077533,,,17.887934619855415,0.7777362878198006,-83.87857500764856
NGC4138,7,0.580991180815359,,,3.8724549194957363,0.6454091532492894,-27.89504038665021
NGC4157,17,0.4547469114298428,,,18.232059005963634,1.1395036878727272,-65.19739951373431
NGC4183,23,0.5942198760605744,,,15.993081243396105,0.7269582383361866,-78.88756731121212
NGC4217,19,0.4327297210995977,,,159.60211611542525,8.866784228634735,-140.2833354323953
NGC5005,18,0.5040409383667266,,,1.3328988143181004,0.07840581260694708,-72.5431218941633
NGC5055,28,0.5815989645886193,,,20.350009236974394,0.7537040458138664,-93.24598503643688
NGC5907,19,0.6052069067147463,,,81.69333918727132,4.538518843737296,-96.00427110177485
NGC6195,23,0.5380785053892173,,,77.41004555507216,3.5186384343214616,-113.2287831499768
NGC6503,31,0.5926177220963191,,,24.65864378581196,0.8219547928603987,-99.7095596589727
NGC6674,15,0.5090046938928066,,,53.85803305885825,3.8470023613470175,-74.81449947579034
NGC6789,4,0.36142480190890247,,,9.376246501894578,3.125415500631526,-16.928696723358076
NGC7331,36,0.37851630227496064,,,36.2375557295541,1.0353587351301172,-126.81214641497618
NGC7793,46,0.5711179706707566,,,18.45940574045303,0.41020901645451174,-155.4695648599898
