Saved: results/revision_prod_20260306_core3000/ptq-screen_gauss/closure_scan_after12000/closure_sensitivity.csv
 epsilon_RC  sigma_RC  epsilon_cos  omega_lambda  delta_epsilon  pass_within_1sigma  pass_within_2sigma  pass_within_3sigma              mode                              notes
   0.192075  0.014188     1.362770          0.65      -1.170695               False               False               False omega_lambda_scan omega_lambda in [0.65, 0.75], n=11
   0.192075  0.014188     1.393261          0.66      -1.201186               False               False               False omega_lambda_scan omega_lambda in [0.65, 0.75], n=11
   0.192075  0.014188     1.424887          0.67      -1.232812               False               False               False omega_lambda_scan omega_lambda in [0.65, 0.75], n=11
   0.192075  0.014188     1.457738          0.68      -1.265663               False               False               False omega_lambda_scan omega_lambda in [0.65, 0.75], n=11
   0.192075  0.014188     1.491914          0.69      -1.299839               False               False               False omega_lambda_scan omega_lambda in [0.65, 0.75], n=11
   0.192075  0.014188     1.527525          0.70      -1.335450               False               False               False omega_lambda_scan omega_lambda in [0.65, 0.75], n=11
   0.192075  0.014188     1.564697          0.71      -1.372622               False               False               False omega_lambda_scan omega_lambda in [0.65, 0.75], n=11
   0.192075  0.014188     1.603567          0.72      -1.411493               False               False               False omega_lambda_scan omega_lambda in [0.65, 0.75], n=11
   0.192075  0.014188     1.644294          0.73      -1.452219               False               False               False omega_lambda_scan omega_lambda in [0.65, 0.75], n=11
   0.192075  0.014188     1.687055          0.74      -1.494980               False               False               False omega_lambda_scan omega_lambda in [0.65, 0.75], n=11
   0.192075  0.014188     1.732051          0.75      -1.539976               False               False               False omega_lambda_scan omega_lambda in [0.65, 0.75], n=11
