galaxy,n,Upsilon_med,Upsilon_bulge_med,log10_M200_med,chi2,chi2_red,loglike
CamB,9,0.611006580703745,,,28.238928645683416,3.529866080710427,-41.45623865913608
D564-8,6,0.4590361782906465,,,2.3201255380470807,0.4640251076094161,-19.46080842865858
D631-7,16,0.24469123430287643,,,15.868468251287132,1.0578978834191421,-57.073434180075346
DDO154,12,0.5122012711524591,,,1.8920245296040208,0.17200222996400188,-37.235219263549375
DDO168,10,0.41954268284691904,,,5.669650483862379,0.6299611648735977,-33.60810651693173
ESO444-G084,7,0.5854210942271068,,,3.0761179489027777,0.5126863248171296,-24.045267465409466
ESO563-G021,30,0.6214537274774776,,,153.91356290688066,5.307364238168298,-180.46005369145874
F568-3,18,0.4721445214110169,,,10.098004075798155,0.5940002397528327,-67.97644744162814
F568-V1,15,0.4900674375919706,,,14.411382322390754,1.0293844515993396,-64.94627779894574
F574-1,14,0.44172017383294326,,,10.765683810214474,0.8281295238626518,-50.500330851672686
IC2574,34,0.4038921410862055,,,18.339063614203116,0.5557292004303974,-115.5225946539805
IC4202,32,0.5091171217939039,,,201.5220077908561,6.500709928737293,-207.33347893616246
NGC0024,29,0.6270846795142698,,,36.34370388628166,1.2979894245100592,-115.11667645833995
NGC0055,21,0.3880368085097747,,,30.753350737313042,1.537667536865652,-81.19194395453538
NGC0247,26,0.4250322243760686,,,6.648969553401255,0.2659587821360502,-86.75218354908571
NGC0300,25,0.7488620910767283,,,6.126764319432408,0.255281846643017,-86.91684519701144
NGC0801,13,0.43040162739004856,,,71.14024917159654,5.928354097633044,-77.66300896487111
NGC0891,18,0.3749738333066695,,,43.77560972018889,2.5750358658934642,-78.92401510439218
NGC2403,73,0.49695812501812114,,,33.19352687505837,0.46102120659803286,-241.7359415089731
NGC2683,11,0.4687563228135838,,,8.191229735878053,0.8191229735878054,-41.936894228107185
NGC2841,50,0.6176847264887745,,,33.544842631784434,0.6845886251384579,-185.51048538802453
NGC2915,30,0.727450309770696,,,57.13441408514001,1.970152209832414,-129.77031127448112
NGC2955,24,0.49648743410268903,,,63.101159280269776,2.7435286643595553,-115.2657738011228
NGC2976,27,0.4157482552039635,,,4.548894424663121,0.17495747787165852,-87.2062757175025
NGC2998,13,0.5722489311698179,,,27.90033721184546,2.325028100987122,-59.15657905805759
NGC3109,25,0.5006470816803543,,,10.050440043932705,0.4187683351638627,-82.09250438694663
NGC3198,43,0.4567103446298068,,,16.990107196341178,0.4045263618176471,-146.7410323501505
NGC3726,12,0.3654113360842928,,,13.047103677207092,1.186100334291554,-46.726141118847295
NGC3741,21,0.4886572037745014,,,4.147705135250823,0.20738525676254116,-66.2462769379847
NGC3769,12,0.4044816707445299,,,5.310015564117221,0.4827286876470201,-43.14203986317899
NGC3877,13,0.45272499439791947,,,42.813296751935916,3.567774729327993,-64.17698529104587
NGC3893,10,0.407834036961195,,,5.220061975676859,0.5800068861863177,-37.09235343566173
NGC3917,17,0.5010563948813345,,,8.768151001975781,0.5480094376234863,-58.19687628879072
NGC3949,7,0.4178175493282729,,,1.5524037048671262,0.2587339508111877,-25.217134790017333
NGC3953,8,0.4643179354677406,,,6.841637809607998,0.9773768299439997,-30.055054252447054
