galaxy,n,Upsilon_med,Upsilon_bulge_med,log10_M200_med,chi2,chi2_red,loglike
CamB,9,0.39671506640013154,,,22.457638886855552,2.807204860856944,-38.4152491894394
D564-8,6,0.5512198060985127,,,3.3247168377093232,0.6649433675418647,-19.88071774018042
D631-7,16,0.6053217321522161,,,21.753079269296542,1.4502052846197695,-59.80360062729202
DDO154,12,0.5849772402165283,,,2.540677595405866,0.23097069049144237,-37.37332756749523
DDO168,10,0.2875860062327985,,,4.97398365774894,0.5526648508609934,-33.104015438692215
ESO444-G084,7,0.4822208452452106,,,2.994481291124278,0.49908021518737966,-23.908493738597116
ESO563-G021,30,0.6561002457597817,,,157.6354548971658,5.4357053412815795,-182.09747198273067
F568-3,18,0.7857427048720906,,,9.132914258247112,0.5372302504851243,-67.46030957729363
F568-V1,15,0.5443965531911208,,,13.44782870677389,0.9605591933409922,-64.4162402162878
F574-1,14,0.7655301488830487,,,6.503212273925387,0.5002470979942605,-48.317904211977506
IC2574,34,0.4506993909009053,,,23.26891850284671,0.7051187425105063,-117.54668973875665
IC4202,32,0.5539456823321854,,,210.88062527304623,6.802600815259556,-211.7033288833954
NGC0024,29,0.8440460114751481,,,19.172636600065093,0.6847370214308962,-106.31276804876295
NGC0055,21,0.2688374768652996,,,17.397568377114634,0.8698784188557317,-74.23963230729845
NGC0247,26,0.43343165054776434,,,6.881250382046667,0.27525001528186666,-86.5749396150803
NGC0300,25,0.5148623392280927,,,4.380843933375351,0.18253516389063962,-85.70298131089766
NGC0801,13,0.49804204847783956,,,68.6404013440535,5.7200334453377915,-76.30729912342215
NGC0891,18,0.4085525460208191,,,48.027175141543694,2.82512794950257,-80.82498978086785
NGC2403,73,0.5177206031096996,,,29.073603866463547,0.40380005370088257,-238.61416393490862
NGC2683,11,0.5732617883563843,,,10.790286149776353,1.0790286149776354,-43.17936449909831
NGC2841,50,0.7181750583537516,,,25.127970990513543,0.5128157345002764,-180.95519895512217
NGC2915,30,0.6214757884968409,,,56.562939457646,1.9504461881946897,-129.22575200087414
NGC2955,24,0.5596896503066731,,,57.153992416284176,2.4849561920123553,-112.14641292023126
NGC2976,27,0.5031236649797203,,,5.415851647858771,0.2083019864561066,-87.3064368821106
NGC2998,13,0.5112677570226185,,,31.0464413315038,2.5872034442919833,-60.615407515974354
NGC3109,25,0.5505734139518624,,,8.924789807005865,0.3718662419585777,-81.18298645662881
NGC3198,43,0.470804543152763,,,23.609019581144274,0.5621195138367684,-149.54789609462313
NGC3726,12,0.4583045468848098,,,17.18831311587357,1.56257391962487,-48.73033218031031
NGC3741,21,0.4328607921240717,,,2.932599290714071,0.14662996453570357,-65.33017313940809
