galaxy,pwaic_contribution,n_points,mean_var_loglik
CamB,0.49734733801939457,9,0.05526081533548829
D564-8,0.012649745524895567,6,0.002108290920815928
D631-7,0.21778858759552855,16,0.013611786724720534
DDO154,0.03159825838895594,12,0.002633188199079662
DDO168,0.030220579093486005,10,0.0030220579093486006
ESO444-G084,0.014545855504903664,7,0.0020779793578433806
ESO563-G021,38.615666695693086,30,1.2871888898564363
F568-3,0.048520710538017674,18,0.002695595029889871
F568-V1,0.8921390354934569,15,0.05947593569956379
F574-1,0.11478523480406222,14,0.008198945343147301
IC2574,1.6810793547872915,34,0.04944351043492034
IC4202,32.50864032887861,32,1.0158950102774567
NGC0024,0.931676289461292,29,0.03212676860211352
NGC0055,0.9446974726441566,21,0.04498559393543603
NGC0247,0.3992856932020929,26,0.015357142046234342
NGC0300,0.0888356573426414,25,0.003553426293705656
NGC0801,22.979783891245894,13,1.7676756839419918
NGC0891,6.664437452151145,18,0.37024652511950806
NGC2403,2.8329749362381005,73,0.03880787583887809
NGC2683,1.7554839343304196,11,0.1595894485754927
NGC2841,36.14012424566967,50,0.7228024849133934
NGC2915,1.322036385344547,30,0.0440678795114849
NGC2955,3.2147099405720683,24,0.1339462475238362
NGC2976,0.3432085692115346,27,0.012711428489316097
NGC2998,2.285236205775706,13,0.1757874004442851
NGC3109,0.08224086601731788,25,0.003289634640692715
NGC3198,1.8344697355526913,43,0.042662086873318406
NGC3726,10.626104386599334,12,0.8855086988832778
NGC3741,0.027466483934981578,21,0.0013079278064276941
NGC3769,0.7278986129033512,12,0.060658217741945936
NGC3877,6.8267614649898185,13,0.5251354973069091
NGC3893,1.884855263480389,10,0.1884855263480389
NGC3917,1.1532360930560297,17,0.06783741723858998
NGC3949,0.47305273457592767,7,0.06757896208227539
NGC3953,3.6360706122946027,8,0.45450882653682534
NGC3972,0.2711968461452472,10,0.02711968461452472
NGC3992,2.8252713170685264,9,0.3139190352298363
NGC4010,1.107637823094373,12,0.09230315192453109
NGC4013,3.5718642834180905,36,0.09921845231716918
NGC4051,8.03317971659068,7,1.1475971023700973
NGC4068,0.09957725667032567,6,0.01659620944505428
NGC4085,3.5572500287346296,7,0.5081785755335185
NGC4088,12.22190052014233,12,1.018491710011861
NGC4100,5.4252483177465285,24,0.2260520132394387
NGC4138,2.975072491103836,7,0.4250103558719766
NGC4157,5.088782751413736,17,0.2993401618478668
NGC4183,1.114327701543705,23,0.04844903050190021
NGC4217,15.07569537915566,19,0.7934576515345084
NGC5005,0.317468886554426,18,0.017637160364134777
NGC5055,1.1512470628050067,28,0.041115966528750235
NGC5907,8.447025616029352,19,0.4445802955804922
NGC6195,24.81933203677137,23,1.079101392903103
NGC6503,1.1759607809151784,31,0.037934218739199305
NGC6674,5.693152123601381,15,0.3795434749067587
NGC6789,0.09019933721670723,4,0.022549834304176807
NGC7331,3.205283531324687,36,0.08903565364790797
NGC7793,0.5308494805220266,46,0.011540206098304927
NGC7814,5.477789888048999,18,0.30432166044716663
UGC00128,0.2795806390871023,22,0.012708210867595559
UGC01281,0.04115728921416174,25,0.0016462915685664695
UGC02487,1.397523193397204,17,0.08220724667042377
UGC02885,10.568153463780579,19,0.5562186033568726
UGC02916,4.631938539292586,43,0.10771950091378106
UGC03205,8.595638013140592,48,0.179075791940429
UGC04483,0.009904488647024933,8,0.0012380610808781166
UGC05005,0.05230908480570644,11,0.004755371345973313
UGC05750,0.13097720351313094,11,0.011907018501193722
UGC06399,0.2642714085356121,9,0.029363489837290233
UGC06614,0.1770228514379406,13,0.013617142418303124
UGC06667,0.5209007679986909,9,0.057877863110965655
UGC06818,1.6669902815519926,8,0.20837378519399907
UGC06917,0.4809578834663146,11,0.04372344395148314
UGC06923,0.43690716548255965,6,0.07281786091375994
UGC06930,0.07437113515008958,10,0.007437113515008959
UGC06983,1.3303288782275946,17,0.07825463989574086
UGC07089,1.216595715088327,12,0.10138297625736059
UGC07151,0.19578140230492014,11,0.017798309300447287
UGC07232,0.01915412269272276,4,0.00478853067318069
UGC07524,0.5955407053780283,31,0.01921099049606543
UGC07559,0.08619138427889232,7,0.012313054896984617
UGC07577,0.13197474966292594,9,0.014663861073658437
UGC07866,0.04278669086236487,7,0.006112384408909267
UGC08286,0.8122184772872657,17,0.047777557487486216
UGC08490,0.4386189529018909,30,0.014620631763396364
UGC08837,0.6567736517009148,8,0.08209670646261436
UGC09037,43.0143524774085,22,1.9551978398822045
UGC09133,7.069343756595833,68,0.10396093759699754
UGC11455,11.480342600344944,36,0.3188984055651373
UGC12506,3.581058333554625,31,0.11551801075982661
UGCA442,0.009245702894144552,8,0.001155712861768069
UGCA444,0.02441316344207629,36,0.0006781434289465636
