galaxy,pwaic_contribution,n_points,mean_var_loglik
UGC09037,43.0143524774085,22,1.9551978398822045
ESO563-G021,38.615666695693086,30,1.2871888898564363
NGC2841,36.14012424566967,50,0.7228024849133934
IC4202,32.50864032887861,32,1.0158950102774567
NGC6195,24.81933203677137,23,1.079101392903103
NGC0801,22.979783891245894,13,1.7676756839419918
NGC4217,15.07569537915566,19,0.7934576515345084
NGC4088,12.22190052014233,12,1.018491710011861
UGC11455,11.480342600344944,36,0.3188984055651373
NGC3726,10.626104386599334,12,0.8855086988832778
UGC02885,10.568153463780579,19,0.5562186033568726
UGC03205,8.595638013140592,48,0.179075791940429
NGC5907,8.447025616029352,19,0.4445802955804922
NGC4051,8.03317971659068,7,1.1475971023700973
UGC09133,7.069343756595833,68,0.10396093759699754
NGC3877,6.8267614649898185,13,0.5251354973069091
NGC0891,6.664437452151145,18,0.37024652511950806
NGC6674,5.693152123601381,15,0.3795434749067587
NGC7814,5.477789888048999,18,0.30432166044716663
NGC4100,5.4252483177465285,24,0.2260520132394387
