galaxy,radius,var_loglik,v_obs,v_model_mean
IC4202,1.59,11.51848869732823,77.9,149.7338308020404
UGC09037,2.43,10.472028796093946,62.2,111.00006743899202
UGC02885,1.7,9.508321321424308,305.0,237.1688871752195
IC4202,0.77,9.29715949537696,35.1,110.6136066490159
UGC09037,3.65,8.315547582014975,88.2,125.08426216361936
ESO563-G021,8.47,8.171305611535207,283.0,238.50275197826895
ESO563-G021,7.58,4.420668753140051,268.0,225.58293431691396
NGC0801,31.67,4.239981955095383,222.0,262.04068322588785
ESO563-G021,12.06,4.194120497247326,310.0,274.5934260978376
ESO563-G021,2.23,3.7832189514478176,74.1,132.37672932467333
UGC09037,4.86,3.5974073907476205,107.0,132.7068144448261
NGC0801,38.74,3.32484117792176,219.0,261.9337997158144
UGC09037,8.51,3.09084128298546,128.0,154.3298455275121
NGC6674,7.49,3.083180411795427,285.0,216.05378918843144
ESO563-G021,6.69,2.9956742219737436,246.0,214.20492649460817
NGC4217,1.74,2.913118000353206,98.9,140.43443019340094
UGC09037,7.29,2.901698765295698,124.0,149.8603644354853
NGC0891,3.24,2.8265494112905696,212.0,250.11801658697897
NGC4051,8.72,2.641544323301433,161.0,201.712419651368
NGC0801,45.8,2.585902338516799,214.0,256.4176134872245
