galaxy,radius,var_loglik,v_obs,v_model_mean
CamB,0.16,0.0011966655869606495,1.99,8.554794154620224
CamB,0.41,0.023274861649871952,4.84,17.17845518009806
CamB,0.57,0.04512073047909395,6.79,21.099378575999356
CamB,0.73,0.06861623386964288,8.87,24.45475888505399
CamB,0.9,0.08184030932097201,10.9,27.086860128079028
CamB,1.06,0.08158012069661694,12.9,28.911963950846097
CamB,1.22,0.071941260604027,14.7,29.92891995080623
CamB,1.47,0.07896862549879144,16.8,31.233536452094484
CamB,1.79,0.04480853031341768,20.1,30.973188391119194
D564-8,0.51,0.0016987001569957676,8.54,16.00670786481325
D564-8,1.02,0.003003631998181243,15.1,22.73115566134968
D564-8,1.53,0.002384703480671836,19.8,26.397979495562506
D564-8,2.04,0.0022836676122848123,21.9,28.54416242977331
D564-8,2.56,0.0017239286225909623,24.0,29.869305612171633
D564-8,3.07,0.0015551136541709456,25.0,30.738222336237204
D631-7,0.45,0.012104406675373967,8.41,22.533633019925546
D631-7,0.9,0.027661382219991253,17.8,34.018051987808725
D631-7,1.35,0.04614832498765434,26.0,42.794836232966304
D631-7,1.8,0.046214658036639086,30.9,47.46384726144795
D631-7,2.25,0.034434869163592945,34.7,49.97098770245093
D631-7,2.69,0.021310328023386484,38.8,51.9648029800156
D631-7,3.14,0.011717734815061682,42.5,53.129293988564925
D631-7,3.59,0.0066760406827123,45.6,54.06138577549405
D631-7,4.04,0.003336911702750428,48.8,54.76814719824654
D631-7,4.49,0.0016710619160317593,51.8,55.09229890902824
D631-7,4.94,0.001069385481605891,54.8,55.35201358933023
D631-7,5.39,0.0010387677217660765,56.6,55.39530844706011
D631-7,5.84,0.001258492461443602,58.4,55.37369698166638
D631-7,6.29,0.0011609917163533806,58.5,55.27502723451254
D631-7,6.74,0.0009986648005967684,57.7,55.13465422620406
D631-7,7.19,0.00098656719056858,57.3,54.937000547694346
DDO154,0.49,0.00798738129079343,13.8,21.415116300674715
DDO154,0.99,0.010259582629212333,21.6,29.232413312782437
DDO154,1.48,0.002678871517133884,28.9,33.66244014616355
DDO154,1.97,0.0014057845841598502,34.3,37.57445674885599
DDO154,2.47,0.0011742562268729224,38.2,40.50866244032688
DDO154,2.96,0.0011596950506008307,42.0,43.507381080034904
DDO154,3.46,0.001146921254721848,44.6,46.56093400909743
DDO154,3.95,0.0011493900915067138,46.3,48.18970925880774
DDO154,4.44,0.0011618773611133928,47.4,48.75936123909766
DDO154,4.94,0.0011719993987520856,48.2,49.072136050062525
DDO154,5.43,0.0011415914146976963,47.4,49.103731985349945
DDO154,5.92,0.0011609075693909479,45.5,49.04247189980421
DDO168,0.41,0.0010420070089732685,15.0,21.9514117197637
