galaxy,pwaic_contribution,n_points,mean_var_loglik
CamB,0.834799203839992,9,0.09275546709333243
D564-8,0.02752362876529124,6,0.004587271460881874
D631-7,0.3407904119436745,16,0.021299400746479655
DDO154,0.052634507805703765,12,0.004386208983808647
DDO168,0.044566126762677884,10,0.004456612676267789
ESO444-G084,0.022142436411333986,7,0.0031632052016191408
ESO563-G021,28.16810199907578,30,0.938936733302526
F568-3,0.19226336125241192,18,0.010681297847356217
F568-V1,1.8673779467263785,15,0.1244918631150919
F574-1,0.4489783340528699,14,0.032069881003776425
IC2574,0.3217189737191362,34,0.009462322756445183
IC4202,26.69224058365269,32,0.8341325182391466
NGC0024,0.8738912806577618,29,0.030134182091646956
NGC0055,5.017395121594009,21,0.23892357721876234
NGC0247,0.36096195056328434,26,0.013883151944741705
NGC0300,0.23002662531583826,25,0.009201065012633531
NGC0801,19.81381055877285,13,1.5241392737517576
NGC0891,4.556647496022907,18,0.2531470831123837
NGC2403,3.636218393902538,73,0.04981121087537724
NGC2683,1.416547371347217,11,0.1287770337588379
NGC2841,37.3031544071535,50,0.74606308814307
NGC2915,1.6450320745261484,30,0.054834402484204944
NGC2955,6.931934979609482,24,0.28883062415039507
NGC2976,0.6343677040030052,27,0.023495100148259455
NGC2998,6.299939715932221,13,0.48461074737940163
NGC3109,0.11030576425916534,25,0.004412230570366614
NGC3198,2.3187119234090727,43,0.05392353310253657
NGC3726,2.907915995897923,12,0.24232633299149356
NGC3741,0.032723951857612475,21,0.0015582834217910703
NGC3769,0.8933050415148923,12,0.07444208679290769
NGC3877,7.133971025866306,13,0.5487670019897158
NGC3893,1.3514194762709755,10,0.13514194762709755
NGC3917,0.9464470265916735,17,0.055673354505392555
NGC3949,1.0712812688565003,7,0.15304018126521432
NGC3953,2.175476651528886,8,0.27193458144111077
NGC3972,0.38973401358397153,10,0.03897340135839715
NGC3992,3.714575379202687,9,0.41273059768918746
NGC4010,1.3785307990427806,12,0.11487756658689839
NGC4013,3.8370818877487487,36,0.1065856079930208
NGC4051,9.959063340534556,7,1.4227233343620793
NGC4068,0.2765739638368345,6,0.04609566063947242
NGC4085,1.723258825988344,7,0.24617983228404913
NGC4088,5.1773524024517386,12,0.4314460335376449
NGC4100,1.91722409946402,24,0.0798843374776675
NGC4138,1.6081714886562855,7,0.22973878409375506
NGC4157,1.0994743604292947,17,0.06467496237819381
NGC4183,1.4990210829131552,23,0.06517482969187631
NGC4217,10.229780436232112,19,0.5384094966437953
NGC5005,0.27508300333394686,18,0.01528238907410816
NGC5055,6.118988517140361,28,0.2185353041835843
NGC5907,5.651712250661603,19,0.2974585395085054
NGC6195,34.066160097741864,23,1.4811373955539942
NGC6503,1.6233374298173675,31,0.052365723542495725
NGC6674,1.1102794686998376,15,0.07401863124665584
NGC6789,0.20754972341363365,4,0.05188743085340841
NGC7331,3.4348817676363734,36,0.0954133824343437
NGC7793,0.5368200754133302,46,0.011670001639420223
NGC7814,3.5560318831444864,18,0.19755732684136035
UGC00128,0.6464216158950612,22,0.02938280072250278
UGC01281,0.03924197211164617,25,0.0015696788844658468
UGC02487,2.9586211502683946,17,0.17403653825108203
UGC02885,8.758402975364815,19,0.46096857765077975
UGC02916,7.326184517574114,43,0.17037638412963055
UGC03205,12.143374009275792,48,0.252986958526579
UGC04483,0.012188136911349762,8,0.0015235171139187202
UGC05005,0.06940008401596187,11,0.006309098546905625
UGC05750,0.21244545524081385,11,0.019313223203710348
UGC06399,0.9729792261223705,9,0.10810880290248562
UGC06614,0.08034070819454595,13,0.0061800544765035345
UGC06667,0.5098674033046717,9,0.05665193370051908
UGC06818,0.6924126367286261,8,0.08655157959107826
UGC06917,0.45046309796825934,11,0.040951190724387215
UGC06923,0.20144510151239203,6,0.033574183585398674
UGC06930,0.16708757299483554,10,0.016708757299483554
UGC06983,0.5327274566718857,17,0.031336909215993275
UGC07089,0.6401580861789188,12,0.05334650718157657
UGC07151,0.19837642052671003,11,0.01803422004788273
UGC07232,0.0355297028192254,4,0.00888242570480635
UGC07524,0.5627682731469915,31,0.018153815262806176
UGC07559,0.1080581320337396,7,0.015436876004819942
UGC07577,0.22218982089822348,9,0.024687757877580388
UGC07866,0.0767861324176941,7,0.010969447488242013
UGC08286,0.5491211898009775,17,0.03230124645888103
UGC08490,0.8017699448120946,30,0.026725664827069822
UGC08837,0.49053087406824625,8,0.06131635925853078
UGC09037,9.759586473465193,22,0.4436175669756906
UGC09133,6.349651200184503,68,0.09337722353212505
UGC11455,4.838918044490905,36,0.13441439012474735
UGC12506,3.3857066166872536,31,0.10921634247378237
UGCA442,0.01010185824626718,8,0.0012627322807833975
UGCA444,0.019576898143790038,36,0.0005438027262163899
