galaxy,pwaic_contribution,n_points,mean_var_loglik
NGC2841,37.3031544071535,50,0.74606308814307
NGC6195,34.066160097741864,23,1.4811373955539942
ESO563-G021,28.16810199907578,30,0.938936733302526
IC4202,26.69224058365269,32,0.8341325182391466
NGC0801,19.81381055877285,13,1.5241392737517576
UGC03205,12.143374009275792,48,0.252986958526579
NGC4217,10.229780436232112,19,0.5384094966437953
NGC4051,9.959063340534556,7,1.4227233343620793
UGC09037,9.759586473465193,22,0.4436175669756906
UGC02885,8.758402975364815,19,0.46096857765077975
UGC02916,7.326184517574114,43,0.17037638412963055
NGC3877,7.133971025866306,13,0.5487670019897158
NGC2955,6.931934979609482,24,0.28883062415039507
UGC09133,6.349651200184503,68,0.09337722353212505
NGC2998,6.299939715932221,13,0.48461074737940163
NGC5055,6.118988517140361,28,0.2185353041835843
NGC5907,5.651712250661603,19,0.2974585395085054
NGC4088,5.1773524024517386,12,0.4314460335376449
NGC0055,5.017395121594009,21,0.23892357721876234
UGC11455,4.838918044490905,36,0.13441439012474735
