galaxy,radius,var_loglik,v_obs,v_model_mean
IC4202,1.59,9.095280766145319,77.9,149.11483880112607
IC4202,0.77,7.265738897806412,35.1,110.02326637017451
UGC02885,1.7,7.213994676070754,305.0,239.5160933266579
ESO563-G021,8.47,5.726374652543688,283.0,243.74745592790762
UGC09037,2.43,3.9834566314042448,62.2,95.80752641550752
ESO563-G021,2.23,3.8073460570345725,74.1,135.2495593899328
NGC0801,31.67,3.804509211966536,222.0,260.7569425459663
NGC4051,8.72,3.431399973480521,161.0,192.64306463393186
ESO563-G021,7.58,3.090550819682433,268.0,230.5436055888262
NGC0801,38.74,2.91489050641654,219.0,260.0828134279366
NGC4051,10.47,2.9146008365778417,154.0,190.04055124588987
NGC6195,7.34,2.7911450771340727,233.0,277.5658553496834
ESO563-G021,12.06,2.604146095508223,310.0,280.6409687081155
NGC6195,16.35,2.476808471064322,250.0,305.44242082079364
NGC6195,22.52,2.4644000256167096,254.0,314.6176771274766
NGC3992,9.19,2.426230233003347,248.0,216.6941707737618
UGC09037,3.65,2.38958783452418,88.2,108.47318066970243
NGC6195,17.92,2.296804198937992,253.0,309.47338750242204
NGC6195,14.3,2.2755925586747296,238.0,296.56619398984276
NGC6195,6.34,2.27105978127053,233.0,271.64553660111415
