galaxy,radius,var_loglik,v_obs,v_model_mean
CamB,0.16,0.0019237159458170817,1.99,8.782500116573384
CamB,0.41,0.03852810972331226,4.84,17.945178883568015
CamB,0.57,0.07401767567035215,6.79,22.049555492642398
CamB,0.73,0.11287849031797201,8.87,25.56293522749711
CamB,0.9,0.13488211058750768,10.9,28.24873609933994
CamB,1.06,0.13540529626753417,12.9,30.06478326698862
CamB,1.22,0.12072073690937439,14.7,31.020424559107553
CamB,1.47,0.13579350473933624,16.8,32.41024240516005
CamB,1.79,0.080649563678786,20.1,32.027156766661165
D564-8,0.51,0.004174030952278584,8.54,15.746901206988822
D564-8,1.02,0.007037746448166763,15.1,22.364200087080146
D564-8,1.53,0.005278096084415176,19.8,25.887855388933747
D564-8,2.04,0.004818473913069634,21.9,27.88044803955954
D564-8,2.56,0.003335607548224269,24.0,29.05276489025623
D564-8,3.07,0.0028796738191368167,25.0,29.783415607319235
D631-7,0.45,0.018457460396324114,8.41,21.591515374639062
D631-7,0.9,0.04402859289036701,17.8,32.73378000827606
D631-7,1.35,0.07804646711706001,26.0,41.04140143365661
D631-7,1.8,0.07534025583701254,30.9,45.66541994453567
D631-7,2.25,0.05272280454922482,34.7,48.29041244174153
D631-7,2.69,0.031118659866292517,38.8,50.33739464414135
D631-7,3.14,0.015930977456882888,42.5,51.52582199982759
D631-7,3.59,0.008150684285281583,45.6,52.42661562981473
D631-7,4.04,0.003233100581383025,48.8,53.091098220494686
D631-7,4.49,0.0010538322284818972,51.8,53.34662625306418
D631-7,4.94,0.0008940767763336662,54.8,53.53517545484362
D631-7,5.39,0.0015930687411726352,56.6,53.49091312151495
D631-7,5.84,0.0028380267809115112,58.4,53.37787841943781
D631-7,6.29,0.002761832595962609,58.5,53.18419764097414
D631-7,6.74,0.0022923816344296473,57.7,52.94652250196155
D631-7,7.19,0.0023281902065540113,57.3,52.64989436011718
DDO154,0.49,0.017561103720674032,13.8,21.374756333986547
DDO154,0.99,0.021433858214749028,21.6,29.121415218923445
DDO154,1.48,0.004786146453344766,28.9,33.43589168631239
DDO154,1.97,0.0017195678853860871,34.3,37.25969733868404
DDO154,2.47,0.0010294773845110805,38.2,40.08951871224102
DDO154,2.96,0.0008735608319660127,42.0,43.01397052307083
DDO154,3.46,0.0008746143788857916,44.6,46.00821640633571
DDO154,3.95,0.0008588502545718702,46.3,47.53424297549462
DDO154,4.44,0.0008457742504761847,47.4,47.970157430142535
DDO154,4.94,0.0008535258003681708,48.2,48.14860503679476
DDO154,5.43,0.0008350654161975008,47.4,48.04957547970692
DDO154,5.92,0.0009629632145732443,45.5,47.864645630652234
DDO168,0.41,0.0013186909631367112,15.0,22.822156162990233
DDO168,0.82,0.010792697524633958,23.4,35.97413621683477
DDO168,1.24,0.015290013395314814,29.2,41.95182652799732
DDO168,1.64,0.00796495904927336,36.2,44.784421347585074
DDO168,2.06,0.003367719916578944,44.0,49.115594330591065
DDO168,2.47,0.0007254843236132742,52.1,51.659068210509034
DDO168,2.89,0.000738813888798472,52.9,53.655376188364855
DDO168,3.3,0.000642062130693112,54.8,54.98057635572107
DDO168,3.71,0.0007878143726064303,55.0,56.30853523378458
DDO168,4.12,0.0029378711980288116,52.0,57.199232484241705
ESO444-G084,0.26,0.000981115582446773,18.3,15.697652473484299
ESO444-G084,0.77,0.0020251282558889482,35.3,30.322705029974962
ESO444-G084,1.29,0.003145914285096454,47.8,38.324337994445436
ESO444-G084,1.81,0.002624881220211744,52.8,43.42396988799422
ESO444-G084,2.32,0.002508010974023017,58.0,46.35581581846217
ESO444-G084,3.39,0.00673503144892061,63.1,45.87837748181862
ESO444-G084,4.44,0.004122354644746443,62.7,43.871531329753964
ESO563-G021,0.45,0.17541262639601804,18.9,63.353823691997526
ESO563-G021,1.34,0.7573895094047941,58.3,115.1332784340512
ESO563-G021,2.23,3.8073460570345725,74.1,135.2495593899328
ESO563-G021,3.12,1.152378638430205,119.0,147.51881329964206
ESO563-G021,4.01,0.7152253873470622,141.0,161.26614565949941
ESO563-G021,4.9,0.45513430097690366,195.0,179.24645739373375
ESO563-G021,5.79,1.6106927875072352,227.0,201.00083304561926
ESO563-G021,6.69,1.9641795352945608,246.0,218.91063696776294
ESO563-G021,7.58,3.090550819682433,268.0,230.5436055888262
ESO563-G021,8.47,5.726374652543688,283.0,243.74745592790762
ESO563-G021,10.23,0.7343834888099946,291.0,264.2682831433382
ESO563-G021,12.06,2.604146095508223,310.0,280.6409687081155
ESO563-G021,13.44,0.08053327749756994,310.0,286.84733506244794
ESO563-G021,15.18,0.07622120879807996,310.0,294.8178874703483
ESO563-G021,16.83,0.10161302272487054,314.0,300.27720331043184
ESO563-G021,18.56,0.17014206306728724,317.0,299.76542273782314
ESO563-G021,20.3,0.25585556433181084,319.0,301.60842484787617
ESO563-G021,21.94,0.12041631005688297,318.0,305.8041234071158
ESO563-G021,23.68,0.07436971726756536,317.0,309.02397711793975
ESO563-G021,25.41,0.1730138982113759,317.0,305.8951265686664
ESO563-G021,27.06,0.0978747321282963,312.0,302.53427265760666
ESO563-G021,28.8,0.19205128759115425,312.0,297.8167969056904
ESO563-G021,30.53,0.15204571806822914,311.0,293.2687360122403
ESO563-G021,32.18,0.09527916800608875,310.0,290.613747095729
ESO563-G021,33.91,0.10537366004135625,313.0,288.7731525764668
ESO563-G021,35.65,0.7010020810704032,320.0,286.1714428416838
ESO563-G021,37.3,0.9274632284798194,321.0,284.27660539545707
ESO563-G021,39.03,0.9373049191061766,320.0,281.8268856606014
ESO563-G021,40.76,0.5516435984648429,315.0,279.5686120177379
ESO563-G021,42.41,0.5626846452282845,312.0,277.9440969041611
F568-3,0.64,0.005796465054094486,12.4,21.95878100096241
F568-3,1.18,0.017306649576423683,21.9,32.311506625167944
F568-3,1.8,0.024993444648970513,32.3,41.25777181303264
F568-3,2.03,0.009958181633196785,37.9,44.080611060025454
F568-3,2.78,0.0008983656608412653,53.1,52.921638601301915
F568-3,3.0,0.004673304038083364,62.4,55.213022685335666
F568-3,3.64,0.007897665552105214,68.0,61.32059266674942
F568-3,4.19,0.021592846047993,78.0,66.07223671896281
F568-3,4.6,0.03446015508105558,82.3,68.53856104876358
F568-3,5.14,0.0337627935052242,85.7,71.33568857225885
F568-3,5.39,0.02249478266136706,85.5,72.97531689586113
F568-3,6.31,0.0036934700665205225,89.5,79.3511888904747
F568-3,9.1,0.00028408942110766784,95.2,93.81715421180901
F568-3,10.17,0.0013147349232176505,97.5,98.91486287252884
F568-3,11.99,0.0017611581242657393,101.0,105.19354093041578
F568-3,14.02,0.001092481493955496,107.0,110.08906397088012
F568-3,15.94,0.00014247032659382196,117.0,114.67589019942702
F568-3,17.98,0.00014030343739587073,120.0,117.70412978435671
F568-V1,0.39,9.449681901041786e-06,17.4,18.579570151228467
F568-V1,1.18,9.06083576457556e-05,46.3,38.862432883371454
F568-V1,1.95,0.03935651568637226,69.1,47.81749336179938
F568-V1,2.74,0.37850586118244617,85.2,53.01084871176591
F568-V1,3.53,0.37969659091014457,93.2,59.72336408104269
F568-V1,4.3,0.14664827890754353,100.0,65.67667082383898
F568-V1,5.09,0.4010170801206053,108.0,69.654597592165
F568-V1,5.87,0.37703545606651984,112.0,72.30940468749328
F568-V1,6.4,0.027536678757016177,113.0,74.48433533686509
F568-V1,7.44,0.057857960522605056,113.0,79.28185464755532
F568-V1,8.21,0.04521506101502839,112.0,82.92593738298696
F568-V1,9.0,0.005331573443990865,111.0,85.67243121117654
F568-V1,9.72,0.006506311052043144,111.0,88.98489708405974
F568-V1,11.79,0.0019979936339134417,113.0,98.37979076356928
F568-V1,17.63,0.0005725273886030652,118.0,104.64956176764247
F574-1,0.47,0.006850625345278909,15.3,22.18642964466241
F574-1,1.41,0.02966463379341331,41.0,48.42330793376174
F574-1,2.35,0.003643315346908535,60.7,61.336976020443984
F574-1,3.29,0.06951925925200785,74.9,66.82788000439328
F574-1,4.22,0.08573622909678358,83.0,72.36417526352287
F574-1,5.17,0.08534862307177965,86.8,78.10503808196678
F574-1,6.11,0.043193702350973695,89.4,83.57229134403256
F574-1,7.05,0.03322958855057492,92.5,87.38064411241662
F574-1,7.99,0.015939881178984084,94.7,91.56934421955101
F574-1,8.92,0.009442841309660473,96.3,94.08311243360403
F574-1,9.87,0.003809427985844173,97.8,98.24276862936166
F574-1,10.79,0.008309109609920741,98.8,102.38647279762978
F574-1,11.8,0.02242031445777035,99.5,106.43861218797673
F574-1,12.6,0.03187078270296955,99.7,108.99541410207524
IC2574,0.85,0.007872281234311006,10.3,13.27462767404943
IC2574,1.14,0.010086961866388114,12.9,16.033867882042244
IC2574,1.42,0.00783194847897062,16.4,18.391578706388962
IC2574,1.71,0.013257102576820883,18.6,21.90779468963958
IC2574,1.99,0.02758713494681349,19.8,25.287499241604632
IC2574,2.28,0.004933003188859015,26.1,27.34749577199661
IC2574,2.55,0.0062263729326776625,27.7,29.724035470490715
IC2574,2.84,0.005976676848476608,29.7,31.60820898042402
IC2574,3.13,0.001950894764655629,33.0,33.315374888046264
IC2574,3.41,0.0021574256179186387,34.8,34.809711097728766
IC2574,3.7,0.0026515538105595167,35.0,35.24310654090624
IC2574,3.98,0.0016651715306217067,39.0,35.054813619524055
IC2574,4.26,0.0016915381346220245,35.9,35.98337275783158
IC2574,4.55,0.0017029992221247819,40.0,39.796164804230926
IC2574,4.84,0.026047761802623526,38.7,42.92432487479152
IC2574,5.12,0.019996038756357658,41.8,45.36344450761339
IC2574,5.41,0.021783491599456417,42.9,46.661349047662334
IC2574,5.68,0.0224696402218971,44.4,48.47342041756061
IC2574,5.97,0.02228605745206236,46.1,49.983919540988865
IC2574,6.26,0.017337138364440598,49.0,52.547533925425626
IC2574,6.54,0.012878221450247486,51.9,55.16915291564347
IC2574,6.83,0.010801493224415872,53.1,56.619244699216715
IC2574,7.1,0.013499875838485883,54.0,58.21060586763838
IC2574,7.39,0.009434969765775354,55.9,59.45056228997567
IC2574,7.68,0.0041174908695983175,58.8,61.494968401972486
IC2574,7.96,0.0094146098186976,57.3,63.06013177482456
IC2574,8.25,0.008635889310129014,54.0,64.44993986752586
IC2574,8.52,0.00019499538214222552,63.8,64.72553417210538
IC2574,8.81,0.004754148007978561,60.5,65.49232974743873
IC2574,9.1,0.005969723806485978,61.0,66.44052566381912
IC2574,9.38,0.002931094235129344,66.0,67.86506863642852
IC2574,9.67,0.007325744979899406,65.2,70.13237059081337
IC2574,9.96,0.004240940345662273,67.1,71.68909091905479
IC2574,10.23,0.002008583333831535,67.5,73.8774505244766
IC4202,0.77,7.265738897806412,35.1,110.02326637017451
IC4202,1.59,9.095280766145319,77.9,149.11483880112607
IC4202,2.36,1.4229136230693507,115.0,158.19248427419086
IC4202,3.13,0.1145348080508922,156.0,164.1864314139802
IC4202,3.95,0.5666283920851326,192.0,174.23169189311182
IC4202,4.73,0.817299869860779,204.0,183.81903983547335
IC4202,5.5,0.7694650765528175,209.0,188.71447542650702
IC4202,6.27,1.4689419251816462,220.0,192.44454646230642
IC4202,7.08,1.920280523084703,231.0,199.59714028291762
IC4202,7.86,1.0966253224268672,235.0,209.05763655318333
IC4202,8.66,0.9210870172333324,245.0,218.19605646445632
IC4202,9.45,0.6193252213469145,246.0,225.52933379240264
IC4202,10.24,0.07676615454914851,239.0,230.9785936045726
IC4202,11.02,0.03632489040820305,240.0,234.7233698378712
IC4202,11.79,0.023761284880401523,240.0,237.44668116336337
IC4202,12.47,0.0502080398932342,246.0,238.95434764767973
IC4202,13.34,0.009033852092322887,241.0,240.29193463539704
IC4202,14.11,0.11186703022772973,250.0,241.11608696983907
IC4202,14.59,0.009963044481771247,242.0,241.48639266110953
IC4202,14.98,0.009632512464282116,244.0,241.79003467673925
IC4202,15.75,0.0559627249181762,248.0,242.0820161973061
IC4202,16.52,0.0686888935269169,249.0,242.08536440762867
IC4202,17.1,0.023069981447435724,246.0,241.81649723605838
IC4202,17.88,0.0006801503040439559,241.0,241.21355804955508
IC4202,18.65,0.006998636487630557,247.0,240.5166179598067
IC4202,19.62,0.001703225364598106,234.0,239.689216927678
IC4202,20.78,0.03441067535980191,249.0,239.54077511528538
IC4202,22.13,0.001974077636312341,236.0,239.99796824596936
IC4202,23.0,0.0009578899588477957,245.0,239.94681771990375
IC4202,23.58,0.016281723639407802,243.0,239.8663422324834
IC4202,25.03,0.002404505520782546,238.0,238.17855580150226
IC4202,25.9,0.07342984764747776,247.0,236.94690001634748
NGC0024,0.21,0.002971054221177947,17.4,25.425959720570443
NGC0024,0.32,0.0005642162133767081,31.0,33.91169160412489
NGC0024,0.43,0.0009366556366452404,36.1,39.21275593251129
NGC0024,0.54,0.00035322006021352916,46.0,44.71914730349113
NGC0024,0.64,0.013005378009485155,58.0,48.60139476544883
NGC0024,0.74,0.010540239312684644,63.4,52.33043585091786
NGC0024,0.85,0.030346029689720565,71.9,56.714412452307165
NGC0024,0.96,0.0549815908398659,76.4,61.1573490325713
NGC0024,1.07,0.045906622117950026,78.1,65.23810713301529
NGC0024,1.17,0.048564016561338796,80.5,68.65530354769206
NGC0024,1.28,0.045252640297782705,82.8,72.34323605196032
NGC0024,1.38,0.03807793122901603,85.6,75.58298084465035
NGC0024,1.48,0.026157101520921315,88.0,78.95136609736478
NGC0024,1.59,0.026409404107775637,92.0,82.01519192631135
NGC0024,1.7,0.016198943607715018,92.4,84.83481661331437
NGC0024,1.8,0.01710338033609057,95.1,86.76894315409523
NGC0024,1.91,0.018192011024733206,96.5,88.73991750284695
NGC0024,2.02,0.033177342882305824,101.0,90.11292523100722
NGC0024,2.13,0.017459649627000254,99.9,91.35996856268024
NGC0024,2.23,0.038538339494997825,103.0,92.2938641297287
NGC0024,2.34,0.03439431979356983,104.0,93.49553149373926
NGC0024,2.44,0.041864814008256486,107.0,94.42322963725866
NGC0024,2.54,0.03398072732338169,107.0,95.14840736034884
NGC0024,2.65,0.01653075381165672,106.0,95.9154539208986
NGC0024,2.76,0.01751415669091369,107.0,96.59597074092228
NGC0024,7.07,0.008047801463570765,104.0,100.67122213066818
NGC0024,8.49,0.03413258608544753,106.0,98.70776887321347
NGC0024,9.91,0.061634295546425875,109.0,96.47901629659486
NGC0024,11.27,0.14105605914374228,110.0,94.58077949608469
NGC0055,1.23,0.17260099052649644,28.7,39.33866354816622
NGC0055,1.84,0.2851312243624185,37.6,49.19426474834402
NGC0055,2.46,0.5356020373852786,43.1,56.51779325310832
NGC0055,3.07,0.4130626392042444,50.1,62.83866645722577
NGC0055,3.68,0.19484882938728362,58.1,68.86755455383278
NGC0055,4.3,0.15834205424488496,64.6,74.46573068767357
NGC0055,4.91,0.20147815468605718,68.5,78.67873780268074
NGC0055,5.52,0.22144830497157575,72.3,82.24254118095087
NGC0055,6.14,0.22207606927311463,74.2,85.31715538453793
NGC0055,6.75,0.14219941727214644,78.9,87.93072332237709
NGC0055,7.37,0.12202583449821365,82.4,90.3350531152272
NGC0055,7.98,0.08515478991648716,84.3,92.46253607749578
NGC0055,8.59,0.06141391176288572,85.4,94.73198371519776
NGC0055,9.21,0.17191483399621643,85.3,96.28899307217515
NGC0055,9.82,0.1894646263538813,86.8,97.16429008096853
NGC0055,10.43,0.19564792856701574,85.4,97.67842263047267
NGC0055,11.05,0.15538992008301683,85.4,97.46625513166359
NGC0055,11.66,0.29958710311491654,86.2,97.21336562885321
NGC0055,12.28,0.227452408436514,86.1,97.70277882123251
NGC0055,12.89,0.5130257005118678,87.4,98.41408138502986
NGC0055,13.5,0.449528343039494,86.5,99.22132836951863
NGC0247,1.08,0.001193411245775699,34.6,33.94923063353265
NGC0247,1.61,0.006432297459693229,47.0,43.83072040129974
NGC0247,2.15,0.03492239457336296,59.1,51.05908898866922
NGC0247,2.7,0.04549705961951755,64.4,56.97679898873232
NGC0247,3.22,0.022668844071172378,67.4,62.3781953257169
NGC0247,3.77,0.008613744041566054,69.8,67.45832053591478
NGC0247,4.31,0.003851085130828283,71.3,72.0397480739637
NGC0247,4.85,0.012044729953753806,73.2,75.93512744734971
NGC0247,5.38,0.018894750372416762,75.1,78.98533418624625
NGC0247,5.92,0.015124964926172744,78.5,82.09408402195648
NGC0247,6.46,0.013288777679070935,81.4,85.26842151067417
NGC0247,6.99,0.012348697192834457,83.5,88.4963386962651
NGC0247,7.53,0.010843567857623084,87.1,92.01187249367351
NGC0247,8.07,0.015180089601513404,90.7,95.04129774881116
NGC0247,8.62,0.0318485681356553,93.1,97.93164174312476
NGC0247,9.14,0.029821169407248875,95.9,100.81212291976688
NGC0247,9.69,0.018208959653194055,98.4,103.67647324392503
NGC0247,10.23,0.008058777586864959,101.0,106.17556014320998
NGC0247,10.76,0.005975815229865508,103.0,108.33145442343879
NGC0247,11.3,0.007149482815206268,104.0,110.04420627721268
NGC0247,11.84,0.008038984338102843,105.0,111.12578474812656
NGC0247,12.38,0.010648135033123124,105.0,111.71697863662193
NGC0247,12.91,0.009081940576983874,105.0,111.65552028511108
NGC0247,13.48,0.006786081387514269,106.0,111.188006661192
NGC0247,14.01,0.0025008192232697435,108.0,110.44016779417994
NGC0247,14.54,0.0019388034509542206,107.0,109.5988001542134
NGC0300,0.91,0.008193063505874362,33.1,37.43079734609648
NGC0300,1.36,0.0016732592423425927,46.7,44.99810468271889
NGC0300,1.82,0.0024965116740831403,53.9,51.05960373565447
NGC0300,2.27,0.0024217792419790043,58.8,56.58363529539362
NGC0300,2.72,0.005256387327721038,65.6,61.10796393127828
NGC0300,3.17,0.010276565776806716,70.8,64.28169134578171
NGC0300,3.63,0.06114408129858534,82.1,66.5586788274687
NGC0300,4.08,0.04870665686662868,84.1,68.48347539120496
NGC0300,4.54,0.026234567731840425,83.4,70.7820967226469
NGC0300,4.99,0.015562086232228468,81.5,72.14523430640497
NGC0300,5.45,0.008395169122321001,80.8,73.1208834328564
NGC0300,5.9,0.003297728834117911,82.8,74.5696854093148
NGC0300,6.36,0.004375987024726902,88.2,77.86149818583117
NGC0300,6.81,0.0017672393520177696,88.5,81.1605304296274
NGC0300,7.26,0.0003343717826665301,88.4,83.81817892416251
NGC0300,7.71,0.00011303328566634977,88.2,85.18144439493496
NGC0300,8.17,0.00033609026467068634,89.5,85.17410777535791
NGC0300,8.62,0.0003149480082666859,89.7,84.66058961418692
NGC0300,9.07,0.00216548430112157,93.7,84.46454557304826
NGC0300,9.53,0.005366704305395288,97.0,84.50787139004512
NGC0300,9.96,0.006945864402311039,96.2,83.69433163044523
NGC0300,10.45,0.006344781825276075,94.8,82.86065041584772
NGC0300,10.93,0.0016476976672336052,92.5,82.01859927744749
NGC0300,11.32,0.0033535033440686163,92.8,81.22223623099973
NGC0300,11.8,0.0033030628978884796,93.5,81.11325772307133
NGC0801,1.17,0.3564488979986502,123.0,139.73871441440662
NGC0801,1.56,0.5662395721973883,142.0,160.4602189747968
NGC0801,1.96,1.4365292604786926,205.0,177.46109383722697
NGC0801,2.73,1.477341996947339,228.0,203.31631636363394
NGC0801,3.52,1.0098136621092626,238.0,218.77690952995866
NGC0801,10.59,0.48955209493834384,229.0,240.647584398843
NGC0801,17.65,0.5979985633059233,225.0,244.96963968777743
NGC0801,24.61,2.065526391943648,220.0,250.08484867069194
NGC0801,31.67,3.804509211966536,222.0,260.7569425459663
NGC0801,38.74,2.91489050641654,219.0,260.0828134279366
NGC0801,45.8,2.2089586728395836,214.0,253.75681548488646
NGC0801,52.86,2.193539921566051,216.0,251.5268322286283
NGC0801,59.82,0.6924618060648964,216.0,254.3314106025744
NGC0891,0.92,0.5178678724732521,234.0,185.44636621410132
NGC0891,2.32,0.38653557106702285,192.0,228.37757372055376
NGC0891,3.24,1.8611823276896566,212.0,248.40243867970523
NGC0891,4.17,0.6470848001127073,223.0,241.46720801891686
NGC0891,5.1,0.2414229452066288,222.0,233.5333256203185
NGC0891,6.03,0.03747927095263038,224.0,228.21977800712392
NGC0891,6.96,0.01085655791787765,224.0,225.3307494802763
NGC0891,7.89,0.03707488627138554,226.0,221.19583542720983
NGC0891,8.8,0.04399654917440284,226.0,220.6418912004649
NGC0891,9.73,0.14930491461728304,227.0,216.67714211503332
NGC0891,10.64,0.20520438362557453,227.0,214.47950856511068
NGC0891,11.58,0.1488372649694626,224.0,213.2425225507109
NGC0891,12.52,0.09467027446779999,220.0,210.93384490922202
NGC0891,13.46,0.05423752491027079,218.0,211.0453156577202
NGC0891,14.4,0.04856278522658874,217.0,209.94089999447561
NGC0891,15.33,0.04404167554930204,216.0,207.85653506696062
NGC0891,16.27,0.013020581817473228,210.0,205.62812210657864
NGC0891,17.11,0.015267309973587394,208.0,203.19322128369146
NGC2403,0.16,0.0008622242441986107,24.5,22.369149910393755
NGC2403,0.26,0.001876695839320702,35.3,32.18981134092568
NGC2403,0.36,0.0017260003234932245,43.2,41.32955936471882
NGC2403,0.46,0.004251129020730504,52.0,48.95735939055552
NGC2403,0.56,0.015274494449554647,60.9,54.78833453718408
NGC2403,0.66,0.030535226435125736,65.8,58.45152763607329
NGC2403,0.76,0.06312858303342482,71.7,61.69537912011203
NGC2403,0.86,0.0719942515604621,74.6,64.05308050229293
NGC2403,0.96,0.04711922251981221,74.6,66.40818538131835
NGC2403,1.06,0.04448296367598309,76.6,68.82256864014943
NGC2403,1.16,0.03902961479926287,78.5,71.25650392630051
NGC2403,1.27,0.06967155997973624,83.4,73.96553121522103
NGC2403,1.36,0.08096511875687712,86.4,76.65095364951817
NGC2403,1.47,0.05953801350032129,87.4,79.3000892741074
NGC2403,1.57,0.06793417768528486,90.3,81.88548101001987
NGC2403,1.67,0.07424622995045423,93.3,84.68505673919194
NGC2403,1.77,0.03911648393390517,93.3,87.2533526564853
NGC2403,1.87,0.037223794174260645,95.2,89.46706074106503
NGC2403,1.97,0.036173752760317666,97.2,91.57489972933546
NGC2403,2.08,0.03175572927354857,99.1,93.83294119466738
NGC2403,2.18,0.008394658082070891,98.2,95.95498710782384
NGC2403,2.28,0.005243210112272545,98.2,97.04704020712258
NGC2403,2.37,0.004985216573019066,98.2,97.30693785963496
NGC2403,2.47,0.005178817022513611,97.2,97.58313902128626
NGC2403,2.57,0.00437774198582442,98.2,97.93711710726801
NGC2403,2.68,0.004555346727450828,98.2,98.21336495136705
NGC2403,2.78,0.004660617483876547,98.2,98.4970903865186
NGC2403,2.88,0.0035995240477186066,99.1,98.80006232880281
NGC2403,2.98,0.003748905655561165,100.0,99.20224355244706
NGC2403,3.08,0.006523064013580734,102.0,99.79279233761416
NGC2403,3.19,0.003137436436975055,101.0,100.45300311653702
NGC2403,3.29,0.0034920656715062516,101.0,101.30952694077605
NGC2403,3.39,0.0035009019777120527,103.0,102.25206634215607
NGC2403,3.49,0.016468396066132325,107.0,103.13297529216206
NGC2403,3.59,0.039323118481644735,110.0,103.79589710137626
NGC2403,3.69,0.04697974077735272,112.0,104.66982884928666
NGC2403,3.79,0.046760877379457666,114.0,105.29795417912509
NGC2403,3.9,0.09270158763160585,118.0,105.76544743774487
NGC2403,3.99,0.09124249875583286,118.0,106.0972515567028
NGC2403,4.47,0.05360923031716092,118.0,107.94179726591534
NGC2403,4.97,0.11807243134780392,121.0,109.25984224109612
NGC2403,5.47,0.18972787403935001,124.0,110.16943656275804
NGC2403,5.96,0.19246631913821194,125.0,110.46512378458442
NGC2403,6.46,0.20669369747398572,126.0,110.61462403030252
NGC2403,6.96,0.1753831095446963,126.0,111.19961495393312
NGC2403,7.45,0.14736480966131998,126.0,111.80906546169116
NGC2403,7.95,0.1224842586175926,126.0,112.46103641645449
NGC2403,8.45,0.10609192832188649,127.0,113.38512095115871
NGC2403,8.94,0.09976638209373159,128.0,114.38860141205448
NGC2403,9.44,0.07420478099406072,128.0,115.37914836860645
NGC2403,9.94,0.04460080464893774,127.0,116.18554845144499
NGC2403,10.43,0.03740185323688013,127.0,117.32202584575582
