galaxy,n,Upsilon_med,Upsilon_bulge_med,log10_M200_med,chi2,chi2_red,loglike
CamB,9,0.5131754813738367,,,27.11178863890165,3.3889735798627063,-40.44620424680327
D564-8,6,0.5563797398810548,,,2.9989873896247206,0.5997974779249441,-19.518381975811746
D631-7,16,0.4188788228014231,,,20.422349268400765,1.3614899512267178,-58.62597740169928
DDO154,12,0.583755029929151,,,2.422997272006911,0.22027247927335553,-36.89779580479704
DDO168,10,0.5158413685233703,,,6.408729248672609,0.7120810276302899,-33.523204099076665
ESO444-G084,7,0.5041389620620602,,,3.355936480547937,0.5593227467579894,-23.903447093520775
ESO563-G021,30,0.6522332944281455,,,162.2928447519958,5.596304991448131,-183.92522280845887
F568-3,18,0.4982786761512166,,,10.514004190221009,0.6184708347188829,-67.76540104760153
F568-V1,15,0.48926073596949765,,,15.083703222797206,1.0774073730569433,-65.06798109501767
F574-1,14,0.7079315118765978,,,6.942816310115102,0.5340627930857771,-48.17598404203777
IC2574,34,0.13540897538396687,,,3.7081964150826567,0.11236958833583809,-106.69454514856807
IC4202,32,0.5214274342891337,,,219.2930005715247,7.073967760371764,-215.23811049818147
NGC0024,29,0.8542075556377267,,,15.632713778549581,0.5583112063767708,-104.02108009448904
NGC0055,21,0.3147929616858585,,,22.964837880110814,1.1482418940055408,-76.43714452618539
NGC0247,26,0.5593729460304494,,,6.020803920660683,0.2408321568264273,-85.5140569665255
NGC0300,25,0.4395480896974312,,,5.0114145934454015,0.2088089413935584,-85.45231118068187
NGC0801,13,0.46238916405587305,,,73.12296236346701,6.0935801969555845,-78.21976447340278
NGC0891,18,0.38497602340466447,,,47.68078085666515,2.80475181509795,-80.17369352754729
NGC2403,73,0.42889248132332103,,,31.1256210020544,0.4323002916952,-237.3321477832015
NGC2683,11,0.4734935052534019,,,8.586101844652209,0.8586101844652209,-41.88508066650928
NGC2841,50,0.6865107025618811,,,28.776581313776266,0.5872771696689034,-181.7440605427328
NGC2915,30,0.7270215059033367,,,59.85946613890799,2.06411952203131,-130.36580745765968
NGC2955,24,0.6116695977153436,,,58.949009839246315,2.5630004277933183,-112.6951720185746
NGC2976,27,0.4810291237552804,,,5.520138072160995,0.21231300277542287,-86.6030073570614
NGC2998,13,0.5897575025188805,,,28.083366084506917,2.340280507042243,-58.90877976048465
NGC3109,25,0.5221460220553079,,,11.019987851815708,0.4591661604923212,-81.45658956415191
NGC3198,43,0.5305786925355991,,,16.072608324723575,0.38268115058865654,-144.6360742004929
NGC3726,12,0.3281559503473229,,,11.248256249096444,1.0225687499178586,-45.45558241713651
NGC3741,21,0.5477640404836843,,,4.78177307321807,0.2390886536609035,-65.57624135730435
NGC3769,12,0.3718888044227429,,,3.848101449317393,0.34982740448339933,-42.083744603422495
NGC3877,13,0.41742860323071723,,,40.434148467833225,3.3695123723194356,-62.584950757438975
NGC3893,10,0.5011849562721674,,,4.690783813202992,0.5211982014669991,-36.63263693343154
NGC3917,17,0.4939912988168187,,,9.842963433562147,0.6151852145976342,-58.07360428934894
NGC3949,7,0.43582900385505274,,,2.0235689444127285,0.33726149073545475,-25.29323352952482
NGC3953,8,0.5098397975112531,,,6.901585414028752,0.9859407734326788,-29.863195528004308
NGC3972,10,0.5495288608631078,,,4.030192471208201,0.44779916346757787,-33.69157555705965
NGC3992,9,0.5652876211035953,,,10.170049480905908,1.2712561851132385,-34.97472785553929
NGC4010,12,0.45089541003033645,,,10.56778483914283,0.9607077126493482,-43.601745238115846
NGC4013,36,0.4226054263634985,,,28.58365965264265,0.8166759900755043,-129.8964130568035
NGC4051,7,0.4933145694078035,,,10.199027994028697,1.6998379990047827,-29.346048643436397
NGC4068,6,0.5372294797775493,,,4.920994942369091,0.9841989884738181,-21.135592858943827
NGC4085,7,0.3505660414467389,,,12.44152118394422,2.073586863990703,-28.755830722470463
NGC4088,12,0.29256158820359035,,,7.706452558505486,0.7005865962277714,-43.99183094651411
NGC4100,24,0.574123295483006,,,13.072386049016167,0.5683646108267899,-84.64716406626795
NGC4138,7,0.47631177809715414,,,4.210654249429244,0.7017757082382073,-28.38751872735066
NGC4157,17,0.351881564059705,,,5.344625992445697,0.33403912452785606,-60.41330665597761
NGC4183,23,0.5674111868741317,,,13.338486820360083,0.6062948554709129,-80.77476357009641
NGC4217,19,0.2944645124869382,,,73.6606060392574,4.092255891069856,-99.50805777202093
NGC5005,18,0.49759747911823105,,,1.1254375245803192,0.06620220732825408,-72.96349427264587
NGC5055,28,0.42832471105915054,,,4.4582932278306036,0.16512197140113347,-90.61457849386281
NGC5907,19,0.5186592112596253,,,56.94332482281515,3.1635180457119527,-87.19747391697436
NGC6195,23,0.625204035147702,,,55.054087014032,2.502458500637818,-104.89140153867459
NGC6503,31,0.5135407077265252,,,10.215875024375027,0.34052916747916756,-99.17461470027828
NGC6674,15,0.70976438102887,,,27.406416879890504,1.9576012057064645,-64.24968941759067
