Saved: results/revision_prod_equal12000_fresh/ptq-screen_gauss/closure_scan/closure_sensitivity.csv
 epsilon_RC  sigma_RC  epsilon_cos  omega_lambda  delta_epsilon  pass_within_1sigma  pass_within_2sigma  pass_within_3sigma              mode                              notes
   0.210351  0.015043     1.362770          0.65      -1.152420               False               False               False omega_lambda_scan omega_lambda in [0.65, 0.75], n=11
   0.210351  0.015043     1.393261          0.66      -1.182910               False               False               False omega_lambda_scan omega_lambda in [0.65, 0.75], n=11
   0.210351  0.015043     1.424887          0.67      -1.214536               False               False               False omega_lambda_scan omega_lambda in [0.65, 0.75], n=11
   0.210351  0.015043     1.457738          0.68      -1.247387               False               False               False omega_lambda_scan omega_lambda in [0.65, 0.75], n=11
   0.210351  0.015043     1.491914          0.69      -1.281563               False               False               False omega_lambda_scan omega_lambda in [0.65, 0.75], n=11
   0.210351  0.015043     1.527525          0.70      -1.317175               False               False               False omega_lambda_scan omega_lambda in [0.65, 0.75], n=11
   0.210351  0.015043     1.564697          0.71      -1.354346               False               False               False omega_lambda_scan omega_lambda in [0.65, 0.75], n=11
   0.210351  0.015043     1.603567          0.72      -1.393217               False               False               False omega_lambda_scan omega_lambda in [0.65, 0.75], n=11
   0.210351  0.015043     1.644294          0.73      -1.433944               False               False               False omega_lambda_scan omega_lambda in [0.65, 0.75], n=11
   0.210351  0.015043     1.687055          0.74      -1.476704               False               False               False omega_lambda_scan omega_lambda in [0.65, 0.75], n=11
   0.210351  0.015043     1.732051          0.75      -1.521700               False               False               False omega_lambda_scan omega_lambda in [0.65, 0.75], n=11
