galaxy,n,Upsilon_med,Upsilon_bulge_med,log10_M200_med,chi2,chi2_red,loglike
CamB,9,0.5105511821034998,,,25.854113477884816,3.231764184735602,-39.98734747468464
D564-8,6,0.47813516632994024,,,2.3326049891877663,0.46652099783755324,-19.29081806949951
D631-7,16,0.2975221353847157,,,17.514395552670358,1.1676263701780238,-57.447290563585874
DDO154,12,0.5311053789756135,,,1.9094622008779705,0.17358747280708822,-36.873042609450366
DDO168,10,0.541003601391455,,,6.28089575515976,0.6978773061288622,-33.63712003082234
ESO444-G084,7,0.5575505071527523,,,3.3716593260397376,0.561943221006623,-24.018052845029338
ESO563-G021,30,0.6836845334527336,,,157.78385702153332,5.440822655914942,-181.94829453940525
F568-3,18,0.5925832319875357,,,9.597904112865574,0.5645825948744455,-67.50435008939674
F568-V1,15,0.578479545857157,,,12.071673716233203,0.8622624083023717,-63.674528630967615
F574-1,14,0.5408011396991745,,,8.815683876980696,0.6781295289985151,-49.2469476556538
IC2574,34,0.2985944356013761,,,10.908244492587158,0.33055286341173207,-110.89259539409217
IC4202,32,0.5101254751921965,,,212.68500748768253,6.86080669315105,-212.30272566199812
NGC0024,29,0.7737467864265793,,,21.39114350819112,0.7639694110068257,-107.18454450757768
NGC0055,21,0.25286144405582606,,,16.05518368090925,0.8027591840454624,-73.30401469989928
NGC0247,26,0.5445460517625108,,,5.450862702653616,0.21803450810614464,-85.58819234850148
NGC0300,25,0.681954060444369,,,6.049155503942136,0.252048145997589,-86.36671352901503
NGC0801,13,0.44429276389682826,,,70.58643731959486,5.882203109966238,-77.10852657474379
NGC0891,18,0.3835408172978636,,,46.98741829332319,2.7639657819601875,-80.09558002200257
NGC2403,73,0.42269320320370574,,,31.71402795419636,0.44047261047494946,-238.9149108374105
NGC2683,11,0.4675171310549553,,,8.123735907492732,0.8123735907492732,-41.746180626147414
NGC2841,50,0.6668994574319038,,,30.16673352291027,0.6156476229165362,-182.96710305870627
NGC2915,30,0.7155869277992777,,,60.86693712401029,2.098859900827941,-131.1569572281484
NGC2955,24,0.5974892902433974,,,58.16881714130861,2.5290790061438524,-112.5166954334545
NGC2976,27,0.469309633365831,,,5.200534284569366,0.20002054940651406,-86.87216466683451
NGC2998,13,0.5804308520715201,,,27.502160543515696,2.2918467119596415,-58.74001576200132
NGC3109,25,0.5570709095580169,,,10.934025924538265,0.4555844135224277,-81.84695419196392
NGC3198,43,0.5286108573030612,,,15.124381619422019,0.3601043242719528,-144.7993937715555
NGC3726,12,0.3343874324625783,,,11.480771956483535,1.0437065414985032,-45.70425125853745
NGC3741,21,0.5665047059724135,,,5.116210451964987,0.2558105225982493,-66.12477114857623
NGC3769,12,0.3354666407585698,,,2.9776038727503598,0.2706912611591236,-41.75470225571469
NGC3877,13,0.40730335202154294,,,39.05961917146873,3.254968264289061,-62.0414041927196
NGC3893,10,0.4617751290715953,,,4.408465414974734,0.48982949055274827,-36.56170424982243
NGC3917,17,0.4886585423867651,,,9.628460790420775,0.6017787994012984,-58.21017128660126
NGC3949,7,0.3816612603872016,,,1.257846331386904,0.20964105523115065,-24.95431610081898
NGC3953,8,0.4748435138312184,,,6.706165308340184,0.9580236154771692,-29.842549155045386
NGC3972,10,0.5779263033326705,,,3.799393956810936,0.422154884090104,-33.71048884472357
NGC3992,9,0.5806473238491794,,,8.74183974798673,1.0927299684983411,-34.361513118899815
NGC4010,12,0.3804450974857796,,,8.683862631218728,0.7894420573835208,-42.79525027830626
NGC4013,36,0.42708413407018,,,29.491940159079597,0.8426268616879885,-130.80522924972703
NGC4051,7,0.4155739469608427,,,6.840200218550503,1.1400333697584173,-27.686377916487167
NGC4068,6,0.5571049349506926,,,4.962725502617007,0.9925451005234015,-21.25267410717202
NGC4085,7,0.35549136309426416,,,12.655952144941184,2.109325357490197,-28.946882908160653
NGC4088,12,0.27991601874441524,,,6.410296233450544,0.5827542030409586,-43.45219719247939
NGC4100,24,0.5365865793521383,,,13.389920423889155,0.582170453212572,-85.07355224237362
NGC4138,7,0.458603888362555,,,4.476465253738049,0.7460775422896749,-28.546955903369188
NGC4157,17,0.3973933303047679,,,9.009723928455463,0.5631077455284664,-62.40799831833637
NGC4183,23,0.48387680988210047,,,11.97719994519199,0.5444181793269086,-80.35428517581006
NGC4217,19,0.2946388400388281,,,73.50952737919619,4.083862632177566,-99.62923075823501
NGC5005,18,0.4810031357235578,,,1.0350451774896117,0.06088501044056539,-72.96709256641932
NGC5055,28,0.42969595417341866,,,4.314618639378963,0.15980069034736902,-90.9953217677122
NGC5907,19,0.5117691736471752,,,53.809161570006715,2.989397865000373,-85.9251318471464
NGC6195,23,0.6633175047579994,,,53.439962136071955,2.4290891880032706,-104.3558806916341
NGC6503,31,0.47946453779000653,,,10.62517154367339,0.354172384789113,-99.91918944237224
NGC6674,15,0.7184465799953317,,,25.832035982794007,1.845145427342429,-63.67240388394619
NGC6789,4,0.5188567073135048,,,5.873800019664738,1.9579333398882461,-15.843803490530801
NGC7331,36,0.3428803242075589,,,19.297733511472366,0.5513638146134962,-124.69386122655575
NGC7793,46,0.4306528478639241,,,13.989711989787493,0.3108824886619443,-159.38328111306015
