galaxy,n,Upsilon_med,Upsilon_bulge_med,log10_M200_med,chi2,chi2_red,loglike
CamB,9,0.4627888900370858,,,25.0469616280843,3.1308702035105376,-39.53875334823561
D564-8,6,0.5051579297751873,,,3.0863816115148546,0.6172763223029709,-19.645718814944388
D631-7,16,0.4211597065310574,,,18.77797420592174,1.2518649470614494,-58.01562342266552
DDO154,12,0.5154881299596399,,,2.0890422984949586,0.1899129362268144,-36.906714256171036
DDO168,10,0.4901513504952069,,,5.783389549846545,0.6425988388718383,-33.33865539838949
ESO444-G084,7,0.49619605104593684,,,3.082670027226866,0.5137783378711444,-23.84458456700372
ESO563-G021,30,0.695649984528197,,,158.65199102638596,5.470758311254688,-182.32028765882222
F568-3,18,0.5250437541331694,,,10.28177358956797,0.6048102111510572,-67.77821618439712
F568-V1,15,0.5447307970459296,,,13.678753076988228,0.9770537912134448,-64.44603727651935
F574-1,14,0.6717433682340492,,,7.325492619622405,0.5634994322786465,-48.49879892664376
IC2574,34,0.23493205786561813,,,9.712760404870208,0.2943260728748548,-110.14881257976748
IC4202,32,0.5471055982794402,,,218.04814756752342,7.033811211855594,-214.89529004877238
NGC0024,29,0.8123052005140878,,,22.61630075869433,0.8077250270962261,-107.71872354540666
NGC0055,21,0.22078152245971866,,,13.125356503209828,0.6562678251604914,-71.7603157967846
NGC0247,26,0.5263084206206006,,,5.459932707659152,0.21839730830636608,-85.50335219444979
NGC0300,25,0.47303979551183073,,,4.548754082535173,0.1895314201056322,-85.4563025257571
NGC0801,13,0.49203340371249615,,,68.57688681771725,5.714740568143104,-76.09755431594175
NGC0891,18,0.40821525564502686,,,49.650851419364365,2.920638318786139,-81.35731775274277
NGC2403,73,0.49302245616511736,,,28.964083094201385,0.4022789318639081,-237.2261610794094
NGC2683,11,0.5321976236042834,,,9.631554607746292,0.9631554607746292,-42.490390442387564
NGC2841,50,0.7316068654602641,,,24.8858415216085,0.5078743167675205,-180.27598405414648
NGC2915,30,0.5995743074784001,,,58.71959913111649,2.024813763141948,-129.99586378905383
NGC2955,24,0.60988833523582,,,55.52152982209793,2.4139795574825187,-111.1371302594126
NGC2976,27,0.4506015499057719,,,5.162888337035493,0.198572628347519,-86.70510120290255
NGC2998,13,0.5787864517796917,,,28.31726147930728,2.359771789942273,-59.134069893471946
NGC3109,25,0.4583128590761154,,,10.260269082692695,0.42751121177886225,-81.39992094871309
NGC3198,43,0.5707864506880725,,,18.548243085058772,0.4416248353585422,-146.38600537235035
NGC3726,12,0.3727371693422981,,,11.139444971557852,1.0126768155961683,-45.529546173137255
NGC3741,21,0.45420552216090326,,,3.2069120946214067,0.16034560473107035,-65.07598924709609
NGC3769,12,0.40652254109835445,,,4.535287982220185,0.4122989074745622,-42.54843752345889
NGC3877,13,0.43593130451398104,,,39.02228237021865,3.2518568641848873,-61.99394483099269
NGC3893,10,0.5012973438464257,,,4.831731768002229,0.5368590853335811,-36.762560044190415
NGC3917,17,0.5829399329103102,,,9.290089133778892,0.5806305708611808,-58.026981655199315
NGC3949,7,0.44996472854454883,,,1.6078797401541678,0.2679799566923613,-25.1210794367039
NGC3953,8,0.5415260299986521,,,6.384046490357759,0.9120066414796799,-29.66308532075673
NGC3972,10,0.560257225055368,,,4.299469147681175,0.47771879418679725,-33.93954677292895
NGC3992,9,0.622430330336609,,,9.99936508184075,1.2499206352300938,-34.981131428668355
NGC4010,12,0.447190809393775,,,9.151237041707361,0.8319306401552147,-43.024711188497314
NGC4013,36,0.4275400663285668,,,23.294505133342028,0.6655572895240579,-127.62976054450397
NGC4051,7,0.45503749942407234,,,6.990310046902693,1.1650516744837822,-27.75259368067067
NGC4068,6,0.49448610185239045,,,4.348814009531524,0.8697628019063048,-20.90674525701245
NGC4085,7,0.33878602725681317,,,11.021056361079095,1.836842726846516,-28.108393084336818
NGC4088,12,0.28541170865723364,,,4.818077146783028,0.4380070133439116,-42.64116681701626
NGC4100,24,0.6140793750109752,,,13.866479323292317,0.6028904053605355,-85.27724024914988
NGC4138,7,0.5973291441935922,,,3.6469773386482127,0.6078295564413688,-28.16899838421606
NGC4157,17,0.3749257899601566,,,4.636071938915666,0.28975449618222915,-60.19796186868676
NGC4183,23,0.513819503414585,,,13.271374176460052,0.6032442807481841,-80.97943643869004
NGC4217,19,0.30004889941593127,,,69.97622758856052,3.8875681993644733,-97.8256865269479
NGC5005,18,0.5166754982167705,,,1.4080976039863144,0.08282927082272439,-73.13480484865418
NGC5055,28,0.49449737566472535,,,6.421240332567529,0.2378237160210196,-91.96556425191318
NGC5907,19,0.5643811894190035,,,58.32616513165233,3.2403425073140184,-88.13781431286412
NGC6195,23,0.6501091724178905,,,48.248790269940514,2.1931268304518414,-101.68395783443263
NGC6503,31,0.5016625326383336,,,7.672516709804282,0.25575055699347604,-98.31967480759371
NGC6674,15,0.7258857903474855,,,28.205970922812238,2.014712208772303,-64.84219334658395
NGC6789,4,0.5169870125147058,,,6.2403197896968905,2.08010659656563,-16.008306436554463
NGC7331,36,0.358856048423346,,,15.753138071618865,0.4500896591891104,-122.82121991301062
NGC7793,46,0.4695042729991808,,,14.582171067697939,0.32404824594884307,-159.5453814063384
NGC7814,18,0.760706026701658,,,45.08373696496662,2.6519845273509777,-80.12317949880993
UGC00128,22,0.7007820561768315,,,25.311216643205537,1.2052960306288352,-82.12372044484849
UGC01281,25,0.49049047294729015,,,5.2815655623406546,0.22006523176419393,-81.24970268293481
