galaxy,pwaic_contribution,n_points,mean_var_loglik
CamB,0.46674310832611465,9,0.051860345369568295
D564-8,0.024403315277297586,6,0.004067219212882931
D631-7,0.25294801812690715,16,0.015809251132931697
DDO154,0.03274552221675953,12,0.0027287935180632943
DDO168,0.0345871072702761,10,0.00345871072702761
ESO444-G084,0.0171373327596046,7,0.0024481903942292285
ESO563-G021,26.040070177325266,30,0.8680023392441755
F568-3,0.13040732072205574,18,0.007244851151225319
F568-V1,0.89445354785912,15,0.05963023652394133
F574-1,0.3668222355758283,14,0.026201588255416308
IC2574,0.9428513691159521,34,0.027730922621057415
IC4202,28.666035215016276,32,0.8958136004692586
NGC0024,1.4686596066826065,29,0.05064343471319333
NGC0055,0.9622514588085717,21,0.04582149803850341
NGC0247,0.2814979262155857,26,0.010826843315984066
NGC0300,0.13142986591816047,25,0.005257194636726419
NGC0801,16.702910770793604,13,1.2848392900610466
NGC0891,4.659748753403444,18,0.2588749307446358
NGC2403,3.347574261810915,73,0.04585718166864267
NGC2683,1.1253061998905445,11,0.10230056362641314
NGC2841,28.90857633913327,50,0.5781715267826654
NGC2915,1.7328365323817372,30,0.05776121774605791
NGC2955,3.371606117261733,24,0.14048358821923887
NGC2976,0.38943972987044556,27,0.014423693698905391
NGC2998,3.5839920830762972,13,0.2756916986981767
NGC3109,0.12270311758138994,25,0.004908124703255598
NGC3198,2.231748073181038,43,0.05190111798095438
NGC3726,3.4790155146132737,12,0.28991795955110616
NGC3741,0.021680705889937976,21,0.0010324145661875226
NGC3769,0.9094854637454877,12,0.07579045531212397
NGC3877,5.181285445493243,13,0.3985604188840956
NGC3893,1.6227413223256075,10,0.16227413223256076
NGC3917,0.7741531871941251,17,0.04553842277612501
NGC3949,0.7120403380239873,7,0.10172004828914104
NGC3953,2.064639391346895,8,0.2580799239183619
NGC3972,0.5163714797130267,10,0.051637147971302665
NGC3992,3.725136674336043,9,0.413904074926227
NGC4010,1.0122928262959767,12,0.08435773552466473
NGC4013,3.2511537563157105,36,0.09030982656432529
NGC4051,5.374794355296055,7,0.7678277650422937
NGC4068,0.1527648236305436,6,0.025460803938423936
NGC4085,1.437081588458199,7,0.20529736977974272
NGC4088,1.7037030661407557,12,0.14197525551172965
NGC4100,1.7923015824314121,24,0.07467923260130883
NGC4138,0.6993980826255888,7,0.09991401180365554
NGC4157,0.8237690540097264,17,0.04845700317704273
NGC4183,1.065300333975645,23,0.046317405825028045
NGC4217,8.35492047434926,19,0.4397326565446979
NGC5005,0.22097551699931842,18,0.012276417611073245
NGC5055,7.408733455730351,28,0.2645976234189411
NGC5907,6.387932052680075,19,0.33620695014105656
NGC6195,27.68133151473174,23,1.2035361528144235
NGC6503,0.7801828498155152,31,0.025167188703726296
NGC6674,1.1692765032108452,15,0.07795176688072301
NGC6789,0.07660923267720261,4,0.019152308169300653
NGC7331,3.077606758427404,36,0.08548907662298344
NGC7793,0.43849250855507643,46,0.009532445838153835
NGC7814,3.5331913661039773,18,0.19628840922799873
UGC00128,0.2094647684097034,22,0.0095211258368047
UGC01281,0.04229047698102815,25,0.001691619079241126
UGC02487,2.8188537590818576,17,0.16581492700481515
UGC02885,8.622579751826523,19,0.45381998693823805
UGC02916,5.212250023121728,43,0.12121511681678436
UGC03205,10.962540012677369,48,0.22838625026411186
UGC04483,0.010885269905524705,8,0.0013606587381905881
UGC05005,0.06369749949329309,11,0.005790681772117554
UGC05750,0.2087554991571989,11,0.018977772650654447
UGC06399,0.27870118187409176,9,0.030966797986010194
UGC06614,0.13068924706577045,13,0.010053019005059265
UGC06667,0.520611797343053,9,0.05784575526033922
UGC06818,1.1729558253449404,8,0.14661947816811755
UGC06917,0.21723638146837496,11,0.01974876195167045
UGC06923,0.25885831249748203,6,0.04314305208291367
UGC06930,0.10138393354348207,10,0.010138393354348208
UGC06983,1.326433792123065,17,0.0780255171837097
UGC07089,0.6670192063849174,12,0.05558493386540978
UGC07151,0.19237411913252742,11,0.01748855628477522
UGC07232,0.025192871483317045,4,0.006298217870829261
UGC07524,0.47329137279119665,31,0.015267463638425698
UGC07559,0.10494536097714806,7,0.014992194425306865
UGC07577,0.23832256520378953,9,0.026480285022643282
UGC07866,0.06103969882663806,7,0.008719956975234009
UGC08286,0.8459784217260068,17,0.04976343657211805
UGC08490,0.7072792399417501,30,0.023575974664725004
UGC08837,0.6800740370292293,8,0.08500925462865366
UGC09037,4.597472935190476,22,0.208976042508658
UGC09133,5.385021802039831,68,0.07919149708882105
UGC11455,4.711365483408418,36,0.1308712634280116
UGC12506,2.3262546978362733,31,0.07504047412375076
UGCA442,0.008363090298955742,8,0.0010453862873694678
UGCA444,0.019400541980731417,36,0.000538903943909206
