galaxy,pwaic_contribution,n_points,mean_var_loglik
NGC2841,28.90857633913327,50,0.5781715267826654
IC4202,28.666035215016276,32,0.8958136004692586
NGC6195,27.68133151473174,23,1.2035361528144235
ESO563-G021,26.040070177325266,30,0.8680023392441755
NGC0801,16.702910770793604,13,1.2848392900610466
UGC03205,10.962540012677369,48,0.22838625026411186
UGC02885,8.622579751826523,19,0.45381998693823805
NGC4217,8.35492047434926,19,0.4397326565446979
NGC5055,7.408733455730351,28,0.2645976234189411
NGC5907,6.387932052680075,19,0.33620695014105656
UGC09133,5.385021802039831,68,0.07919149708882105
NGC4051,5.374794355296055,7,0.7678277650422937
UGC02916,5.212250023121728,43,0.12121511681678436
NGC3877,5.181285445493243,13,0.3985604188840956
UGC11455,4.711365483408418,36,0.1308712634280116
NGC0891,4.659748753403444,18,0.2588749307446358
UGC09037,4.597472935190476,22,0.208976042508658
NGC3992,3.725136674336043,9,0.413904074926227
NGC2998,3.5839920830762972,13,0.2756916986981767
NGC7814,3.5331913661039773,18,0.19628840922799873
