galaxy,radius,var_loglik,v_obs,v_model_mean
IC4202,1.59,9.416030326049087,77.9,148.78093560790126
UGC02885,1.7,7.69378695281405,305.0,238.228458164595
IC4202,0.77,7.416070303450527,35.1,109.91102316606352
ESO563-G021,8.47,5.1413351182460785,283.0,243.41780219002638
ESO563-G021,2.23,3.8794992031173843,74.1,135.20176372200473
NGC0801,31.67,3.0564865031060076,222.0,260.45891080071686
ESO563-G021,7.58,2.7953940372880597,268.0,230.23134404936562
NGC3992,9.19,2.4332682792390266,248.0,218.66766806995813
ESO563-G021,12.06,2.4171643904725193,310.0,280.1601334476383
NGC6195,7.34,2.404574199080234,233.0,275.199787631963
NGC0801,38.74,2.3872788396110614,219.0,260.3718456473666
UGC09037,2.43,2.336515537149179,62.2,92.1811173574246
IC4202,7.08,2.1191532432758735,231.0,197.95630667748546
NGC6195,6.34,1.9796390439173013,233.0,269.56079211673637
NGC6195,16.35,1.9738464036063912,250.0,301.6295374705928
NGC6195,22.52,1.930726720348739,254.0,310.69885929870406
NGC0891,3.24,1.9064448198782358,212.0,249.79842662681605
NGC5907,5.03,1.9013022964516528,214.0,168.2645080593595
NGC4051,8.72,1.885045821213362,161.0,182.9695095660408
NGC0801,45.8,1.8492645682812463,214.0,254.8900514159223
