galaxy,radius,var_loglik,v_obs,v_model_mean
CamB,0.16,0.0013127032639667815,1.99,8.751226815106499
CamB,0.41,0.02170259405194198,4.84,17.624666037067676
CamB,0.57,0.041288389674052614,6.79,21.62636934399268
CamB,0.73,0.06268022501685172,8.87,25.052325991442547
CamB,0.9,0.07464929395048867,10.9,27.713615962197117
CamB,1.06,0.07482691624894022,12.9,29.545661057124402
CamB,1.22,0.06685969047775914,14.7,30.55904976272483
CamB,1.47,0.07632939596599256,16.8,31.960312202641
CamB,1.79,0.04709389967612101,20.1,31.73465370791299
D564-8,0.51,0.00357165291715876,8.54,15.71576334513828
D564-8,1.02,0.005954576138187897,15.1,22.34771195283381
D564-8,1.53,0.004641785575298894,19.8,25.991532538192633
D564-8,2.04,0.004332720834378953,21.9,28.144168023886984
D564-8,2.56,0.003143421874917127,24.0,29.4839129694618
D564-8,3.07,0.0027591579373559506,25.0,30.363886305048602
D631-7,0.45,0.01429365841367022,8.41,21.512886613076844
D631-7,0.9,0.0331509317621574,17.8,32.51537920830952
D631-7,1.35,0.05766440047046154,26.0,40.7300128695093
D631-7,1.8,0.05562953485960306,30.9,45.38682475911539
D631-7,2.25,0.03914229979672891,34.7,48.108410053571994
D631-7,2.69,0.023255092051178438,38.8,50.25365853501644
D631-7,3.14,0.012142149490022654,42.5,51.56826750305358
D631-7,3.59,0.006467313844826347,45.6,52.59442092469763
D631-7,4.04,0.0028046672765604176,48.8,53.3826171064387
D631-7,4.49,0.001090901239614542,51.8,53.76936621293478
D631-7,4.94,0.0007546145081108166,54.8,54.082140886934354
D631-7,5.39,0.001045564889590663,56.6,54.16320296073994
D631-7,5.84,0.001662898553581414,58.4,54.170158246225064
D631-7,6.29,0.0015224575086479487,58.5,54.09224844614277
D631-7,6.74,0.0011887510926280398,57.7,53.965232672704566
D631-7,7.19,0.0011327823695247061,57.3,53.775166684079345
DDO154,0.49,0.009740206639027499,13.8,20.707314866167454
DDO154,0.99,0.011531576145620458,21.6,28.451237704569696
DDO154,1.48,0.0028711129392001286,28.9,33.04285821671981
DDO154,1.97,0.0013465745570305943,34.3,37.07265326885745
DDO154,2.47,0.0009987602482001636,38.2,40.086558256253035
DDO154,2.96,0.0009033496956754767,42.0,43.13983864041844
DDO154,3.46,0.0009062636728102466,44.6,46.22945521853449
DDO154,3.95,0.0008961808602280668,46.3,47.87413739074104
DDO154,4.44,0.0008764918614523526,47.4,48.45052720207569
DDO154,4.94,0.0008580259970814307,48.2,48.76733583540534
DDO154,5.43,0.0008741478241892468,47.4,48.80129130612473
DDO154,5.92,0.0009428317762438675,45.5,48.74139989092237
DDO168,0.41,0.0010888864019523172,15.0,22.54558078211134
DDO168,0.82,0.007758436398551835,23.4,35.408229845114164
DDO168,1.24,0.011463579489844085,29.2,41.361873265394784
DDO168,1.64,0.00613534951585778,36.2,44.278454491216166
DDO168,2.06,0.002580977064031309,44.0,48.613883770478346
DDO168,2.47,0.0007492949375872911,52.1,51.22737545704822
DDO168,2.89,0.0006959360426081016,52.9,53.30939245924489
DDO168,3.3,0.000631615119856725,54.8,54.72726135896391
DDO168,3.71,0.0007512436164608805,55.0,56.14242533371225
DDO168,4.12,0.0027317886835257787,52.0,57.14535983636401
ESO444-G084,0.26,0.0008370507412857873,18.3,15.619608037865452
ESO444-G084,0.77,0.001707180167422169,35.3,30.039515240105583
ESO444-G084,1.29,0.002490001500781746,47.8,38.03489199707666
ESO444-G084,1.81,0.002070033179065144,52.8,43.19548475835591
ESO444-G084,2.32,0.001988494462445402,58.0,46.245892921047556
ESO444-G084,3.39,0.005297261263100492,63.1,46.22568829784265
ESO444-G084,4.44,0.0027473114455038613,62.7,44.626712705504936
ESO563-G021,0.45,0.17801039431329316,18.9,63.37207452401636
ESO563-G021,1.34,0.7590097493108865,58.3,115.2682019533694
ESO563-G021,2.23,3.8794992031173843,74.1,135.20176372200473
ESO563-G021,3.12,1.09017304653053,119.0,147.3147538733436
ESO563-G021,4.01,0.6541731798753094,141.0,160.98473833210195
ESO563-G021,4.9,0.41937435138412277,195.0,178.94269116684632
ESO563-G021,5.79,1.456572226435151,227.0,200.72323698953883
ESO563-G021,6.69,1.7862363782806012,246.0,218.6403407383447
ESO563-G021,7.58,2.7953940372880597,268.0,230.23134404936562
ESO563-G021,8.47,5.1413351182460785,283.0,243.41780219002638
ESO563-G021,10.23,0.689773856815255,291.0,263.8727202441811
ESO563-G021,12.06,2.4171643904725193,310.0,280.1601334476383
ESO563-G021,13.44,0.07746672236720462,310.0,286.2781994592972
ESO563-G021,15.18,0.07507301536452594,310.0,294.16612704054296
ESO563-G021,16.83,0.10107096387638952,314.0,299.53673882634115
ESO563-G021,18.56,0.166271771144131,317.0,298.9494529593445
