galaxy,pwaic_contribution,n_points,mean_var_loglik
CamB,1.2927535919923914,9,0.1436392879991546
D564-8,0.018421104863577734,6,0.0030701841439296222
D631-7,0.36592571417898556,16,0.022870357136186598
DDO154,0.04621820748340051,12,0.003851517290283376
DDO168,0.0426327392136688,10,0.00426327392136688
ESO444-G084,0.01660956446617876,7,0.0023727949237398226
ESO563-G021,22.03916294171138,30,0.7346387647237126
F568-3,0.10080961760323681,18,0.005600534311290934
F568-V1,0.7665847493940653,15,0.05110564995960435
F574-1,0.8238445976454926,14,0.058846042688963755
IC2574,1.0721082065516505,34,0.031532594310342665
IC4202,24.78241491602521,32,0.7744504661257878
NGC0024,1.4061360718106672,29,0.04848745075209197
NGC0055,1.9965613932033648,21,0.09507435205730308
NGC0247,0.31544598041321215,26,0.012132537708200468
NGC0300,0.09998953171250016,25,0.003999581268500006
NGC0801,17.146526583881023,13,1.3189635833754634
NGC0891,4.503109791794547,18,0.25017276621080814
NGC2403,4.264255121320043,73,0.05841445371671292
NGC2683,1.2849265355863526,11,0.11681150323512296
NGC2841,34.90379965128042,50,0.6980759930256084
NGC2915,2.188252602890666,30,0.07294175342968887
NGC2955,6.256813308646221,24,0.26070055452692587
NGC2976,0.5896711399809742,27,0.021839671851147192
NGC2998,6.581947552221951,13,0.5063036578632271
NGC3109,0.11786725238978431,25,0.004714690095591372
NGC3198,1.983880293057984,43,0.04613675100134847
NGC3726,2.991320215974785,12,0.24927668466456543
NGC3741,0.03673557230700007,21,0.0017493129670000033
NGC3769,0.5975961427175102,12,0.04979967855979251
NGC3877,6.659151973036164,13,0.5122424594643203
NGC3893,1.27890635906368,10,0.127890635906368
NGC3917,0.9233448992235732,17,0.054314405836680776
NGC3949,0.41602103613982083,7,0.059431576591402975
NGC3953,1.8036738838025101,8,0.22545923547531377
NGC3972,0.32330097679493214,10,0.032330097679493214
NGC3992,3.3796547921392217,9,0.3755171991265802
NGC4010,1.1436700445567707,12,0.09530583704639756
NGC4013,3.3297424021760906,36,0.09249284450489141
NGC4051,3.5693395555582854,7,0.5099056507940408
NGC4068,0.18491765798996446,6,0.030819609664994075
NGC4085,1.6347977380643517,7,0.2335425340091931
NGC4088,3.9159697434853253,12,0.32633081195711044
NGC4100,1.7609920368503915,24,0.07337466820209965
NGC4138,1.611579031033985,7,0.23022557586199785
NGC4157,4.371374427846696,17,0.25713967222627626
NGC4183,0.8763927786048812,23,0.038104033852386136
NGC4217,9.200773239048203,19,0.48425122310780017
NGC5005,0.20446742680302724,18,0.011359301489057068
NGC5055,6.222552635483696,28,0.2222340226958463
NGC5907,5.556898133303734,19,0.29246832280545965
NGC6195,39.93493292939691,23,1.736301431712909
NGC6503,1.0928530682256823,31,0.035253324781473624
NGC6674,1.3699518577649945,15,0.09133012385099963
NGC6789,0.11772107937235922,4,0.029430269843089805
NGC7331,2.971530957012476,36,0.08254252658367989
NGC7793,0.5483591541683828,46,0.011920851177573539
NGC7814,3.0748209264244677,18,0.1708233848013593
UGC00128,0.2935486768710761,22,0.013343121675958004
UGC01281,0.04801750445691669,25,0.0019207001782766675
UGC02487,3.436517754182249,17,0.20214810318719112
UGC02885,9.014321353749466,19,0.474437965986814
UGC02916,3.9552254867088465,43,0.09198198806299643
UGC03205,9.181960026533082,48,0.19129083388610588
UGC04483,0.00973981696636744,8,0.00121747712079593
UGC05005,0.10432466588729948,11,0.009484060535209045
UGC05750,0.13772940815209336,11,0.012520855286553943
UGC06399,0.09596864510956757,9,0.010663182789951951
UGC06614,0.1269053527109484,13,0.009761950208534494
UGC06667,0.8187892181565813,9,0.0909765797951757
UGC06818,0.867549038258314,8,0.10844362978228925
UGC06917,0.31667433118217697,11,0.028788575562016087
UGC06923,0.23188205337015108,6,0.03864700889502518
UGC06930,0.4801860823880671,10,0.04801860823880671
UGC06983,0.45776814994725945,17,0.026927538232191732
UGC07089,0.887269286746286,12,0.07393910722885717
UGC07151,0.1964559905070593,11,0.017859635500641756
UGC07232,0.0279815301391651,4,0.006995382534791275
UGC07524,0.4558133675133894,31,0.014703657016560949
UGC07559,0.0730725407257363,7,0.0104389343893909
UGC07577,0.24735768213917186,9,0.02748418690435243
UGC07866,0.061229197156332606,7,0.008747028165190372
UGC08286,0.7331509307055395,17,0.04312652533561997
UGC08490,1.633919357292409,30,0.05446397857641363
UGC08837,0.9401743735972261,8,0.11752179669965326
UGC09037,9.226675285131245,22,0.4193943311423293
UGC09133,3.2440079905979258,68,0.047705999861734204
UGC11455,4.770125082979,36,0.13250347452719444
UGC12506,2.5091100910439685,31,0.08093903519496673
UGCA442,0.01259092622737341,8,0.0015738657784216763
UGCA444,0.020132669679213226,36,0.0005592408244225896
