galaxy,pwaic_contribution,n_points,mean_var_loglik
NGC6195,39.93493292939691,23,1.736301431712909
NGC2841,34.90379965128042,50,0.6980759930256084
IC4202,24.78241491602521,32,0.7744504661257878
ESO563-G021,22.03916294171138,30,0.7346387647237126
NGC0801,17.146526583881023,13,1.3189635833754634
UGC09037,9.226675285131245,22,0.4193943311423293
NGC4217,9.200773239048203,19,0.48425122310780017
UGC03205,9.181960026533082,48,0.19129083388610588
UGC02885,9.014321353749466,19,0.474437965986814
NGC3877,6.659151973036164,13,0.5122424594643203
NGC2998,6.581947552221951,13,0.5063036578632271
NGC2955,6.256813308646221,24,0.26070055452692587
NGC5055,6.222552635483696,28,0.2222340226958463
NGC5907,5.556898133303734,19,0.29246832280545965
UGC11455,4.770125082979,36,0.13250347452719444
NGC0891,4.503109791794547,18,0.25017276621080814
NGC4157,4.371374427846696,17,0.25713967222627626
NGC2403,4.264255121320043,73,0.05841445371671292
UGC02916,3.9552254867088465,43,0.09198198806299643
NGC4088,3.9159697434853253,12,0.32633081195711044
