galaxy,radius,var_loglik,v_obs,v_model_mean
IC4202,1.59,7.919141965539678,77.9,148.24425526894797
UGC02885,1.7,7.805051737305786,305.0,236.78958628237086
IC4202,0.77,6.378370331635613,35.1,109.36021252876984
ESO563-G021,2.23,4.142039542720002,74.1,138.17001817837692
ESO563-G021,8.47,4.0293304840458575,283.0,248.89024937355163
UGC09037,2.43,3.753847904107903,62.2,96.06492360995001
NGC6195,7.34,3.251416543433539,233.0,285.12193693591894
NGC0801,31.67,3.0797529291854495,222.0,258.01409342827594
NGC6195,6.34,2.75299814123237,233.0,279.12541749548296
NGC6195,16.35,2.744121121752182,250.0,312.5689388057997
NGC6195,22.52,2.675464975918571,254.0,321.5116291097204
NGC6195,17.92,2.54198016053518,253.0,316.5420551322788
NGC6195,13.32,2.5216578813855226,247.0,299.24829855183975
NGC6195,14.3,2.517690446169778,238.0,303.6928675122766
NGC0801,38.74,2.392807010757191,219.0,257.31780576691926
UGC09037,3.65,2.2655472288105503,88.2,108.72085852193624
NGC3992,9.19,2.2511559669568624,248.0,219.39788814874242
ESO563-G021,7.58,2.2091007512366074,268.0,235.40753105084795
NGC6195,15.47,1.990360881044311,249.0,309.7882753406232
NGC6195,10.38,1.9530797240616566,242.0,292.97834957109893
