galaxy,radius,var_loglik,v_obs,v_model_mean
CamB,0.16,0.003581834855316779,1.99,8.7183715853743
CamB,0.41,0.059806797951761165,4.84,17.857389649334248
CamB,0.57,0.11334207293351026,6.79,21.951327303628617
CamB,0.73,0.17319966573103499,8.87,25.455489158086973
CamB,0.9,0.20656789119604968,10.9,28.12991031235635
CamB,1.06,0.20776563299791787,12.9,29.933852365124565
CamB,1.22,0.18589026453730456,14.7,30.874356176576015
CamB,1.47,0.21315151716679112,16.8,32.239264031448634
CamB,1.79,0.12944791462270508,20.1,31.820650867304842
D564-8,0.51,0.0029740849195588567,8.54,15.223967488860147
D564-8,1.02,0.004719865747361736,15.1,21.676140281733932
D564-8,1.53,0.003471178105876059,19.8,25.146561015996948
D564-8,2.04,0.003135453317981308,21.9,27.132997950413515
D564-8,2.56,0.002204922336304096,24.0,28.311277930090387
D564-8,3.07,0.0019156004364956757,25.0,29.04225375779436
D631-7,0.45,0.021476166885771104,8.41,20.813730424184822
D631-7,0.9,0.049311351680059644,17.8,31.611927457992206
D631-7,1.35,0.08373134109841106,26.0,39.49352177243662
D631-7,1.8,0.07923304502045166,30.9,44.11072884403034
D631-7,2.25,0.0543484409275743,34.7,46.89356380855329
D631-7,2.69,0.030781581797160087,38.8,49.04317438741935
D631-7,3.14,0.014718039746707635,42.5,50.3253208615136
D631-7,3.59,0.006858009383245266,45.6,51.275509807231366
D631-7,4.04,0.0023088702045486196,48.8,51.9795388150864
D631-7,4.49,0.000839583082258667,51.8,52.258762470962786
D631-7,4.94,0.0016532273932657027,54.8,52.46498697330349
D631-7,5.39,0.0029973851881605435,56.6,52.42680133268812
D631-7,5.84,0.004892915790583974,58.4,52.31399779356968
D631-7,6.29,0.004704335505971892,58.5,52.115597458006235
D631-7,6.74,0.0039988740769941085,57.7,51.868719168876645
D631-7,7.19,0.004072546397821355,57.3,51.559466773547506
DDO154,0.49,0.014935822811480577,13.8,20.802889535777204
DDO154,0.99,0.017447904702491173,21.6,28.476506047984543
DDO154,1.48,0.0042133278001849775,28.9,32.89657140732993
DDO154,1.97,0.0017533984356165504,34.3,36.79660681595898
DDO154,2.47,0.0011533493068572479,38.2,39.669946147508135
DDO154,2.96,0.0009832703709801082,42.0,42.62341158196983
DDO154,3.46,0.0009894204415009998,44.6,45.63472301662486
DDO154,3.95,0.0009653314738148122,46.3,47.15431552696874
DDO154,4.44,0.0009352776715298696,47.4,47.571210611807956
DDO154,4.94,0.0009220720094021495,48.2,47.72852594091761
DDO154,5.43,0.0009247452727288776,47.4,47.607863284540024
DDO154,5.92,0.0009942871868131645,45.5,47.4018741550456
DDO168,0.41,0.001227308919009002,15.0,22.86985985221964
DDO168,0.82,0.010308419724912306,23.4,36.061080052640946
DDO168,1.24,0.014611878759295231,29.2,42.04851929319998
DDO168,1.64,0.0074890828755588765,36.2,44.86877279056089
DDO168,2.06,0.0031900419514787125,44.0,49.18987386011632
DDO168,2.47,0.0007744648474601547,52.1,51.71170209999929
DDO168,2.89,0.0007777868515672333,52.9,53.6841667291986
DDO168,3.3,0.0006854527162724753,54.8,54.99276333072921
DDO168,3.71,0.0008063020216775203,55.0,56.30067968826387
DDO168,4.12,0.002762000546437283,52.0,57.15655341573269
ESO444-G084,0.26,0.0007966235986577665,18.3,15.954142415642302
ESO444-G084,0.77,0.0011836682845175204,35.3,30.701990946656974
ESO444-G084,1.29,0.001979059910524944,47.8,38.58945307010364
ESO444-G084,1.81,0.0017517492873867244,52.8,43.59993961919341
ESO444-G084,2.32,0.0018154073819386014,58.0,46.44632487089523
ESO444-G084,3.39,0.005566109425678554,63.1,45.847634626398786
ESO444-G084,4.44,0.0035169465774746484,62.7,43.76495406534721
ESO563-G021,0.45,0.1872376821506753,18.9,64.73725127382839
ESO563-G021,1.34,0.8169842170488897,58.3,117.67971573629482
ESO563-G021,2.23,4.142039542720002,74.1,138.17001817837692
ESO563-G021,3.12,1.362670754436236,119.0,150.62851590888903
ESO563-G021,4.01,0.9246650172535698,141.0,164.6256527982358
ESO563-G021,4.9,0.2527766451753036,195.0,182.98735703900502
ESO563-G021,5.79,1.0586156794501427,227.0,205.23821169580302
ESO563-G021,6.69,1.26911836088399,246.0,223.54455393803775
ESO563-G021,7.58,2.2091007512366074,268.0,235.40753105084795
ESO563-G021,8.47,4.0293304840458575,283.0,248.89024937355163
ESO563-G021,10.23,0.44958016869052614,291.0,269.8200295167911
ESO563-G021,12.06,1.593266066709764,310.0,286.4940675965984
ESO563-G021,13.44,0.04505040572139996,310.0,292.7643565864736
ESO563-G021,15.18,0.030881430939394185,310.0,300.8259949281868
ESO563-G021,16.83,0.037630400948427685,314.0,306.2990732147259
ESO563-G021,18.56,0.07793351597810852,317.0,305.6263706124338
