galaxy,pwaic_contribution,n_points,mean_var_loglik
CamB,0.5382784112424914,9,0.05980871236027682
D564-8,0.026394035824374586,6,0.004399005970729098
D631-7,0.3663119088631662,16,0.02289449430394789
DDO154,0.03892054503130939,12,0.003243378752609116
DDO168,0.04606894904854477,10,0.004606894904854477
ESO444-G084,0.02786124957447205,7,0.0039801785106388645
ESO563-G021,22.881671899666127,30,0.7627223966555375
F568-3,0.10879165771293835,18,0.006043980984052131
F568-V1,0.969152512972523,15,0.06461016753150153
F574-1,0.7389330404189994,14,0.052780931458499956
IC2574,0.7837380804863487,34,0.023051120014304375
IC4202,27.58798991067631,32,0.8621246847086347
NGC0024,1.2280099255155663,29,0.04234516984536436
NGC0055,1.5613588631399955,21,0.0743504220542855
NGC0247,0.3141407658484285,26,0.01208233714801648
NGC0300,0.13594094819627675,25,0.00543763792785107
NGC0801,17.875082785651667,13,1.3750063681270512
NGC0891,4.360130926856874,18,0.24222949593649298
NGC2403,5.059908429291291,73,0.06931381409988069
NGC2683,0.9971104425584484,11,0.09064640386894986
NGC2841,38.474653931683584,50,0.7694930786336717
NGC2915,1.6491585703999607,30,0.05497195234666536
NGC2955,6.671472855837161,24,0.2779780356598817
NGC2976,0.5296741634411402,27,0.019617561608931116
NGC2998,4.548194542068234,13,0.3498611186206334
NGC3109,0.18146456961209265,25,0.007258582784483706
NGC3198,1.4068012680527677,43,0.03271630855936669
NGC3726,3.2662764689679222,12,0.27218970574732687
NGC3741,0.03155674028860636,21,0.0015027019185050647
NGC3769,0.6979304371997346,12,0.05816086976664455
NGC3877,5.523394583919249,13,0.4248765064553268
NGC3893,1.6987270599990785,10,0.16987270599990784
NGC3917,1.0839622090458367,17,0.06376248288504922
NGC3949,0.5400643064293765,7,0.07715204377562522
NGC3953,2.7356316393932785,8,0.3419539549241598
NGC3972,0.4430160152891852,10,0.04430160152891852
NGC3992,2.637531300934948,9,0.29305903343721645
NGC4010,1.281600126742428,12,0.106800010561869
NGC4013,4.663622421345534,36,0.12954506725959816
NGC4051,4.4980709368455525,7,0.6425815624065075
NGC4068,0.24041857184240076,6,0.04006976197373346
NGC4085,1.3937051919937453,7,0.19910074171339218
NGC4088,2.643549309376343,12,0.22029577578136192
NGC4100,2.167229944703735,24,0.09030124769598896
NGC4138,0.7006637168505362,7,0.10009481669293374
NGC4157,1.236229014788514,17,0.07271935381108906
NGC4183,1.0167718375802683,23,0.044207471199142104
NGC4217,10.186885581858798,19,0.5361518727294105
NGC5005,0.16948900594239644,18,0.00941605588568869
NGC5055,7.45140438425723,28,0.2661215851520439
NGC5907,7.223813458081157,19,0.38020070832006087
NGC6195,40.10209838281686,23,1.743569494905081
NGC6503,1.3409538912900554,31,0.04325657713838888
NGC6674,1.1333691398419588,15,0.07555794265613058
NGC6789,0.06772882427489854,4,0.016932206068724635
NGC7331,2.957480486857156,36,0.0821522357460321
NGC7793,0.4568490512177144,46,0.009931501113428574
NGC7814,3.0501700727780277,18,0.16945389293211266
UGC00128,0.2748960183414378,22,0.012495273560974445
UGC01281,0.03537746602977163,25,0.0014150986411908652
UGC02487,0.8836192990250605,17,0.05197760582500356
UGC02885,18.48481727932032,19,0.9728851199642274
UGC02916,4.864562841717339,43,0.11312936841203114
UGC03205,14.6883730379697,48,0.30600777162436876
UGC04483,0.011883897426030961,8,0.0014854871782538702
UGC05005,0.11330413131743983,11,0.01030037557431271
UGC05750,0.19392610683273429,11,0.017629646075703116
UGC06399,0.16318727552535997,9,0.018131919502817773
UGC06614,0.1313082120232384,13,0.010100631694095261
UGC06667,0.8994664433023443,9,0.0999407159224827
UGC06818,0.7634375449823434,8,0.09542969312279292
UGC06917,0.31170562992293654,11,0.028336875447539687
UGC06923,0.31983450326128154,6,0.05330575054354692
UGC06930,0.1344229122301131,10,0.01344229122301131
UGC06983,0.7786021321183773,17,0.04580012541872808
UGC07089,1.017570289046493,12,0.08479752408720775
UGC07151,0.23628394093315097,11,0.02148035826665009
UGC07232,0.03040003297744127,4,0.007600008244360318
UGC07524,0.46767149671703456,31,0.015086177313452728
UGC07559,0.12773318026118283,7,0.018247597180168974
UGC07577,0.24855843055805948,9,0.027617603395339942
UGC07866,0.0437087905935696,7,0.006244112941938515
UGC08286,0.5219656718539616,17,0.030703863050233034
UGC08490,1.2094022277737733,30,0.04031340759245911
UGC08837,0.5692464193043825,8,0.07115580241304781
UGC09037,6.43649653017448,22,0.29256802409884003
UGC09133,3.688197354494424,68,0.054238196389623884
UGC11455,6.1484783136611885,36,0.17079106426836635
UGC12506,4.1156038821764085,31,0.1327614155540777
UGCA442,0.00935852979287407,8,0.0011698162241092587
UGCA444,0.020131349300595874,36,0.0005592041472387743
