galaxy,pwaic_contribution,n_points,mean_var_loglik
NGC6195,40.10209838281686,23,1.743569494905081
NGC2841,38.474653931683584,50,0.7694930786336717
IC4202,27.58798991067631,32,0.8621246847086347
ESO563-G021,22.881671899666127,30,0.7627223966555375
UGC02885,18.48481727932032,19,0.9728851199642274
NGC0801,17.875082785651667,13,1.3750063681270512
UGC03205,14.6883730379697,48,0.30600777162436876
NGC4217,10.186885581858798,19,0.5361518727294105
NGC5055,7.45140438425723,28,0.2661215851520439
NGC5907,7.223813458081157,19,0.38020070832006087
NGC2955,6.671472855837161,24,0.2779780356598817
UGC09037,6.43649653017448,22,0.29256802409884003
UGC11455,6.1484783136611885,36,0.17079106426836635
NGC3877,5.523394583919249,13,0.4248765064553268
NGC2403,5.059908429291291,73,0.06931381409988069
UGC02916,4.864562841717339,43,0.11312936841203114
NGC4013,4.663622421345534,36,0.12954506725959816
NGC2998,4.548194542068234,13,0.3498611186206334
NGC4051,4.4980709368455525,7,0.6425815624065075
NGC0891,4.360130926856874,18,0.24222949593649298
