galaxy,radius,var_loglik,v_obs,v_model_mean
UGC02885,1.7,16.755424130188327,305.0,227.2120092046733
IC4202,1.59,10.03593611835269,77.9,150.15111672748347
IC4202,0.77,7.769021554029742,35.1,110.74319228916899
ESO563-G021,8.47,4.283435591913378,283.0,247.55641500444284
ESO563-G021,2.23,3.9493196814715414,74.1,137.35790866676714
NGC6195,7.34,3.2237520089180594,233.0,283.3196959044815
UGC09037,2.43,3.0508700713566554,62.2,93.51781294228194
NGC0801,31.67,3.0308811696612663,222.0,257.2586090108221
NGC6195,16.35,2.8063442231358446,250.0,311.5055954703131
NGC6195,22.52,2.752840316499282,254.0,320.63284008796086
NGC6195,6.34,2.701410719892293,233.0,277.2465714331794
NGC6195,17.92,2.605242637341595,253.0,315.55159124412785
NGC6195,14.3,2.56804932205699,238.0,302.5342565120078
NGC6195,13.32,2.5572611082618746,247.0,298.03385792795285
NGC0801,38.74,2.380975041579815,219.0,256.5894117782093
ESO563-G021,7.58,2.3469227287114367,268.0,234.14622262539407
NGC5907,5.03,2.309023004424152,214.0,167.74550999954266
NGC0801,2.73,2.0834251322871298,228.0,198.80460822649064
NGC2841,4.47,2.038735671117165,306.0,260.8207618160119
NGC6195,15.47,2.029861323507559,249.0,308.6784658189717
