galaxy,radius,var_loglik,v_obs,v_model_mean
CamB,0.16,0.0019454665361114587,1.99,7.7816668870566055
CamB,0.41,0.02775183560377807,4.84,15.779743781558418
CamB,0.57,0.051004282440865814,6.79,19.50504123078372
CamB,0.73,0.07597230804760392,8.87,22.686914484333887
CamB,0.9,0.0885448579127415,10.9,25.22079018880323
CamB,1.06,0.08697085024227455,12.9,26.981127952790562
CamB,1.22,0.07610849072619179,14.7,27.920953224960435
CamB,1.47,0.08494017705026367,16.8,28.830820445694034
CamB,1.79,0.045040142682660676,20.1,28.224264531324614
D564-8,0.51,0.004323685383071858,8.54,16.0074511739786
D564-8,1.02,0.007416481453749551,15.1,22.697121270537576
D564-8,1.53,0.005204338153264989,19.8,26.190099557609727
D564-8,2.04,0.004433703928515543,21.9,28.110688650767425
D564-8,2.56,0.0027818514349640506,24.0,29.20161009945289
D564-8,3.07,0.002233975470808597,25.0,29.862023757424332
D631-7,0.45,0.01889397073118505,8.41,21.68904714902999
D631-7,0.9,0.046116686503320355,17.8,32.91873299933483
D631-7,1.35,0.08382278304167076,26.0,41.294952300228445
D631-7,1.8,0.08111774032129568,30.9,45.91248404752558
D631-7,2.25,0.05668527102805046,34.7,48.49497826041005
D631-7,2.69,0.03383826257172575,38.8,50.50064906361951
D631-7,3.14,0.017635490804713695,42.5,51.635982400042344
D631-7,3.59,0.009217087190813005,45.6,52.48586327462004
D631-7,4.04,0.0037510727274724866,48.8,53.10036427164014
D631-7,4.49,0.0011868923027681558,51.8,53.303287537214025
D631-7,4.94,0.0008794432099353466,54.8,53.44232285512168
D631-7,5.39,0.001661812963093881,56.6,53.34849383279734
D631-7,5.84,0.0031437024362862614,58.4,53.18830276425258
D631-7,6.29,0.003112091722664746,58.5,52.949369533958304
D631-7,6.74,0.0025914985212287384,57.7,52.66870921591223
D631-7,7.19,0.0026581027869418544,57.3,52.330888223639406
DDO154,0.49,0.012148277480590115,13.8,21.261350799929005
DDO154,0.99,0.014700941631493405,21.6,28.989884748539225
DDO154,1.48,0.003446796675325797,28.9,33.315010066380914
DDO154,1.97,0.001430676173823382,34.3,37.14780981132409
DDO154,2.47,0.0009925153068827605,38.2,39.967981370906706
DDO154,2.96,0.0008957867560852213,42.0,42.888258636988326
DDO154,3.46,0.0008934306729041785,44.6,45.879642431649806
DDO154,3.95,0.0008836763579052007,46.3,47.37644386610607
DDO154,4.44,0.0008717547693894114,47.4,47.765500522434984
DDO154,4.94,0.0008668652721845418,48.2,47.895374007222685
DDO154,5.43,0.000861875058055932,47.4,47.74786017377812
DDO154,5.92,0.0009279488766694472,45.5,47.516587015978196
DDO168,0.41,0.0013606880419221674,15.0,22.70638083684368
DDO168,0.82,0.011553920753552854,23.4,35.909186658670485
DDO168,1.24,0.01625445394180548,29.2,41.8055962392907
DDO168,1.64,0.008150183863152437,36.2,44.54826208413879
DDO168,2.06,0.00327526408130806,44.0,48.86302853321016
DDO168,2.47,0.0007615612184993417,52.1,51.37641338438291
DDO168,2.89,0.0007007804718312255,52.9,53.339409927021485
DDO168,3.3,0.0006409867645111264,54.8,54.60312902883305
DDO168,3.71,0.0007034889045675997,55.0,55.890337023677795
DDO168,4.12,0.002667621007394482,52.0,56.77400794384641
ESO444-G084,0.26,0.0012478382609912618,18.3,15.146753406354469
ESO444-G084,0.77,0.0028861991388200382,35.3,29.622890193010814
ESO444-G084,1.29,0.003699821352238396,47.8,37.82921730565498
ESO444-G084,1.81,0.0029834267045553238,52.8,43.0345660739438
ESO444-G084,2.32,0.0028276521612257467,58.0,46.02763643465888
ESO444-G084,3.39,0.0086322324959094,63.1,45.43372926660461
ESO444-G084,4.44,0.00558407946073188,62.7,43.27381971042564
ESO563-G021,0.45,0.1800450808593236,18.9,64.33733523637783
