galaxy,n,Upsilon_med,Upsilon_bulge_med,log10_M200_med,chi2,chi2_red,loglike
CamB,9,0.4299713580628563,,,22.89200364712141,2.861500455890176,-38.56357130051728
D564-8,6,0.5636226682404637,,,2.779592635646864,0.5559185271293728,-19.558861439296933
D631-7,16,0.45827502781937424,,,19.95764427386034,1.330509618257356,-58.78071766742461
DDO154,12,0.5325033343825588,,,1.8644223044522072,0.16949293676838248,-36.93577701421712
DDO168,10,0.5267885774770497,,,6.03508025756164,0.6705644730624045,-33.576654895211504
ESO444-G084,7,0.4507024566715766,,,3.4799363374107934,0.5799893895684656,-24.097903706735252
ESO563-G021,30,0.6938176098311039,,,156.43758164853486,5.394399367190857,-181.37683076623833
F568-3,18,0.5879901623721718,,,9.554913015358753,0.562053706785809,-67.53861785517917
F568-V1,15,0.5409689025283099,,,13.205899258605529,0.9432785184718234,-64.25458080079021
F574-1,14,0.668036310435119,,,6.998398343317435,0.5383383341013411,-48.45246598821949
IC2574,34,0.38920301702970994,,,16.282157965968725,0.4933987262414765,-113.80335287318347
IC4202,32,0.5341934493514259,,,211.37888875170214,6.818673830700069,-211.78879689976247
NGC0024,29,0.7743717976311629,,,22.224493574137835,0.7937319133620655,-107.70921883194391
NGC0055,21,0.24456391409460562,,,14.589844461443803,0.7294922230721902,-72.6913122336679
NGC0247,26,0.5330610678805523,,,5.202577381924252,0.20810309527697007,-85.59515931421785
NGC0300,25,0.569471170113354,,,5.152238747025649,0.21467661445940203,-85.98519974429723
NGC0801,13,0.45876701104447615,,,69.20500722560439,5.767083935467032,-76.48427959857331
NGC0891,18,0.37954675956292444,,,46.98548151447183,2.7638518537924606,-80.19154982525963
NGC2403,73,0.411130956496969,,,31.574084921939548,0.4385289572491604,-239.30642156895908
NGC2683,11,0.5316830060398986,,,8.099182343925051,0.8099182343925051,-41.78509878479597
NGC2841,50,0.674147102887718,,,29.532904813362006,0.6027123431298369,-182.8610015190331
NGC2915,30,0.6514523098061485,,,62.01047390324417,2.1382922035601437,-131.82490693743964
NGC2955,24,0.6436720521623663,,,55.55358712181743,2.415373353122497,-111.3206297285939
NGC2976,27,0.38694906035718757,,,4.506522274744461,0.1733277797978639,-86.62858322653243
NGC2998,13,0.6088755820256818,,,27.347165541782406,2.2789304618152006,-58.71992500588223
NGC3109,25,0.5755274119998197,,,10.667858540454372,0.4444941058522655,-81.87298909415448
NGC3198,43,0.5229589116476906,,,14.954584697613171,0.3560615404193612,-144.94913825423578
NGC3726,12,0.34254066642376385,,,11.393340224529085,1.0357582022299168,-45.713306160276105
NGC3741,21,0.5332804458476773,,,4.881256219804884,0.2440628109902442,-66.14620262147534
NGC3769,12,0.41010750364396653,,,5.134470852866264,0.46677007753329675,-42.89757561018881
NGC3877,13,0.41580827463509346,,,38.91190072252821,3.2426583935440174,-62.022895274488235
NGC3893,10,0.4797976892831974,,,4.482088660315029,0.4980098511461144,-36.6370397489041
NGC3917,17,0.4852184169462116,,,9.876269335186702,0.6172668334491689,-58.42779164675277
NGC3949,7,0.4626152896134561,,,3.0534221968859936,0.5089036994809989,-25.8982156149343
NGC3953,8,0.4889304336829514,,,6.454779082574994,0.9221112975107134,-29.748372153257435
NGC3972,10,0.571161701306758,,,3.7891876863176464,0.42102085403529405,-33.75467015069858
NGC3992,9,0.5905975924029121,,,8.646355891209138,1.0807944864011423,-34.3515491092197
NGC4010,12,0.4881055905614623,,,11.874549908778059,1.0795045371616416,-44.467756164988124
NGC4013,36,0.4192794532037072,,,28.01993154521227,0.8005694727203506,-130.23917986885047
NGC4051,7,0.39777283149861037,,,6.016025499305584,1.0026709165509307,-27.28302834180247
NGC4068,6,0.475900252024989,,,4.119847215037175,0.8239694430074349,-20.847516663441375
NGC4085,7,0.347236806710265,,,11.806142835638058,1.9676904726063429,-28.551508531874518
NGC4088,12,0.261705364695508,,,4.5591770719301845,0.41447064290274405,-42.56202441639871
NGC4100,24,0.601641558127007,,,12.389720498772828,0.5386834999466447,-84.69589361374422
NGC4138,7,0.5394381128549997,,,3.2450711897895252,0.5408451982982542,-27.973837393543022
NGC4157,17,0.349940025429856,,,5.172023735647714,0.3232514834779821,-60.53221253900135
NGC4183,23,0.5752924761854757,,,12.537828785906036,0.5699013084502744,-80.7601292035553
NGC4217,19,0.28556138547309573,,,71.75455283512974,3.9863640463960968,-98.82263818239473
NGC5005,18,0.46997993463145704,,,1.4879644721066416,0.08752732188862598,-73.20722507188098
NGC5055,28,0.4665360627104008,,,5.569628682629025,0.206282543801075,-91.81118411244654
NGC5907,19,0.5283105454551669,,,53.19983295941544,2.95554627552308,-85.73482235752402
NGC6195,23,0.611293921316098,,,52.8881788703056,2.4040081304684366,-104.13536921917915
NGC6503,31,0.4870544508091637,,,10.221508872264609,0.3407169624088203,-99.92029324741148
NGC6674,15,0.6824518232140361,,,27.30593625493616,1.9504240182097257,-64.46841884165465
NGC6789,4,0.438262904035305,,,6.67581622697578,2.225272075658593,-16.251043383831465
NGC7331,36,0.33805520992627314,,,18.553867548721183,0.5301105013920338,-124.50401152006069
NGC7793,46,0.4685417762647622,,,13.810544536128416,0.30690098969174257,-159.5020498876926
NGC7814,18,0.7291203293857501,,,41.31031474421852,2.4300185143657953,-78.3860746808195
UGC00128,22,0.6386604163150048,,,24.115992733092458,1.1483806063377362,-81.72635728939491
UGC01281,25,0.45211650574830176,,,4.930564773861785,0.2054401989109077,-81.2980949224513
UGC02487,17,0.6485074469856857,,,13.921332026534756,0.8700832516584223,-65.68494067234342
UGC02885,19,0.6512939441784211,,,32.39071778466436,1.7994843213702423,-83.42826847953116
UGC02916,43,0.564413139806508,,,78.19315973655239,1.8617418984893426,-184.73933857952096
UGC03205,48,0.7192083121208945,,,79.68929447999231,1.6955169038296236,-200.8129405635769
UGC04483,8,0.4589339234335578,,,2.0164755295024164,0.28806793278605947,-25.16125552964929
UGC05005,11,0.5965800672466515,,,2.5346358534502236,0.25346358534502234,-42.29291371765055
UGC05750,11,0.45775863701869995,,,4.625719154526619,0.4625719154526619,-40.088047308484704
UGC06399,9,0.5233388670336947,,,2.1999803197658028,0.27499753997072535,-29.665701685566894
UGC06614,13,0.37202579193630525,,,7.704261166467994,0.6420217638723328,-53.996108755716605
UGC06667,9,0.5805358498223067,,,32.51268979676557,4.064086224595696,-44.0460742372292
UGC06818,8,0.40039922556930657,,,9.991690960931976,1.4273844229902823,-30.446946784953585
UGC06917,11,0.46105856475156504,,,4.606173154535013,0.4606173154535013,-36.95413302643656
UGC06923,6,0.5544420316284049,,,4.79199213212015,0.95839842642403,-21.62337169081597
UGC06930,10,0.3827664600570694,,,6.087118571274008,0.6763465079193343,-36.97557330280087
UGC06983,17,0.675254437964818,,,7.43076728152877,0.46442295509554815,-59.01176759824065
UGC07089,12,0.37429342356790046,,,6.85153435913713,0.6228667599215573,-41.67799507336669
UGC07151,11,0.5157959658074276,,,3.3707926758621722,0.3370792675862172,-35.15047559340036
UGC07232,4,0.48763082287412685,,,1.018041752464203,0.339347250821401,-12.846253363554936
UGC07524,31,0.450188063493456,,,11.539696048895,0.38465653496316665,-102.06833611484822
UGC07559,7,0.6093770328813625,,,9.053650123213052,1.5089416872021753,-26.025558029168508
UGC07577,9,0.5623182902191901,,,18.736620844150607,2.342077605518826,-36.94706794762539
UGC07866,7,0.627166704844006,,,3.170632235796926,0.5284387059661543,-23.61611234673539
UGC08286,17,0.651809504283825,,,23.403589654935118,1.4627243534334449,-63.15741154474954
