galaxy,n,Upsilon_med,Upsilon_bulge_med,log10_M200_med,chi2,chi2_red,loglike
CamB,9,0.37629096206003676,,,21.591789410270778,2.698973676283847,-37.84045177846937
D564-8,6,0.4892108322019616,,,2.4185375720747158,0.48370751441494314,-19.329583475730672
D631-7,16,0.44399004373332507,,,20.24212194900523,1.3494747966003486,-58.8068687860094
DDO154,12,0.44361516794930866,,,1.4195871266618565,0.12905337515107787,-36.61620416248714
DDO168,10,0.42397398089297533,,,5.8129334486096855,0.6458814942899651,-33.387474077080206
ESO444-G084,7,0.5863533873663137,,,3.3285958570551255,0.5547659761758542,-23.995062895563954
ESO563-G021,30,0.6419724214565049,,,159.74448063550443,5.508430366741532,-182.90845101111816
F568-3,18,0.45694347316375483,,,10.683196907653741,0.6284233475090436,-67.98503379963533
F568-V1,15,0.5821866700864443,,,11.996910704088998,0.8569221931492141,-63.635198659561624
F574-1,14,0.5975297137510361,,,7.8632493884738,0.6048653375749077,-48.78311484943045
IC2574,34,0.24994004559616328,,,8.309725304247099,0.2518098577044575,-109.55726556522424
IC4202,32,0.5080959868578068,,,213.10049372346305,6.874209474950421,-212.49380777451864
NGC0024,29,0.8578639082277021,,,15.108277871032065,0.5395813525368595,-104.04488249119161
NGC0055,21,0.174642276020143,,,9.812840675718606,0.4906420337859303,-70.16125132357976
NGC0247,26,0.4894877849402428,,,5.504798342909009,0.22019193371636037,-85.59081713811835
NGC0300,25,0.42850295368863545,,,4.984629119183032,0.20769287996595967,-85.7198176099458
NGC0801,13,0.44815708156291084,,,70.716316683342,5.8930263902785,-77.16806680048319
NGC0891,18,0.38091485188338897,,,46.81539458981641,2.7538467405774356,-79.99733015122914
NGC2403,73,0.41959973831860015,,,31.486809030091298,0.43731679208460134,-238.74172927351117
NGC2683,11,0.4873079841512509,,,7.666598282706757,0.7666598282706757,-41.51896442177325
NGC2841,50,0.6859311674726029,,,29.047051953924548,0.5927969786515214,-182.397821733005
NGC2915,30,0.6513625696487456,,,62.29773887599276,2.1481978922756126,-131.84875425084948
NGC2955,24,0.5899994648736716,,,58.49821150109388,2.54340050004756,-112.66573261548143
NGC2976,27,0.5270572955921206,,,5.858719364199325,0.22533536016151248,-87.21233429653242
NGC2998,13,0.5592413155137217,,,27.613106025026045,2.3010921687521706,-58.783537579321546
NGC3109,25,0.6464464512104438,,,10.091579955721691,0.4204824981550705,-81.41232399004063
NGC3198,43,0.512984022612619,,,14.984257300022103,0.3567680309529072,-144.69613449705585
NGC3726,12,0.37318035793681187,,,13.7030881092601,1.2457352826600092,-46.82972603972403
NGC3741,21,0.5161318415372749,,,4.959267406694716,0.24796337033473578,-66.02835506706899
NGC3769,12,0.36471237278466917,,,3.5603320520516406,0.3236665501865128,-42.04896992262906
NGC3877,13,0.3688139370187813,,,37.77222428085381,3.1476853567378176,-61.383100467840094
NGC3893,10,0.492961703501682,,,4.558931416887509,0.5065479352097232,-36.646924298279785
NGC3917,17,0.5037849563945616,,,9.28623664333297,0.5803897902083106,-58.03284953499288
NGC3949,7,0.4067146050384105,,,1.3352541821713446,0.2225423636952241,-24.998534461114254
NGC3953,8,0.4952295383561092,,,6.554567562299964,0.9363667946142806,-29.766994222903808
NGC3972,10,0.5150637957031702,,,4.621914709653345,0.5135460788503717,-34.107995305170455
NGC3992,9,0.6316822367041601,,,7.515208855367196,0.9394011069208995,-33.762833434927806
NGC4010,12,0.417922556443757,,,9.235356070572319,0.8395778245974835,-43.07227256507125
NGC4013,36,0.42056449749857466,,,28.917896551440876,0.8262256157554536,-130.49689577026467
NGC4051,7,0.45106791520920575,,,8.207085418791317,1.3678475697985528,-28.386098384217483
NGC4068,6,0.4637827315988998,,,4.095217906595559,0.8190435813191119,-20.79590258454618
NGC4085,7,0.33594351860226745,,,11.57482265429869,1.9291371090497815,-28.400226907520334
NGC4088,12,0.26027380210708434,,,4.770565037955888,0.4336877307232625,-42.61889658111767
NGC4100,24,0.586020804504823,,,12.443647979238337,0.5410281730103624,-84.60259674645499
NGC4138,7,0.5600305558254663,,,3.2152451079727684,0.5358741846621281,-27.954512309460867
NGC4157,17,0.38158830924404363,,,7.2671465265535184,0.4541966579095949,-61.52608733149168
NGC4183,23,0.5298417916503502,,,12.174758801724236,0.5533981273511016,-80.45084978362621
NGC4217,19,0.27783234906298243,,,71.80726718056592,3.989292621142551,-98.76419738160943
NGC5005,18,0.4746264154449754,,,1.1591687061282623,0.06818639447813307,-73.02473467006642
NGC5055,28,0.40552418172826005,,,3.92852526582974,0.14550093577147186,-90.76252525480447
NGC5907,19,0.5268698008813428,,,54.359506360577235,3.0199725755876243,-86.19026085137918
NGC6195,23,0.59199340258362,,,55.05556686116672,2.502525766416669,-105.10609738667472
NGC6503,31,0.4866866596026229,,,10.338733883384833,0.34462446277949443,-99.75355159752567
NGC6674,15,0.6951499758811572,,,26.90038865521837,1.921456332515598,-64.18525972199521
NGC6789,4,0.5133590724726332,,,5.931998019850564,1.9773326732835212,-15.869729317309982
NGC7331,36,0.3395630407619491,,,18.79403600794144,0.5369724573697554,-124.41827102081524
NGC7793,46,0.4692010629176173,,,13.897429279570826,0.30883176176824056,-159.33785832233488
NGC7814,18,0.7238002481399608,,,40.41268435645268,2.3772167268501576,-77.83705558910462
UGC00128,22,0.6407625465544099,,,24.000627320599264,1.1428870152666317,-81.51736336686648
UGC01281,25,0.47127858359316716,,,5.035246882170082,0.2098019534237534,-81.20237539963505
UGC02487,17,0.5881828015762598,,,16.55774728580076,1.0348592053625476,-66.87848961519762
UGC02885,19,0.6425037909514086,,,33.327515233301355,1.8515286240722975,-83.83768378628275
UGC02916,43,0.6010742114587142,,,78.80618836181041,1.8763378181383432,-184.86776294371828
UGC03205,48,0.6961099484068459,,,81.81816226656645,1.7408119631184351,-201.64028395387493
UGC04483,8,0.4898056912994395,,,2.2148973098636575,0.3164139014090939,-25.199711719323094
UGC05005,11,0.41291944316300205,,,1.4206018567453447,0.14206018567453446,-41.66412681066602
UGC05750,11,0.5300776053748402,,,5.073963856209874,0.5073963856209873,-40.288491803695536
UGC06399,9,0.5097313168491863,,,2.354080635051514,0.2942600793814393,-29.689672610518407
UGC06614,13,0.4003937678048999,,,8.535334419246533,0.7112778682705444,-54.408085112287125
UGC06667,9,0.6685534071328306,,,29.45328778777088,3.68166097347136,-42.45804236987089
UGC06818,8,0.3918081805624969,,,9.961310087125371,1.4230442981607674,-30.385680389555684
UGC06917,11,0.5095944878956525,,,3.020426017476045,0.3020426017476045,-36.10622231690391
UGC06923,6,0.4059849865784524,,,1.968637301809368,0.39372746036187356,-20.166614902927762
UGC06930,10,0.5052409563639052,,,4.426603026369457,0.4918447807077174,-36.1515132092061
UGC06983,17,0.6770744367761299,,,7.322675478510588,0.45766721740691174,-58.87087850409579
UGC07089,12,0.3434614916925188,,,5.52212503190131,0.5020113665364827,-40.94060544883694
UGC07151,11,0.4586549492836939,,,2.693896157855478,0.2693896157855478,-34.730483553508215
UGC07232,4,0.4864692931053406,,,1.024727951858748,0.341575983952916,-12.82311281665298
UGC07524,31,0.5096436733857337,,,11.081210366749875,0.3693736788916625,-101.65101876691321
UGC07559,7,0.3387361705756737,,,4.989909768003278,0.8316516280005463,-23.93796287979216
UGC07577,9,0.34954941840628007,,,13.999452726676724,1.7499315908345905,-34.51153751993867
UGC07866,7,0.442654796551977,,,2.0453242432912604,0.34088737388187673,-22.98613224266034
UGC08286,17,0.8177803200975824,,,10.985692556959552,0.686605784809972,-56.821726509581865
UGC08490,30,0.6325138824257069,,,6.289454174506414,0.21687773015539358,-96.35035645104857
UGC08837,8,0.40533205401603856,,,16.11959611272374,2.3027994446748203,-32.33618952570744
UGC09037,22,0.2160174873090905,,,13.676353813303372,0.6512549434906367,-80.18674803268277
UGC09133,68,0.6780778457272516,,,53.04521457623836,0.791719620540871,-249.34103724434806
UGC11455,36,0.41167833610115306,,,55.604802820680824,1.5887086520194522,-148.3452734446084
UGC12506,31,0.827564499890804,,,49.8773998351519,1.6625799945050632,-140.25235997909456
UGCA442,8,0.4932608560079256,,,1.4042350732410438,0.20060501046300624,-25.14674486263259
UGCA444,36,0.5138723471340573,,,6.382227164388157,0.18234934755394733,-114.63077030795236
