galaxy,pwaic_contribution,n_points,mean_var_loglik
CamB,0.44968282278817046,9,0.049964758087574494
D564-8,0.02220113812714866,6,0.00370018968785811
D631-7,0.2375690781715462,16,0.014848067385721638
DDO154,0.03127250636520976,12,0.002606042197100813
DDO168,0.035035670775991144,10,0.0035035670775991146
ESO444-G084,0.017479757422985395,7,0.002497108203283628
ESO563-G021,22.73876792683386,30,0.757958930894462
F568-3,0.3746216812952209,18,0.020812315627512273
F568-V1,0.9295992125269101,15,0.06197328083512734
F574-1,1.2994306777774125,14,0.09281647698410089
IC2574,1.709657966647737,34,0.0502840578425805
IC4202,27.29953017105833,32,0.8531103178455728
NGC0024,1.0829520121145466,29,0.03734317283153609
NGC0055,1.5816638341481537,21,0.07531732543562637
NGC0247,0.26954382677640965,26,0.01036707026063114
NGC0300,0.12886612843362427,25,0.005154645137344971
NGC0801,15.501637127582926,13,1.1924336251986867
NGC0891,4.550411363422427,18,0.2528006313012459
NGC2403,3.5447442117426458,73,0.04855813988688556
NGC2683,1.2591569766232582,11,0.11446881605665983
NGC2841,25.2512338339067,50,0.505024676678134
NGC2915,1.459740914546908,30,0.04865803048489693
NGC2955,3.7119900315197527,24,0.15466625131332304
NGC2976,0.3618830341267301,27,0.01340307533802704
NGC2998,3.188468712733242,13,0.24526682405640324
NGC3109,0.11186226910540567,25,0.004474490764216227
NGC3198,1.5633188689456659,43,0.03635625276617827
NGC3726,2.3325866587752073,12,0.1943822215646006
NGC3741,0.026041469760285034,21,0.0012400699885850015
NGC3769,1.055191956693027,12,0.08793266305775226
NGC3877,4.580020540659454,13,0.3523092723584196
NGC3893,1.3107746993448228,10,0.13107746993448227
NGC3917,0.6532958066612456,17,0.03842916509772033
NGC3949,0.5832987319214656,7,0.0833283902744951
NGC3953,2.0970706062225943,8,0.2621338257778243
NGC3972,0.5975646518463527,10,0.05975646518463527
NGC3992,2.9195569581749643,9,0.324395217574996
NGC4010,1.085137167834367,12,0.0904280973195306
NGC4013,2.4760674224325974,36,0.0687796506231277
NGC4051,3.1362060115602515,7,0.44802943022289304
NGC4068,0.1456415234956025,6,0.024273587249267082
NGC4085,1.5805907197865279,7,0.22579867425521827
NGC4088,2.6188248068246622,12,0.21823540056872184
NGC4100,1.7348684331057227,24,0.07228618471273844
NGC4138,1.7605731401944757,7,0.25151044859921085
NGC4157,0.9180592537748171,17,0.05400348551616571
NGC4183,1.0959890097536902,23,0.0476516960762474
NGC4217,8.776399954346134,19,0.4619157870708492
NGC5005,0.2031477031027608,18,0.011285983505708934
NGC5055,7.363590554362442,28,0.26298537694151575
NGC5907,5.774876157408197,19,0.3039408503899051
NGC6195,30.73752970780783,23,1.3364143351220796
NGC6503,1.8334560215756799,31,0.059143742631473546
NGC6674,1.4113080162073828,15,0.09408720108049219
NGC6789,0.1154195204428062,4,0.02885488011070155
NGC7331,2.5237241333959126,36,0.07010344814988646
NGC7793,0.4151620417523703,46,0.009025261777225442
NGC7814,3.363713071488738,18,0.18687294841604102
UGC00128,0.30435268596580173,22,0.013834212998445533
UGC01281,0.053057413468226795,25,0.002122296538729072
UGC02487,1.9183509943952446,17,0.11284417614089674
UGC02885,9.085273799597632,19,0.4781723052419806
UGC02916,3.9219667093245367,43,0.09120852812382643
UGC03205,7.44655093109065,48,0.1551364777310552
UGC04483,0.009641506410486831,8,0.001205188301310854
UGC05005,0.08549145942949404,11,0.007771950857226731
UGC05750,0.1279333825317835,11,0.011630307502889408
UGC06399,0.5646278052503679,9,0.06273642280559644
UGC06614,0.07323757976366027,13,0.005633659981820021
UGC06667,0.5940218558582039,9,0.06600242842868932
UGC06818,0.7912746022239573,8,0.09890932527799466
UGC06917,0.25282899104375833,11,0.022984453731250756
UGC06923,0.14189852602942643,6,0.02364975433823774
UGC06930,0.10588920392811063,10,0.010588920392811063
UGC06983,0.9429434008834695,17,0.05546725887549821
UGC07089,0.6088127834793822,12,0.05073439862328185
UGC07151,0.20042881404775353,11,0.018220801277068502
UGC07232,0.022588653653472693,4,0.005647163413368173
UGC07524,0.37764001002974856,31,0.012181935807411243
UGC07559,0.1055952562205027,7,0.015085036602928956
UGC07577,0.2684263865888267,9,0.029825154065425193
UGC07866,0.03613299817045814,7,0.00516185688149402
UGC08286,0.7841201431327243,17,0.046124714301924954
UGC08490,0.5519249320961577,30,0.01839749773653859
UGC08837,0.5914974326780535,8,0.0739371790847567
UGC09037,8.800869211077039,22,0.40003950959441087
UGC09133,3.5779664502883293,68,0.052617153680710724
UGC11455,4.8212846113910865,36,0.1339245725386413
UGC12506,2.8064209012149917,31,0.09052970649080619
UGCA442,0.00825834591191385,8,0.0010322932389892313
UGCA444,0.020788662761092692,36,0.000577462854474797
