galaxy,radius,var_loglik,v_obs,v_model_mean
IC4202,1.59,9.440005618169812,77.9,150.0849461083059
UGC02885,1.7,8.10927023923594,305.0,237.88074167998624
IC4202,0.77,7.488095600055945,35.1,110.8954633116528
ESO563-G021,2.23,4.310203494318187,74.1,137.64093617643337
ESO563-G021,8.47,4.211280392664876,283.0,247.67396412608556
UGC09037,2.43,3.4982953457536268,62.2,96.14110890006884
NGC0801,31.67,2.7757675633771863,222.0,259.8836620444098
NGC6195,7.34,2.655503655616753,233.0,276.40835967631057
ESO563-G021,7.58,2.317806222962998,268.0,234.25663836042165
NGC0801,38.74,2.1942171714948753,219.0,259.7911818882642
NGC6195,6.34,2.1936810884284146,233.0,270.7783005951711
NGC6195,16.35,2.1796587828244305,250.0,302.6212935354524
NGC6195,22.52,2.1314649159324244,254.0,311.60623527936986
UGC09037,3.65,2.114582302998572,88.2,108.8671122657985
NGC6195,14.3,2.030956407656836,238.0,293.9870196672849
NGC6195,17.92,2.0076646022452462,253.0,306.5224313931909
NGC5907,5.03,1.9517904513811166,214.0,167.15619977620804
NGC3992,9.19,1.9481875131395092,248.0,219.22969406698343
NGC6195,13.32,1.9299515437896346,247.0,289.6725385509827
IC4202,7.08,1.8780493540020173,231.0,199.3635743882122
