galaxy,radius,var_loglik,v_obs,v_model_mean
CamB,0.16,0.001554481410861298,1.99,8.435244414076484
CamB,0.41,0.021556541739705042,4.84,16.92483714283739
CamB,0.57,0.04025985219981788,6.79,20.796440267285142
CamB,0.73,0.06062603533693343,8.87,24.109105624047107
CamB,0.9,0.07177267119436902,10.9,26.71605482477554
CamB,1.06,0.07171843620198,12.9,28.52763129033463
CamB,1.22,0.06406108339392481,14.7,29.538462005081808
CamB,1.47,0.07341529413110898,16.8,30.80011935321118
CamB,1.79,0.04471842717947002,20.1,30.5253135227725
D564-8,0.51,0.003520540823016317,8.54,15.512895499613732
D564-8,1.02,0.005732892283018899,15.1,22.082228483482144
D564-8,1.53,0.004164488250386603,19.8,25.712665056392986
D564-8,2.04,0.0038403491078552736,21.9,27.872401992359094
D564-8,2.56,0.0026498128863505894,24.0,29.224422540059102
D564-8,3.07,0.0022930547765209787,25.0,30.113514547086233
D631-7,0.45,0.013530616039428196,8.41,21.66411847889172
D631-7,0.9,0.031279739565728513,17.8,32.73697076255737
D631-7,1.35,0.05347027546427421,26.0,41.04530050034226
D631-7,1.8,0.0519688617110321,30.9,45.69163399236019
D631-7,2.25,0.03691376913493667,34.7,48.36158738139588
D631-7,2.69,0.021880900565794986,38.8,50.469926856722026
D631-7,3.14,0.011312404919868967,42.5,51.75004527306142
D631-7,3.59,0.0059636051389405755,45.6,52.75382378195696
D631-7,4.04,0.0025961202088480694,48.8,53.52291529562089
D631-7,4.49,0.0011023445706202617,51.8,53.89532380658978
D631-7,4.94,0.0008607667758992373,54.8,54.19597785636957
D631-7,5.39,0.0011233139134555713,56.6,54.26856279078633
D631-7,5.84,0.0016465126449350246,58.4,54.26913221985021
D631-7,6.29,0.0015139332723039494,58.5,54.1866574243306
D631-7,6.74,0.0012251323737819677,57.7,54.05672457222946
D631-7,7.19,0.0011807818716979292,57.3,53.86508927335452
DDO154,0.49,0.008673832839862616,13.8,21.364164242848542
DDO154,0.99,0.010690567987750239,21.6,29.146366482914903
DDO154,1.48,0.0027941124280322998,28.9,33.53788891313189
DDO154,1.97,0.0013594559110665838,34.3,37.41815805847813
