galaxy,n,Upsilon_med,Upsilon_bulge_med,log10_M200_med,chi2,chi2_red,loglike
CamB,9,0.3757198671638813,,,21.476184385535184,2.684523048191898,-37.914521075309054
D564-8,6,0.47223074826488354,,,2.771624208127359,0.5543248416254718,-19.5943764643687
D631-7,16,0.4559845046607564,,,18.67581268735954,1.2450541791573027,-58.242408058958105
DDO154,12,0.5910145867679623,,,2.4194689512275276,0.21995172283886613,-37.30082448952799
DDO168,10,0.5138002280460718,,,5.640848596133221,0.6267609551259135,-33.44117371582253
ESO444-G084,7,0.4697704106911962,,,3.11280254202533,0.5188004236708883,-23.9575813528798
ESO563-G021,30,0.7296896491219326,,,153.89109920177106,5.306589627647278,-180.21532169119027
F568-3,18,0.40122956198912435,,,11.466943788383752,0.6745261051990442,-68.47808712991387
F568-V1,15,0.5238948702368992,,,14.16825544078002,1.0120182457700015,-64.76026593259226
F574-1,14,0.5127534066244892,,,9.5029071811886,0.7309928600914308,-49.72341414234208
IC2574,34,0.33860017936914083,,,15.403428637548581,0.4667705647741994,-113.56234042359675
IC4202,32,0.5593450056249721,,,212.08063158568967,6.84131069631257,-212.27896257765485
NGC0024,29,0.8355450091351802,,,20.665313592777174,0.7380469140277562,-107.04115696746452
NGC0055,21,0.2521884957416073,,,14.8536942701259,0.742684713506295,-72.94896245077811
NGC0247,26,0.5145226866826883,,,5.272262225289045,0.2108904890115618,-85.763184359101
NGC0300,25,0.48713567522571843,,,4.423089225202464,0.18429538438343598,-85.69398873510812
NGC0801,13,0.49064789492139715,,,66.6677565550046,5.555646379583717,-75.30625749532011
NGC0891,18,0.4045489012113193,,,48.744705543123224,2.8673356201837192,-81.16761571635116
NGC2403,73,0.45665005475458875,,,27.7361527593297,0.38522434387957916,-237.85528208940502
NGC2683,11,0.5484745087744377,,,9.491916226187438,0.9491916226187438,-42.51740291198745
NGC2841,50,0.7671126594442084,,,23.01804038837664,0.4697559262934008,-179.90655092073547
NGC2915,30,0.6442835441966998,,,57.02552332134205,1.9663973559083465,-129.44347116053675
NGC2955,24,0.5959461266290985,,,54.66331549360758,2.3766658910264162,-110.9153089065239
NGC2976,27,0.45457859034201753,,,5.013314030823099,0.19281977041627305,-87.05511041319559
NGC2998,13,0.5523071755350671,,,28.773056076240472,2.397754673020039,-59.48045936045065
NGC3109,25,0.4432058240877377,,,10.308711681901418,0.42952965341255905,-81.84569849272765
NGC3198,43,0.5522447053736949,,,18.027967513109207,0.4292373217406954,-146.74875854080258
NGC3726,12,0.3522702385679555,,,10.011120155345566,0.9101018323041423,-45.08579000890545
