galaxy,n,Upsilon_med,Upsilon_bulge_med,log10_M200_med,chi2,chi2_red,loglike
CamB,9,0.3492559291149583,,,21.66678820709282,2.7083485258866027,-37.75068817359867
D564-8,6,0.5073089808545453,,,3.094915683520858,0.6189831367041716,-19.590952177751824
D631-7,16,0.3779798507392292,,,18.18521126351127,1.212347417567418,-57.56579428150517
DDO154,12,0.474733908332489,,,1.8153388360425653,0.16503080327659683,-36.644499587595554
DDO168,10,0.46489668938030876,,,5.7311019941630255,0.6367891104625584,-33.21564837119042
ESO444-G084,7,0.5272686014173753,,,3.115757115859331,0.5192928526432218,-23.807043891636887
ESO563-G021,30,0.7016075719514577,,,160.7017665108315,5.541440224511431,-183.1955041289407
F568-3,18,0.46850053241864587,,,10.94621797943966,0.6438951752611565,-67.99957422718684
F568-V1,15,0.6055618172315952,,,12.18010783187521,0.8700077022768007,-63.67415417012587
F574-1,14,0.51096883088489,,,9.943208464407205,0.7648621895697849,-49.64800944844018
IC2574,34,0.3349774864470745,,,15.530240155042906,0.4706133380316032,-112.78248783168598
IC4202,32,0.5484479892346877,,,222.02235781630696,7.162011542461515,-216.6802411415572
NGC0024,29,0.8505253462765932,,,20.01289935440149,0.714746405514339,-106.26413215298172
NGC0055,21,0.19217965600083387,,,10.665401281626265,0.5332700640813133,-70.35226138942316
NGC0247,26,0.5126235902555306,,,5.554269892935235,0.2221707957174094,-85.35477740604026
NGC0300,25,0.474662073325015,,,4.628141256121201,0.19283921900505005,-85.33439139690269
NGC0801,13,0.4769731389141522,,,68.51933424620341,5.7099445205169514,-75.97403759294441
NGC0891,18,0.40220124898572907,,,50.566934769226904,2.9745255746604062,-81.67021547801056
NGC2403,73,0.46376952638272173,,,28.988075005063713,0.40261215284810714,-236.5392365610059
NGC2683,11,0.5421494457887612,,,9.592882325756527,0.9592882325756527,-42.42237527734549
NGC2841,50,0.7501646084369471,,,24.365619927839383,0.4972575495477425,-179.73699860223792
NGC2915,30,0.6917746869999646,,,57.00729217260935,1.965768695607219,-128.99835757516104
NGC2955,24,0.6165536009675457,,,55.710066725198494,2.422176814139065,-111.11756983377268
NGC2976,27,0.3986292043153609,,,5.004877377087053,0.19249528373411742,-86.3639961200984
NGC2998,13,0.6067291618019562,,,27.7112636685356,2.309271972377967,-58.76760553331968
NGC3109,25,0.5194688110081251,,,10.089180495381578,0.4203825206408991,-81.08747346674545
NGC3198,43,0.5547157554216331,,,18.545770166892744,0.4415659563545892,-146.03545218433734
NGC3726,12,0.36753417616469997,,,10.932538679733963,0.9938671527030875,-45.35073983387234
NGC3741,21,0.4938663202026323,,,3.430907873306573,0.17154539366532867,-64.98556837839408
NGC3769,12,0.45833066019116453,,,6.74041718219388,0.6127651983812619,-43.59494934700347
NGC3877,13,0.42612849863081753,,,38.91681143130338,3.2430676192752816,-61.85788730235315
NGC3893,10,0.5341476160720721,,,5.238667403015135,0.5820741558905705,-36.930496986401906
NGC3917,17,0.5469050161159534,,,9.559738268019197,0.5974836417511998,-58.0184641999849
NGC3949,7,0.4306561159040545,,,1.3414975129313604,0.2235829188218934,-24.948100341418638
NGC3953,8,0.5444286283916804,,,6.40176775355722,0.9145382505081743,-29.62406294455486
NGC3972,10,0.5975978762256936,,,3.8924426795564577,0.43249363106182864,-33.66680868303861
NGC3992,9,0.6270989047183653,,,9.899692961485428,1.2374616201856785,-34.879123729608196
NGC4010,12,0.4773338426348544,,,10.15200956747784,0.9229099606798037,-43.44610074220305
NGC4013,36,0.44466725028312915,,,23.74767597682312,0.6785050279092321,-127.61267970430802
NGC4051,7,0.4315341342249652,,,6.246360135489966,1.041060022581661,-27.334963917123325
NGC4068,6,0.35551691654761586,,,3.0754916485777626,0.6150983297155526,-20.19012297303915
NGC4085,7,0.36382200537092246,,,11.792124110093228,1.9653540183488714,-28.449562973658765
NGC4088,12,0.28371264090019005,,,4.641007744849683,0.42190979498633485,-42.486629434966716
NGC4100,24,0.6176844853623092,,,13.895953322495274,0.604171883586751,-85.13887063955232
NGC4138,7,0.5794536178265308,,,3.6753309499914577,0.6125551583319097,-28.157374013906995
NGC4157,17,0.3818670365472611,,,4.834618658010409,0.30216366612565054,-60.21420348662699
NGC4183,23,0.48266750812005665,,,13.646932085875648,0.6203150948125294,-81.00810118192628
NGC4217,19,0.2908314949176116,,,70.4512602770946,3.9139589042830334,-97.95086071102364
NGC5005,18,0.5038164804752342,,,1.5302634550969554,0.09001549735864443,-73.16459279112179
NGC5055,28,0.4682914240849651,,,5.970376478550838,0.22112505476114214,-91.48103053816808
NGC5907,19,0.5648941436323891,,,58.2994236169477,3.2388568676082055,-87.96261294374338
NGC6195,23,0.6250426633904643,,,49.26999468790311,2.239545213086505,-102.04530039134951
NGC6503,31,0.526381712342431,,,7.963295534729065,0.2654431844909688,-98.17673893575315
NGC6674,15,0.6898775272025893,,,30.610766670539064,2.186483333609933,-65.90935166457048
NGC6789,4,0.5959351027346236,,,5.705491702945287,1.901830567648429,-15.723061268818274
NGC7331,36,0.3587361821532944,,,16.337623051211306,0.46678923003460876,-122.84259006642671
NGC7793,46,0.5444235794038246,,,14.574510473593037,0.3238780105242897,-159.30964396132427
NGC7814,18,0.7675125567768918,,,46.315794423491404,2.724458495499494,-80.6080049450202
UGC00128,22,0.7678069752321441,,,22.495480860412226,1.071213374305344,-80.52858827050767
UGC01281,25,0.5141722770657849,,,5.516025866842637,0.2298344111184432,-81.17587760643865
UGC02487,17,0.7126406481557203,,,15.335627848647787,0.9584767405404867,-66.23228000500781
UGC02885,19,0.678706204137478,,,30.02057182244631,1.6678095456914617,-82.1068830563066
UGC02916,43,0.5554385182707821,,,84.43447411280432,2.010344621733436,-187.28372903678903
UGC03205,48,0.7569432509889426,,,78.27000817978787,1.6653193229742098,-199.5513044527852
UGC04483,8,0.45495504966409017,,,2.144335938611884,0.30633370551598343,-25.05336632236682
UGC05005,11,0.3679965405704486,,,1.2172678294591592,0.12172678294591592,-41.51294041502198
UGC05750,11,0.4374022615328296,,,4.941460686558113,0.4941460686558113,-40.142848830898195
UGC06399,9,0.5250620170044877,,,2.2990456980773315,0.28738071225966644,-29.590008683216276
UGC06614,13,0.4911876508602252,,,8.113777888507306,0.6761481573756088,-54.193797001344095
UGC06667,9,0.7346953466754133,,,25.66103448079643,3.207629310099554,-40.475595991053076
UGC06818,8,0.3932425881900872,,,9.732156209172704,1.390308029881815,-30.20528826858325
UGC06917,11,0.5246490318028242,,,3.225572417648077,0.3225572417648077,-36.10802215563738
UGC06923,6,0.38782954135425396,,,1.5455006690821083,0.30910013381642165,-19.9035925052537
UGC06930,10,0.4128020005820432,,,6.16276249582274,0.6847513884247489,-36.900826010348936
UGC06983,17,0.6671735106073226,,,8.643233047880216,0.5402020654925135,-59.402312979066515
UGC07089,12,0.31145593848759945,,,3.790055855470813,0.34455053231552846,-39.97273719175283
UGC07151,11,0.5143368352083191,,,3.1142911925039622,0.31142911925039624,-34.797661484048234
UGC07232,4,0.5780472224519693,,,1.0803501511302382,0.36011671704341275,-12.80518043412711
UGC07524,31,0.4944693452519121,,,11.36732507322374,0.37891083577412465,-101.41713761605436
UGC07559,7,0.5389949905131103,,,8.423866740185947,1.403977790030991,-25.573358574903494
UGC07577,9,0.4263337782730585,,,17.04771835719861,2.1309647946498265,-35.92320820036266
UGC07866,7,0.48176708773540966,,,2.3819652253949104,0.39699420423248505,-23.084761830645064
UGC08286,17,0.779212064724156,,,15.27424616198875,0.9546403851242968,-58.73383486272702
UGC08490,30,0.6403945442595552,,,7.509974356047659,0.25896463296716066,-96.61713125811728
UGC08837,8,0.2669948781403656,,,10.850716185080865,1.5501023121544093,-29.592520728687052
UGC09037,22,0.2363107701141233,,,14.209694496722163,0.6766521188915315,-80.28047223991196
UGC09133,68,0.6982286270762742,,,66.85015130867636,0.9977634523683039,-255.69757544657554
UGC11455,36,0.45438748837232346,,,56.05522552981946,1.601577872280556,-148.31012332479875
UGC12506,31,0.8590381848921723,,,55.68575487864029,1.8561918292880095,-143.0710156689991
UGCA442,8,0.39561664421606035,,,1.1270659245786503,0.16100941779695005,-24.903558953723778
UGCA444,36,0.4763718106862261,,,6.666345321758077,0.1904670091930879,-114.34690839389293
