galaxy,pwaic_contribution,n_points,mean_var_loglik
NGC2841,28.942634150741462,50,0.5788526830148293
IC4202,28.569967079117298,32,0.8928114712224156
ESO563-G021,25.01116854336477,30,0.833705618112159
NGC6195,23.19168738421501,23,1.0083342340963048
NGC0801,14.23703241223558,13,1.0951563394027368
UGC03205,9.229972171610706,48,0.19229108690855637
NGC4217,9.175203948278021,19,0.4829054709620011
UGC02885,7.559932534269241,19,0.39789118601417056
NGC5907,6.387023827591146,19,0.3361591488205866
NGC5055,5.630119418931043,28,0.20107569353325155
UGC09037,5.342622230462599,22,0.24284646502102722
UGC11455,4.858925496791843,36,0.1349701526886623
NGC3877,4.854024911585464,13,0.3733865316604203
NGC0891,4.6775327057598,18,0.2598629280977667
UGC09133,4.367800895256836,68,0.06423236610671818
NGC2998,4.212192354082316,13,0.32401479646787046
UGC02916,4.1617330517684445,43,0.09678448957601034
NGC3726,3.763057663196695,12,0.3135881385997246
NGC7814,3.7073185851217922,18,0.20596214361787735
NGC2955,3.693095528037588,24,0.1538789803348995
