galaxy,pwaic_contribution,n_points,mean_var_loglik
CamB,6.331481310839818,9,0.7034979234266464
D564-8,0.3544814481908098,6,0.05908024136513496
D631-7,7.734938489158224,16,0.483433655572389
DDO154,0.8331312545649147,12,0.06942760454707622
DDO168,1.6294253666563727,10,0.16294253666563727
ESO444-G084,0.19281743495672612,7,0.027545347850960876
ESO563-G021,292.74648589095284,30,9.758216196365094
F568-3,0.15647957545700636,18,0.008693309747611464
F568-V1,0.49995057816859334,15,0.033330038544572886
F574-1,1.691698970582506,14,0.12083564075589329
IC2574,25.277363405230478,34,0.7434518648597199
IC4202,447.1258349011663,32,13.972682340661446
NGC0024,20.650648369724646,29,0.7120913230939533
NGC0055,56.404095512116626,21,2.685909310100792
NGC0247,5.480027279739745,26,0.21077027998999018
NGC0300,0.0628828922849508,25,0.002515315691398032
NGC0801,327.8477440258501,13,25.2190572327577
NGC0891,620.2378144598713,18,34.457656358881735
NGC2403,44.98118939873487,73,0.6161806766949982
NGC2683,10.621942414153843,11,0.9656311285594402
NGC2841,345.65113644657157,50,6.913022728931431
NGC2915,5.877411826552277,30,0.19591372755174255
NGC2955,3.4008092339868856,24,0.14170038474945357
NGC2976,1.380365498385764,27,0.05112464808836163
NGC2998,14.894659733132412,13,1.145743056394801
NGC3109,1.9794840917278518,25,0.07917936366911407
NGC3198,50.97636602168983,43,1.1854968842253448
NGC3726,47.40587092659428,12,3.9504892438828567
NGC3741,0.5948778962229451,21,0.028327518867759287
NGC3769,14.389916501197993,12,1.199159708433166
NGC3877,79.3256666907906,13,6.101974360830046
NGC3893,4.475083591983051,10,0.44750835919830506
NGC3917,6.469452791353388,17,0.38055604655019926
NGC3949,9.460609285479158,7,1.3515156122113083
NGC3953,14.238484880397193,8,1.7798106100496491
NGC3972,2.090164400327558,10,0.2090164400327558
NGC3992,13.304956148009936,9,1.478328460889993
NGC4010,11.153012461091462,12,0.9294177050909552
NGC4013,104.73721790464474,36,2.9093671640179095
NGC4051,6.299392520937709,7,0.8999132172768156
NGC4068,0.4819127136767605,6,0.08031878561279342
NGC4085,22.75155788095793,7,3.250222554422561
NGC4088,249.19503188304242,12,20.7662526569202
NGC4100,25.96928769467504,24,1.0820536539447934
NGC4138,1.9128440386101981,7,0.2732634340871712
NGC4157,47.64743288201036,17,2.802790169530021
NGC4183,10.836572604865609,23,0.4711553306463308
NGC4217,385.8745035492047,19,20.30918439732656
NGC5005,1.6647300067117714,18,0.09248500037287619
NGC5055,15.040921409347726,28,0.5371757646195616
NGC5907,408.9566276388762,19,21.524033033625063
NGC6195,45.51670675048257,23,1.9789872500209813
NGC6503,37.284862597236845,31,1.2027375031366725
NGC6674,4.3978220739345515,15,0.29318813826230344
NGC6789,0.16477175774523486,4,0.041192939436308716
NGC7331,765.241339941673,36,21.256703887268696
NGC7793,0.37732183413703235,46,0.008202648568196356
NGC7814,184.07365608508024,18,10.226314226948903
UGC00128,1.8470479058775333,22,0.08395672299443334
UGC01281,0.29180854194567835,25,0.011672341677827134
UGC02487,6.487858335279635,17,0.3816387256046844
UGC02885,20.207298822816156,19,1.0635420433061136
UGC02916,4.84600017323651,43,0.11269767844736069
UGC03205,82.578338087397,48,1.7203820434874375
UGC04483,0.33451330715817723,8,0.041814163394772154
UGC05005,0.10295065252927894,11,0.00935915022993445
UGC05750,0.5250822596073603,11,0.047734750873396396
UGC06399,0.3794535786215316,9,0.04216150873572574
UGC06614,0.08906128065813732,13,0.00685086774293364
UGC06667,6.186181157777739,9,0.6873534619753043
UGC06818,5.72436807893486,8,0.7155460098668575
UGC06917,1.2030346709287596,11,0.10936678826625088
UGC06923,1.344758847070744,6,0.22412647451179066
UGC06930,0.1566276129985313,10,0.015662761299853133
UGC06983,5.403845425791371,17,0.3178732603406689
UGC07089,8.20183944541071,12,0.6834866204508926
UGC07151,4.169021132613078,11,0.37900192114664344
UGC07232,0.09368903777217574,4,0.023422259443043936
UGC07524,4.28698309467708,31,0.13828977724764774
UGC07559,1.1570177796736938,7,0.16528825423909912
UGC07577,1.886787485534445,9,0.20964305394827168
UGC07866,0.25876528371824936,7,0.03696646910260705
UGC08286,16.39458848951789,17,0.9643875582069347
UGC08490,4.170858072084026,30,0.13902860240280085
UGC08837,8.607090824706141,8,1.0758863530882676
UGC09037,88.35365124094034,22,4.016075056406379
UGC09133,9.273686802298048,68,0.13637774709261835
UGC11455,148.76182572014713,36,4.132272936670754
UGC12506,21.932977930140307,31,0.7075154171013003
UGCA442,0.30674222787196437,8,0.038342778483995546
UGCA444,0.9920786299835418,36,0.02755773972176505
