galaxy,pwaic_contribution,n_points,mean_var_loglik
NGC7331,765.241339941673,36,21.256703887268696
NGC0891,620.2378144598713,18,34.457656358881735
IC4202,447.1258349011663,32,13.972682340661446
NGC5907,408.9566276388762,19,21.524033033625063
NGC4217,385.8745035492047,19,20.30918439732656
NGC2841,345.65113644657157,50,6.913022728931431
NGC0801,327.8477440258501,13,25.2190572327577
ESO563-G021,292.74648589095284,30,9.758216196365094
NGC4088,249.19503188304242,12,20.7662526569202
NGC7814,184.07365608508024,18,10.226314226948903
UGC11455,148.76182572014713,36,4.132272936670754
NGC4013,104.73721790464474,36,2.9093671640179095
UGC09037,88.35365124094034,22,4.016075056406379
UGC03205,82.578338087397,48,1.7203820434874375
NGC3877,79.3256666907906,13,6.101974360830046
NGC0055,56.404095512116626,21,2.685909310100792
NGC3198,50.97636602168983,43,1.1854968842253448
NGC4157,47.64743288201036,17,2.802790169530021
NGC3726,47.40587092659428,12,3.9504892438828567
NGC6195,45.51670675048257,23,1.9789872500209813
