galaxy,radius,var_loglik,v_obs,v_model_mean
IC4202,1.59,126.35202078056663,77.9,143.8970495525734
NGC0891,4.17,105.2447854653186,223.0,265.21438533715764
NGC4217,3.5,99.99811024925538,164.0,216.8342222794241
IC4202,0.77,96.35599019969837,35.1,106.105647860743
NGC0891,3.24,93.3161044019277,212.0,273.6630079400327
NGC0891,5.1,82.61966818888712,222.0,255.76662873096026
NGC0801,31.67,78.29317183938439,222.0,262.34690013445436
ESO563-G021,8.47,77.54529832723628,283.0,223.88477026162894
NGC7331,4.27,74.46858320791476,250.0,285.7410426243129
NGC7331,4.81,65.5386076927386,253.0,286.48875072904633
NGC7331,5.35,64.52320527124515,257.0,290.1140466565306
NGC4217,2.61,61.03898291009882,146.0,200.8114054449684
NGC4217,1.74,58.83949639702165,98.9,167.0941988869647
NGC5907,35.23,58.60341257929181,213.0,232.01304494318768
NGC0891,6.96,56.84779037114276,224.0,245.7519159097961
NGC4217,4.37,56.24334791875044,174.0,212.35194209202592
NGC7331,5.88,55.85065322303746,257.0,287.8567797799415
NGC0891,6.03,54.40337641857851,224.0,249.35245432650257
NGC0801,38.74,53.78746012498681,219.0,261.61318320646853
NGC5907,37.75,53.65409195572673,211.0,229.1167633651538
