galaxy,radius,var_loglik,v_obs,v_model_mean
CamB,0.16,0.016946980168561165,1.99,8.781230295026143
CamB,0.41,0.31596123843238705,4.84,17.94339546424253
CamB,0.57,0.5990511449248688,6.79,22.04986398945192
CamB,0.73,0.8801731320738251,8.87,25.56488907034496
CamB,0.9,1.0613160281838998,10.9,28.253549638032556
CamB,1.06,1.0823716409598034,12.9,30.0721804262694
CamB,1.22,0.9732733884473764,14.7,31.028973976455152
CamB,1.47,0.9190483926685431,16.8,32.41206517174345
CamB,1.79,0.48333936498055285,20.1,32.021920594040424
D564-8,0.51,0.04804827864869006,8.54,15.287983178475669
D564-8,1.02,0.0826628937540484,15.1,21.775128338655964
D564-8,1.53,0.06075619445033033,19.8,25.286239591494553
D564-8,2.04,0.06610039908183903,21.9,27.313258531668488
D564-8,2.56,0.050513333276564876,24.0,28.528662385647362
D564-8,3.07,0.046400348979337154,25.0,29.29025030648534
D631-7,0.45,0.45974565303045206,8.41,22.08896229686024
D631-7,0.9,0.8134213588732684,17.8,33.46892179883878
D631-7,1.35,1.108910150103443,26.0,42.050529837442504
D631-7,1.8,1.2907429165740003,30.9,46.68116071478817
D631-7,2.25,1.3375988895602562,34.7,49.20275896569442
D631-7,2.69,1.0242758419756874,38.8,51.176505887200435
D631-7,3.14,0.7353013964866029,42.5,52.291341641730824
D631-7,3.59,0.48111634827265265,45.6,53.14486301868359
D631-7,4.04,0.24468471654235222,48.8,53.767948939901274
D631-7,4.49,0.09730166455733052,51.8,53.99035970848104
D631-7,4.94,0.025402767928911153,54.8,54.150421724600626
D631-7,5.39,0.016386134021132585,56.6,54.0845397935284
D631-7,5.84,0.030070773444293826,58.4,53.954248291405946
D631-7,6.29,0.02714504239830018,58.5,53.74696716520988
D631-7,6.74,0.02091461047394873,57.7,53.499211488375636
D631-7,7.19,0.021920224915591653,57.3,53.19521310559182
DDO154,0.49,0.09008999000919668,13.8,20.347004755874124
DDO154,0.99,0.17824176535014905,21.6,28.037894789317754
DDO154,1.48,0.08305265775419621,28.9,32.66536403612637
DDO154,1.97,0.05932803202295287,34.3,36.71897489269299
DDO154,2.47,0.04605403212145379,38.2,39.705230231767764
DDO154,2.96,0.038353123972381484,42.0,42.74375818160688
DDO154,3.46,0.060495906069986095,44.6,45.82141660764124
DDO154,3.95,0.06224472207553083,46.3,47.38613244594048
DDO154,4.44,0.04554964199635654,47.4,47.836990330638834
DDO154,4.94,0.03240431295661313,48.2,48.02364549636981
DDO154,5.43,0.04552909097966426,47.4,47.927666927806534
DDO154,5.92,0.0917879792564336,45.5,47.743303514586025
DDO168,0.41,0.02541227213443283,15.0,22.91253048905921
DDO168,0.82,0.44916783274575833,23.4,36.11005408510726
DDO168,1.24,0.4990728035555163,29.2,42.11480202998128
DDO168,1.64,0.2784171679987724,36.2,44.96062886193282
DDO168,2.06,0.1413963997192422,44.0,49.304860364173095
DDO168,2.47,0.018828759063283525,52.1,51.85427853640618
DDO168,2.89,0.03301300930744595,52.9,53.85442762490559
DDO168,3.3,0.023736969696619967,54.8,55.18453391458729
DDO168,3.71,0.0374864183794522,55.0,56.51523063562892
DDO168,4.12,0.12289373405584923,52.0,57.40189034424492
ESO444-G084,0.26,0.0037764054855654364,18.3,15.55108563063087
ESO444-G084,0.77,0.006436945158327005,35.3,30.135742073861987
ESO444-G084,1.29,0.013483100392563495,47.8,38.21433084511016
ESO444-G084,1.81,0.017768033862356307,52.8,43.36286209851225
ESO444-G084,2.32,0.022450500493446195,58.0,46.331773203065055
ESO444-G084,3.39,0.08796706296732094,63.1,45.86333488849192
ESO444-G084,4.44,0.040935386597146746,62.7,43.84439547916235
ESO563-G021,0.45,0.4759737578420381,18.9,58.009747725810804
ESO563-G021,1.34,1.6344790839573606,58.3,105.27856696981247
ESO563-G021,2.23,13.95754402263618,74.1,123.97650475166743
ESO563-G021,3.12,3.6337884736083206,119.0,135.5075322694554
ESO563-G021,4.01,1.5727951970145229,141.0,148.27333865126965
ESO563-G021,4.9,8.558185226766557,195.0,164.78202892774235
ESO563-G021,5.79,22.94135016967205,227.0,184.63397127642156
ESO563-G021,6.69,27.780742354678786,246.0,201.01758819633307
ESO563-G021,7.58,30.38951490929401,268.0,211.75788738651414
ESO563-G021,8.47,77.54529832723628,283.0,223.88477026162894
ESO563-G021,10.23,6.524628416267788,291.0,242.81789536564776
ESO563-G021,12.06,35.05699531189542,310.0,258.007669423224
ESO563-G021,13.44,0.6111310065114597,310.0,263.9292728397171
ESO563-G021,15.18,0.9651107376244192,310.0,271.49482951867833
ESO563-G021,16.83,1.5697704544082887,314.0,276.85761522354954
ESO563-G021,18.56,2.151150421179884,317.0,276.87649256868684
ESO563-G021,20.3,3.55890650988908,319.0,279.1270905231509
ESO563-G021,21.94,2.3714706216227546,318.0,283.1856196775837
ESO563-G021,23.68,2.4710103274771744,317.0,286.574023636606
ESO563-G021,25.41,4.544725868332616,317.0,284.2398615211424
ESO563-G021,27.06,2.7817016473111082,312.0,281.4954847574719
ESO563-G021,28.8,3.5900417884808786,312.0,277.29141512397047
ESO563-G021,30.53,1.940835257847081,311.0,273.47156574352914
ESO563-G021,32.18,0.9990469217714969,310.0,271.6953761539877
ESO563-G021,33.91,0.8945726559664609,313.0,270.7430308382934
ESO563-G021,35.65,6.494171991587024,320.0,268.73216216539237
ESO563-G021,37.3,8.82158029246733,321.0,267.34469512664384
ESO563-G021,39.03,8.777661377318438,320.0,265.27551020193965
ESO563-G021,40.76,4.8493158706382795,315.0,263.3508547276107
ESO563-G021,42.41,5.2829868896497105,312.0,262.0143957587384
F568-3,0.64,0.006354192631043997,12.4,21.62157114500605
F568-3,1.18,0.019104224425612857,21.9,31.808536290855557
F568-3,1.8,0.027655016431071294,32.3,40.6098418891001
F568-3,2.03,0.009724679011309405,37.9,43.38674312724864
F568-3,2.78,0.0007999398020755893,53.1,52.083638415569446
F568-3,3.0,0.0027230154837425777,62.4,54.33863207650406
F568-3,3.64,0.004584205454135013,68.0,60.35534311781577
F568-3,4.19,0.013246384374659654,78.0,65.05230075123698
F568-3,4.6,0.022034567520233025,82.3,67.50207092376321
F568-3,5.14,0.02167254303496945,85.7,70.29242624653578
F568-3,5.39,0.01395322373490854,85.5,71.9256010901115
F568-3,6.31,0.0020226983731983913,89.5,78.30087191053097
F568-3,9.1,0.0007437548451331928,95.2,92.94279359536065
F568-3,10.17,0.0028582304554445417,97.5,98.07854954269945
F568-3,11.99,0.0037713120095820033,101.0,104.42686336869703
F568-3,14.02,0.003076573986999017,107.0,109.3944696474642
F568-3,15.94,0.0010640916035206658,117.0,114.03387880249842
F568-3,17.98,0.0010909222793671247,120.0,117.06071440660305
F568-V1,0.39,4.634651572592973e-06,17.4,19.127022447337126
F568-V1,1.18,8.73608557224743e-06,46.3,40.044685911885225
F568-V1,1.95,0.008582629840277418,69.1,49.26882378701746
F568-V1,2.74,0.1038083992083057,85.2,54.616729660351226
F568-V1,3.53,0.09577198103153882,93.2,61.50207900850224
F568-V1,4.3,0.034343624853717995,100.0,67.568425172473
F568-V1,5.09,0.10506827776949958,108.0,71.58413149615836
F568-V1,5.87,0.10704195847052121,112.0,74.22131978430264
F568-V1,6.4,0.007592456319191201,113.0,76.39396641962227
F568-V1,7.44,0.017366300105889312,113.0,81.17445515073099
F568-V1,8.21,0.014245527397965651,112.0,84.7817394217001
F568-V1,9.0,0.0018807315861675711,111.0,87.40776778687199
F568-V1,9.72,0.0025657778639698496,111.0,90.62070705480353
F568-V1,11.79,0.001030798011759549,113.0,99.7365944207997
F568-V1,17.63,0.0006387449726446584,118.0,105.72475237538795
F574-1,0.47,0.010792960851540398,15.3,19.876724541962094
F574-1,1.41,0.019355760871295532,41.0,43.18917495566724
F574-1,2.35,0.03469667819379174,60.7,54.74519404083556
F574-1,3.29,0.28951838164745836,74.9,59.799773216565384
F574-1,4.22,0.2548319611691841,83.0,64.91290233387421
F574-1,5.17,0.35200688928477386,86.8,70.25760336895738
F574-1,6.11,0.22655568007148277,89.4,75.4242887705281
F574-1,7.05,0.18937686032075723,92.5,79.21390544075648
F574-1,7.99,0.11918968364701929,94.7,83.41321981947146
F574-1,8.92,0.0829304291362629,96.3,86.2510705359538
F574-1,9.87,0.03640667266900877,97.8,90.54826937043875
F574-1,10.79,0.014843416854216229,98.8,94.85923652198043
F574-1,11.8,0.022728054504241167,99.5,99.09618779982043
F574-1,12.6,0.03846554136147353,99.7,101.93233538159315
IC2574,0.85,0.21184704810323338,10.3,18.697529025466544
IC2574,1.14,0.18524199412854273,12.9,22.609013726706653
IC2574,1.42,0.3144709237608872,16.4,25.78041562626466
IC2574,1.71,0.41574412609851913,18.6,29.158132219820867
IC2574,1.99,0.7343438492455133,19.8,32.506634797258386
IC2574,2.28,0.5344091633415089,26.1,34.83906726733748
IC2574,2.55,0.35735079786716983,27.7,37.24143130983024
IC2574,2.84,0.3992364473350318,29.7,39.211287002224104
IC2574,3.13,0.2150138625944197,33.0,40.979212635593015
IC2574,3.41,0.4776946840820357,34.8,42.45044959518412
IC2574,3.7,0.5787332431603676,35.0,43.05578479221849
